case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Gather Stakeholder Input,2023-07-11 09:00:02.642264,2023-07-11 13:15:02.642264,CUST_5224,High,Phone,Quality Assurance,Feedback Management Software,6802.08,Quality_Agent_1,255,114.17,Delayed,System B,False
CASE_00001,Implement Changes,2023-07-11 13:15:02.642264,2023-07-11 17:07:02.642264,CUST_5224,High,Phone,Quality Assurance,Feedback Management Software,6802.08,Quality_Agent_2,232,84.34,Expedited,System C,True
CASE_00001,Review and Refine,2023-07-11 17:07:02.642264,2023-07-12 09:00:02.642264,CUST_5224,High,Phone,Quality Assurance,Feedback Management Software,6802.08,Quality_Agent_1,172,155.13,Expedited,System A,True
CASE_00002,Analyze User Behavior,2023-08-03 10:08:52.824373,2023-08-03 13:12:52.824373,CUST_7916,Medium,Web,Quality Assurance,Feedback Tools,1473.66,Quality_Agent_1,184,122.21,Delayed,System B,True
CASE_00002,Provide Actionable Feedback,2023-08-03 13:12:52.824373,2023-08-03 16:28:52.824373,CUST_7916,Medium,Web,Quality Assurance,Feedback Tools,1473.66,Quality_Agent_1,196,145.56,Expedited,System B,True
CASE_00002,Implement Changes,2023-08-03 16:28:52.824373,2023-08-04 09:00:52.824373,CUST_7916,Medium,Web,Quality Assurance,Feedback Tools,1473.66,Quality_Agent_1,430,123.05,Completed,System B,True
CASE_00002,Review and Refine,2023-08-04 09:00:52.824373,2023-08-04 16:43:52.824373,CUST_7916,Medium,Web,Quality Assurance,Feedback Tools,1473.66,Quality_Agent_2,463,161.14,Completed,System C,True
CASE_00003,Gather Stakeholder Input,2023-04-18 13:05:46.061447,2023-04-18 14:56:46.061447,CUST_3787,Low,In-Person,Business Analysis,Customer Service Software,2576.63,Business_Agent_3,111,152.0,Completed,System A,True
CASE_00003,Refine and Validate,2023-04-18 14:56:46.061447,2023-04-19 09:00:46.061447,CUST_3787,Low,In-Person,Business Analysis,Customer Service Software,2576.63,Business_Agent_3,416,131.18,Expedited,System A,False
CASE_00003,Implement Changes,2023-04-19 09:00:46.061447,2023-04-19 16:20:46.061447,CUST_3787,Low,In-Person,Business Analysis,Customer Service Software,2576.63,Business_Agent_3,440,110.14,Delayed,System C,False
CASE_00003,Review and Refine,2023-04-19 16:20:46.061447,2023-04-20 09:00:46.061447,CUST_3787,Low,In-Person,Business Analysis,Customer Service Software,2576.63,Business_Agent_3,110,139.02,Completed,System B,False
CASE_00004,Gather Stakeholder Input,2023-11-14 09:00:38.705776,2023-11-14 12:43:38.705776,CUST_6605,High,In-Person,Customer Support,Business Intelligence Software,4404.55,Customer_Agent_1,223,127.29,Completed,System C,True
CASE_00004,Refine and Validate,2023-11-14 12:43:38.705776,2023-11-14 14:03:38.705776,CUST_6605,High,In-Person,Customer Support,Business Intelligence Software,4404.55,Customer_Agent_1,80,56.04,Delayed,System C,True
CASE_00004,Implement Changes,2023-11-14 14:03:38.705776,2023-11-15 09:00:38.705776,CUST_6605,High,In-Person,Customer Support,Business Intelligence Software,4404.55,Customer_Agent_2,293,61.24,Completed,System A,False
CASE_00004,Review and Refine,2023-11-15 09:00:38.705776,2023-11-15 11:21:38.705776,CUST_6605,High,In-Person,Customer Support,Business Intelligence Software,4404.55,Customer_Agent_1,141,75.97,Completed,System C,True
CASE_00005,Analyze User Behavior,2023-04-25 09:00:03.242596,2023-04-25 15:12:03.242596,CUST_2539,Low,Phone,Business Analysis,Project Management Tools,6001.4,Business_Agent_2,372,206.86,Delayed,System A,False
CASE_00005,Implement Changes,2023-04-25 15:12:03.242596,2023-04-26 09:00:03.242596,CUST_2539,Low,Phone,Business Analysis,Project Management Tools,6001.4,Business_Agent_2,330,115.31,Delayed,System C,False
CASE_00005,Review and Refine,2023-04-26 09:00:03.242596,2023-04-26 09:43:03.242596,CUST_2539,Low,Phone,Business Analysis,Project Management Tools,6001.4,Business_Agent_2,43,162.56,Expedited,System A,False
CASE_00006,Gather Stakeholder Input,2023-03-22 14:26:51.393678,2023-03-22 15:46:51.393678,CUST_9479,Medium,In-Person,Project Management,Supply Chain Management Software,4534.06,Project_Agent_1,80,213.23,Delayed,System A,False
CASE_00006,Implement Changes,2023-03-22 15:46:51.393678,2023-03-22 17:35:51.393678,CUST_9479,Medium,In-Person,Project Management,Supply Chain Management Software,4534.06,Project_Agent_1,109,138.58,Delayed,System C,False
CASE_00006,Review and Refine,2023-03-22 17:35:51.393678,2023-03-23 09:00:51.393678,CUST_9479,Medium,In-Person,Project Management,Supply Chain Management Software,4534.06,Project_Agent_1,477,216.04,Delayed,System B,False
CASE_00007,Analyze User Behavior,2023-07-26 09:00:38.746991,2023-07-26 13:45:38.746991,CUST_8355,Medium,Web,Customer Support,Customer Support Software,9865.06,Customer_Agent_3,285,67.62,Delayed,System C,False
CASE_00007,Provide Actionable Feedback,2023-07-26 13:45:38.746991,2023-07-26 15:10:38.746991,CUST_8355,Medium,Web,Customer Support,Customer Support Software,9865.06,Customer_Agent_1,85,77.14,Delayed,System A,False
CASE_00007,Implement Changes,2023-07-26 15:10:38.746991,2023-07-27 09:00:38.746991,CUST_8355,Medium,Web,Customer Support,Customer Support Software,9865.06,Customer_Agent_2,300,64.69,Delayed,System C,True
