case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Finalize Attachment Status,2023-03-20 09:00:03.966825,2023-03-20 12:05:03.966825,CUST_4110,Low,Email,Records Management,Digital Content Management Software,5271.7,Records_Agent_3,185,240.32,Expedited,System B,False
CASE_00002,Identify Candidate Attachments,2023-09-26 09:00:21.628660,2023-09-26 11:06:21.628660,CUST_8105,High,Web,Security,Digital Asset Management Software,1839.77,Security_Agent_1,126,137.34,Completed,System C,False
CASE_00002,Verify Attachment Details,2023-09-26 11:06:21.628660,2023-09-26 16:13:21.628660,CUST_8105,High,Web,Security,Digital Asset Management Software,1839.77,Security_Agent_2,307,207.26,Delayed,System A,True
CASE_00002,Validate Attachment Details,2023-09-26 16:13:21.628660,2023-09-27 09:00:21.628660,CUST_8105,High,Web,Security,Digital Asset Management Software,1839.77,Security_Agent_3,451,117.77,Delayed,System A,True
CASE_00002,Route To Next Activities,2023-09-27 09:00:21.628660,2023-09-27 11:27:21.628660,CUST_8105,High,Web,Security,Digital Asset Management Software,1839.77,Security_Agent_2,147,117.74,Completed,System C,True
CASE_00002,Finalize Attachment Status,2023-09-27 11:27:21.628660,2023-09-27 17:04:21.628660,CUST_8105,High,Web,Security,Digital Asset Management Software,1839.77,Security_Agent_3,337,153.54,Completed,System B,True
CASE_00003,Attach Files To Case,2023-01-31 09:00:53.869678,2023-01-31 14:00:53.869678,CUST_9172,Medium,Web,Quality Assurance,Digital Asset Management Solutions,3202.04,Quality_Agent_1,300,159.76,Delayed,System A,False
CASE_00003,Review Attachment Details,2023-01-31 14:00:53.869678,2023-02-01 09:00:53.869678,CUST_9172,Medium,Web,Quality Assurance,Digital Asset Management Solutions,3202.04,Quality_Agent_1,475,145.85,Completed,System B,True
CASE_00003,Finalize Attachment Status,2023-02-01 09:00:53.869678,2023-02-01 10:25:53.869678,CUST_9172,Medium,Web,Quality Assurance,Digital Asset Management Solutions,3202.04,Quality_Agent_2,85,146.25,Expedited,System A,True
CASE_00004,Finalize Attachment Status,2023-01-04 09:50:40.546440,2023-01-04 13:37:40.546440,CUST_3396,Medium,Email,Compliance,Digital Asset Management Solutions,5287.25,Compliance_Agent_1,227,95.99,Completed,System B,False
CASE_00005,Finalize Attachment Status,2023-01-06 09:57:46.995604,2023-01-06 17:34:46.995604,CUST_5768,Medium,Phone,Quality Assurance,Digital Asset Management Software,5166.15,Quality_Agent_1,457,175.48,Delayed,System C,False
CASE_00006,Attach Files To Case,2023-07-20 09:49:05.846235,2023-07-20 11:25:05.846235,CUST_5306,Low,Web,Data Management,Digital Asset Management Software,9585.56,Data_Agent_3,96,146.09,Expedited,System B,False
CASE_00006,Review Attachment Details,2023-07-20 11:25:05.846235,2023-07-20 13:29:05.846235,CUST_5306,Low,Web,Data Management,Digital Asset Management Software,9585.56,Data_Agent_2,124,148.95,Delayed,System C,True
CASE_00006,Finalize Attachment Status,2023-07-20 13:29:05.846235,2023-07-20 16:52:05.846235,CUST_5306,Low,Web,Data Management,Digital Asset Management Software,9585.56,Data_Agent_1,203,138.06,Expedited,System C,True
CASE_00007,Finalize Attachment Status,2023-08-30 09:00:35.572716,2023-08-30 11:42:35.572716,CUST_3327,High,Email,Compliance,Digital Content Management Solutions,8662.68,Compliance_Agent_2,162,169.85,Expedited,System C,True
CASE_00008,Attach Files To Case,2023-12-29 09:00:04.417659,2023-12-29 10:40:04.417659,CUST_6383,Low,Email,Compliance,Digital Document Management,2913.17,Compliance_Agent_1,100,123.37,Expedited,System B,True
CASE_00008,Validate Attachment Details,2023-12-29 10:40:04.417659,2023-12-29 14:22:04.417659,CUST_6383,Low,Email,Compliance,Digital Document Management,2913.17,Compliance_Agent_1,222,92.91,Completed,System B,False
CASE_00008,Route To Next Activities,2023-12-29 14:22:04.417659,2023-12-29 17:56:04.417659,CUST_6383,Low,Email,Compliance,Digital Document Management,2913.17,Compliance_Agent_1,214,100.74,Expedited,System C,False
CASE_00008,Finalize Attachment Status,2023-12-29 17:56:04.417659,2024-01-02 09:00:04.417659,CUST_6383,Low,Email,Compliance,Digital Document Management,2913.17,Compliance_Agent_2,469,117.06,Expedited,System B,True
CASE_00009,Finalize Attachment Status,2023-03-21 10:16:30.042446,2023-03-21 17:51:30.042446,CUST_6295,Low,Phone,Compliance,Digital File Management Solutions,8215.02,Compliance_Agent_1,455,101.94,Completed,System A,True
CASE_00010,Attach Files To Case,2023-11-02 09:00:38.375115,2023-11-02 10:32:38.375115,CUST_2794,High,In-Person,Data Management,Digital Asset Management Software,5285.27,Data_Agent_2,92,201.58,Completed,System B,False
