case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Activity Selection Meeting,2023-10-23 09:00:36.634616,2023-10-23 12:27:36.634616,CUST_2012,Low,Email,Network Administration,Supply Chain Management Software,2030.52,Network_Agent_3,207,93.97,Delayed,System C,False
CASE_00001,Availability Scheduling,2023-10-23 12:27:36.634616,2023-10-24 09:00:36.634616,CUST_2012,Low,Email,Network Administration,Supply Chain Management Software,2030.52,Network_Agent_1,442,171.46,Expedited,System A,False
CASE_00001,Resource Verification,2023-10-24 09:00:36.634616,2023-10-24 14:21:36.634616,CUST_2012,Low,Email,Network Administration,Supply Chain Management Software,2030.52,Network_Agent_3,321,137.69,Delayed,System B,True
CASE_00002,Activity Selection Meeting,2023-09-08 09:00:34.741919,2023-09-08 12:52:34.741919,CUST_9517,Medium,Web,System Management,Resource Management Software,6283.85,System_Agent_2,232,203.48,Completed,System C,False
CASE_00002,Availability Scheduling,2023-09-08 12:52:34.741919,2023-09-12 09:00:34.741919,CUST_9517,Medium,Web,System Management,Resource Management Software,6283.85,System_Agent_2,370,223.47,Expedited,System C,False
CASE_00002,Resource Verification,2023-09-12 09:00:34.741919,2023-09-12 16:05:34.741919,CUST_9517,Medium,Web,System Management,Resource Management Software,6283.85,System_Agent_2,425,238.71,Expedited,System C,False
CASE_00003,Activity Selection Meeting,2023-03-31 09:00:41.697672,2023-03-31 14:49:41.697672,CUST_8471,Medium,Email,Cloud Services,Resource Management Software,1618.26,Cloud_Agent_1,349,198.0,Completed,System B,False
CASE_00003,Activity Scheduling Review,2023-03-31 14:49:41.697672,2023-03-31 15:46:41.697672,CUST_8471,Medium,Email,Cloud Services,Resource Management Software,1618.26,Cloud_Agent_1,57,223.97,Completed,System C,True
CASE_00003,Availability Scheduling Approval,2023-03-31 15:46:41.697672,2023-04-04 09:00:41.697672,CUST_8471,Medium,Email,Cloud Services,Resource Management Software,1618.26,Cloud_Agent_3,437,203.38,Delayed,System C,True
CASE_00003,Resource Verification,2023-04-04 09:00:41.697672,2023-04-04 13:22:41.697672,CUST_8471,Medium,Email,Cloud Services,Resource Management Software,1618.26,Cloud_Agent_2,262,226.09,Expedited,System A,True
CASE_00004,Resource Verification,2023-11-30 12:22:35.071483,2023-12-01 09:00:35.071483,CUST_8034,Medium,Phone,IT,Resource Management,9383.37,IT_Agent_1,382,59.21,Completed,System C,True
CASE_00005,Activity Selection Meeting,2023-09-26 09:00:57.665961,2023-09-26 13:36:57.665961,CUST_8680,Low,In-Person,System Management,Scheduling Software,1383.63,System_Agent_1,276,222.75,Delayed,System B,True
CASE_00005,Availability Scheduling Approval,2023-09-26 13:36:57.665961,2023-09-27 09:00:57.665961,CUST_8680,Low,In-Person,System Management,Scheduling Software,1383.63,System_Agent_1,455,171.86,Expedited,System C,False
CASE_00005,Resource Verification,2023-09-27 09:00:57.665961,2023-09-27 12:31:57.665961,CUST_8680,Low,In-Person,System Management,Scheduling Software,1383.63,System_Agent_1,211,217.63,Expedited,System C,False
CASE_00006,Scheduling Resource Allocation,2023-03-14 17:48:23.984305,2023-03-15 09:00:23.984305,CUST_8582,High,In-Person,IT,Resource Management Software,9831.78,IT_Agent_2,56,135.75,Delayed,System C,True
