case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Customer Interaction Tracking,2023-06-06 09:00:55.496567,2023-06-06 12:08:55.496567,CUST_2515,High,In-Person,Support,Customer Service Analytics Software,8249.59,Support_Agent_2,188,132.86,Completed,System B,True
CASE_00001,Issue Resolution Process,2023-06-06 12:08:55.496567,2023-06-07 09:00:55.496567,CUST_2515,High,In-Person,Support,Customer Service Analytics Software,8249.59,Support_Agent_1,375,101.41,Completed,System C,True
CASE_00001,First Call Resolution Rate,2023-06-07 09:00:55.496567,2023-06-07 10:36:55.496567,CUST_2515,High,In-Person,Support,Customer Service Analytics Software,8249.59,Support_Agent_1,96,96.11,Completed,System A,True
CASE_00001,Customer Satisfaction Survey,2023-06-07 10:36:55.496567,2023-06-07 11:41:55.496567,CUST_2515,High,In-Person,Support,Customer Service Analytics Software,8249.59,Support_Agent_2,65,100.43,Delayed,System A,True
CASE_00002,Customer Identification,2023-04-17 09:00:06.409774,2023-04-17 11:47:06.409774,CUST_8892,Medium,Email,IT,Customer Service Analytics,1776.7,IT_Agent_1,167,140.43,Completed,System A,True
CASE_00002,Issue Resolution Process,2023-04-17 11:47:06.409774,2023-04-17 17:48:06.409774,CUST_8892,Medium,Email,IT,Customer Service Analytics,1776.7,IT_Agent_2,361,149.85,Expedited,System C,False
CASE_00002,First Call Resolution Rate,2023-04-17 17:48:06.409774,2023-04-18 09:00:06.409774,CUST_8892,Medium,Email,IT,Customer Service Analytics,1776.7,IT_Agent_2,231,171.12,Expedited,System B,True
CASE_00002,Customer Satisfaction Survey,2023-04-18 09:00:06.409774,2023-04-18 14:33:06.409774,CUST_8892,Medium,Email,IT,Customer Service Analytics,1776.7,IT_Agent_2,333,189.84,Completed,System A,True
CASE_00003,Customer Interaction Tracking,2023-12-11 10:26:29.610951,2023-12-11 11:18:29.610951,CUST_4306,Medium,In-Person,Support,Customer Service Analytics,5879.66,Support_Agent_2,52,108.52,Expedited,System B,True
CASE_00003,Issue Resolution Process,2023-12-11 11:18:29.610951,2023-12-11 13:04:29.610951,CUST_4306,Medium,In-Person,Support,Customer Service Analytics,5879.66,Support_Agent_2,106,119.05,Delayed,System C,False
CASE_00003,First Call Resolution Rate,2023-12-11 13:04:29.610951,2023-12-11 13:54:29.610951,CUST_4306,Medium,In-Person,Support,Customer Service Analytics,5879.66,Support_Agent_2,50,79.24,Completed,System B,False
CASE_00003,Customer Satisfaction Survey,2023-12-11 13:54:29.610951,2023-12-11 15:59:29.610951,CUST_4306,Medium,In-Person,Support,Customer Service Analytics,5879.66,Support_Agent_2,125,96.21,Delayed,System A,False
CASE_00004,Customer Identification,2023-11-08 17:00:16.744527,2023-11-09 09:00:16.744527,CUST_8429,Low,Web,Support,Customer Service Analytics,8078.76,Support_Agent_2,317,164.66,Completed,System C,False
CASE_00004,Issue Resolution Process,2023-11-09 09:00:16.744527,2023-11-09 10:05:16.744527,CUST_8429,Low,Web,Support,Customer Service Analytics,8078.76,Support_Agent_2,65,163.25,Delayed,System B,False
CASE_00004,First Call Resolution Rate,2023-11-09 10:05:16.744527,2023-11-09 15:07:16.744527,CUST_8429,Low,Web,Support,Customer Service Analytics,8078.76,Support_Agent_1,302,110.41,Completed,System A,False
CASE_00004,Customer Satisfaction Survey,2023-11-09 15:07:16.744527,2023-11-10 09:00:16.744527,CUST_8429,Low,Web,Support,Customer Service Analytics,8078.76,Support_Agent_1,295,131.55,Expedited,System B,False
CASE_00005,Customer Interaction Tracking,2023-09-01 09:00:10.382794,2023-09-01 14:30:10.382794,CUST_6022,High,Phone,Management,Customer Service Analytics,5103.36,Management_Agent_1,330,172.41,Expedited,System A,False
CASE_00005,Issue Resolution Process,2023-09-01 14:30:10.382794,2023-09-05 09:00:10.382794,CUST_6022,High,Phone,Management,Customer Service Analytics,5103.36,Management_Agent_2,455,247.92,Expedited,System C,False
CASE_00005,First Call Resolution Rate,2023-09-05 09:00:10.382794,2023-09-05 15:05:10.382794,CUST_6022,High,Phone,Management,Customer Service Analytics,5103.36,Management_Agent_2,365,245.79,Delayed,System B,True
CASE_00005,Customer Satisfaction Survey,2023-09-05 15:05:10.382794,2023-09-06 09:00:10.382794,CUST_6022,High,Phone,Management,Customer Service Analytics,5103.36,Management_Agent_2,447,175.62,Completed,System C,False
CASE_00006,Customer Identification,2023-03-23 09:00:25.788452,2023-03-23 11:19:25.788452,CUST_4146,Medium,Web,IT,Customer Service Analytics,7227.65,IT_Agent_1,139,161.1,Delayed,System A,True
CASE_00006,Issue Resolution Process,2023-03-23 11:19:25.788452,2023-03-23 16:19:25.788452,CUST_4146,Medium,Web,IT,Customer Service Analytics,7227.65,IT_Agent_2,300,228.0,Completed,System C,True
CASE_00006,First Call Resolution Rate,2023-03-23 16:19:25.788452,2023-03-24 09:00:25.788452,CUST_4146,Medium,Web,IT,Customer Service Analytics,7227.65,IT_Agent_2,146,168.2,Expedited,System A,True
CASE_00006,Customer Satisfaction Survey,2023-03-24 09:00:25.788452,2023-03-24 10:08:25.788452,CUST_4146,Medium,Web,IT,Customer Service Analytics,7227.65,IT_Agent_2,68,191.7,Delayed,System C,False
CASE_00007,Customer Identification,2023-02-02 09:00:30.415061,2023-02-02 16:34:30.415061,CUST_1993,Medium,Web,Customer Service,Customer Service Analytics,238.66,Customer_Agent_1,454,110.98,Completed,System C,False
CASE_00007,Issue Resolution Process,2023-02-02 16:34:30.415061,2023-02-03 09:00:30.415061,CUST_1993,Medium,Web,Customer Service,Customer Service Analytics,238.66,Customer_Agent_2,339,64.94,Delayed,System C,False
CASE_00007,First Call Resolution Rate,2023-02-03 09:00:30.415061,2023-02-03 16:01:30.415061,CUST_1993,Medium,Web,Customer Service,Customer Service Analytics,238.66,Customer_Agent_2,421,55.42,Delayed,System C,False
