case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Activity_5,2023-08-22 13:09:29.040655,2023-08-22 16:22:29.040655,CUST_5715,Medium,In-Person,Sales,Type C,9121.05,Sales_Agent_3,193,72.22,Expedited,System C,False
CASE_00002,Activity_1,2023-10-04 09:00:49.860968,2023-10-04 10:31:49.860968,CUST_2125,High,In-Person,Customer Service,Type C,4789.47,Customer_Agent_3,91,118.11,Completed,System C,True
CASE_00002,Activity_3,2023-10-04 10:31:49.860968,2023-10-04 16:17:49.860968,CUST_2125,High,In-Person,Customer Service,Type C,4789.47,Customer_Agent_1,346,136.8,Completed,System A,False
CASE_00002,Activity_4,2023-10-04 16:17:49.860968,2023-10-05 09:00:49.860968,CUST_2125,High,In-Person,Customer Service,Type C,4789.47,Customer_Agent_2,152,135.1,Delayed,System B,False
CASE_00002,Activity_5,2023-10-05 09:00:49.860968,2023-10-05 09:44:49.860968,CUST_2125,High,In-Person,Customer Service,Type C,4789.47,Customer_Agent_3,44,95.48,Delayed,System B,False
CASE_00003,Activity_1,2023-05-22 09:00:59.207690,2023-05-22 13:16:59.207690,CUST_1375,Low,In-Person,Legal,Type A,8179.27,Legal_Agent_1,256,134.21,Delayed,System A,True
CASE_00003,Activity_5,2023-05-22 13:16:59.207690,2023-05-23 09:00:59.207690,CUST_1375,Low,In-Person,Legal,Type A,8179.27,Legal_Agent_3,437,219.54,Delayed,System B,False
CASE_00004,Activity_1,2023-05-22 09:00:38.139910,2023-05-22 14:11:38.139910,CUST_6581,Medium,In-Person,Finance,Type A,8308.19,Finance_Agent_1,311,153.95,Completed,System C,False
CASE_00004,Activity_4,2023-05-22 14:11:38.139910,2023-05-23 09:00:38.139910,CUST_6581,Medium,In-Person,Finance,Type A,8308.19,Finance_Agent_2,326,118.43,Expedited,System C,True
CASE_00004,Activity_5,2023-05-23 09:00:38.139910,2023-05-23 13:06:38.139910,CUST_6581,Medium,In-Person,Finance,Type A,8308.19,Finance_Agent_1,246,150.59,Delayed,System B,True
CASE_00005,Activity_5,2023-04-25 09:00:39.351397,2023-04-25 10:01:39.351397,CUST_3263,Low,Email,Customer Service,Type C,7744.94,Customer_Agent_3,61,101.96,Completed,System A,False
CASE_00006,Activity_5,2023-07-03 09:00:32.280520,2023-07-03 16:07:32.280520,CUST_4557,Medium,Web,Operations,Type A,360.55,Operations_Agent_2,427,82.18,Completed,System A,True
CASE_00007,Activity_1,2023-09-19 09:00:17.818364,2023-09-19 13:11:17.818364,CUST_1375,Medium,In-Person,Finance,Type B,1515.01,Finance_Agent_3,251,113.83,Completed,System B,True
CASE_00007,Activity_2,2023-09-19 13:11:17.818364,2023-09-19 15:34:17.818364,CUST_1375,Medium,In-Person,Finance,Type B,1515.01,Finance_Agent_2,143,119.93,Delayed,System B,False
CASE_00007,Activity_4,2023-09-19 15:34:17.818364,2023-09-20 09:00:17.818364,CUST_1375,Medium,In-Person,Finance,Type B,1515.01,Finance_Agent_1,216,205.7,Expedited,System B,True
CASE_00007,Activity_5,2023-09-20 09:00:17.818364,2023-09-20 16:31:17.818364,CUST_1375,Medium,In-Person,Finance,Type B,1515.01,Finance_Agent_3,451,143.02,Delayed,System A,True
CASE_00008,Activity_5,2023-10-31 15:41:06.130136,2023-11-01 09:00:06.130136,CUST_6984,Low,In-Person,Legal,Type A,9129.81,Legal_Agent_1,407,222.11,Delayed,System B,True
CASE_00009,Activity_1,2023-05-30 12:28:48.805533,2023-05-30 13:44:48.805533,CUST_8492,Medium,In-Person,Legal,Type B,4158.76,Legal_Agent_1,76,203.02,Delayed,System A,True
CASE_00009,Activity_4,2023-05-30 13:44:48.805533,2023-05-30 16:03:48.805533,CUST_8492,Medium,In-Person,Legal,Type B,4158.76,Legal_Agent_3,139,148.04,Expedited,System B,True
