case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Verify Comment Intent,2023-06-12 09:00:33.403999,2023-06-12 12:24:33.403999,CUST_7052,Low,Phone,Quality Assurance,Customer Service Software,231.38,Quality_Agent_3,204,112.07,Delayed,System B,True
CASE_00001,Process Comment for Moderation,2023-06-12 12:24:33.403999,2023-06-13 09:00:33.403999,CUST_7052,Low,Phone,Quality Assurance,Customer Service Software,231.38,Quality_Agent_1,347,80.99,Delayed,System C,True
CASE_00002,Route Comment Request,2023-06-09 09:00:23.845959,2023-06-09 11:40:23.845959,CUST_5449,High,Email,Editorial Review Team,Customer Engagement Software,3567.48,Editorial_Agent_2,160,129.73,Delayed,System C,False
CASE_00002,Map Comment to User,2023-06-09 11:40:23.845959,2023-06-09 16:32:23.845959,CUST_5449,High,Email,Editorial Review Team,Customer Engagement Software,3567.48,Editorial_Agent_2,292,118.69,Expedited,System C,False
CASE_00002,Process Comment for Moderation,2023-06-09 16:32:23.845959,2023-06-09 17:07:23.845959,CUST_5449,High,Email,Editorial Review Team,Customer Engagement Software,3567.48,Editorial_Agent_2,35,172.05,Delayed,System C,True
CASE_00003,Verify Comment Intent,2023-09-12 10:51:46.564517,2023-09-12 14:21:46.564517,CUST_8492,Medium,Phone,Editorial Review Team,Social Media Moderation Software,1963.73,Editorial_Agent_2,210,155.08,Expedited,System B,False
CASE_00003,Process Comment for Moderation,2023-09-12 14:21:46.564517,2023-09-12 17:48:46.564517,CUST_8492,Medium,Phone,Editorial Review Team,Social Media Moderation Software,1963.73,Editorial_Agent_2,207,185.14,Expedited,System C,True
CASE_00004,Route Comment Request,2023-12-12 09:00:07.254504,2023-12-12 15:51:07.254504,CUST_9103,High,Web,Editorial Review Team,Customer Interaction Tools,198.0,Editorial_Agent_2,411,193.66,Completed,System B,True
CASE_00004,Map Comment to User,2023-12-12 15:51:07.254504,2023-12-13 09:00:07.254504,CUST_9103,High,Web,Editorial Review Team,Customer Interaction Tools,198.0,Editorial_Agent_2,366,161.26,Expedited,System C,False
CASE_00004,Process Comment for Moderation,2023-12-13 09:00:07.254504,2023-12-13 11:35:07.254504,CUST_9103,High,Web,Editorial Review Team,Customer Interaction Tools,198.0,Editorial_Agent_1,155,164.67,Expedited,System A,True
CASE_00005,Route Comment Request,2023-07-14 11:29:15.920224,2023-07-14 12:46:15.920224,CUST_3008,Low,Phone,Technical Support,Software as a Service (SaaS) Applications,957.84,Technical_Agent_1,77,220.05,Completed,System C,False
CASE_00005,Verify Comment Intent,2023-07-14 12:46:15.920224,2023-07-18 09:00:15.920224,CUST_3008,Low,Phone,Technical Support,Software as a Service (SaaS) Applications,957.84,Technical_Agent_2,430,168.11,Completed,System A,True
CASE_00005,Process Comment for Moderation,2023-07-18 09:00:15.920224,2023-07-18 13:54:15.920224,CUST_3008,Low,Phone,Technical Support,Software as a Service (SaaS) Applications,957.84,Technical_Agent_1,294,167.1,Expedited,System C,True
CASE_00006,Verify Comment Intent,2023-03-28 09:00:24.828968,2023-03-28 11:25:24.828968,CUST_2397,High,In-Person,Editorial Review Team,Social Media Management Software,9363.5,Editorial_Agent_2,145,140.68,Expedited,System C,False
CASE_00006,Process Comment for Moderation,2023-03-28 11:25:24.828968,2023-03-28 13:41:24.828968,CUST_2397,High,In-Person,Editorial Review Team,Social Media Management Software,9363.5,Editorial_Agent_1,136,164.81,Completed,System A,False
CASE_00007,Route Comment Request,2023-10-17 09:00:14.008707,2023-10-17 15:09:14.008707,CUST_3030,Low,Phone,Technical Support,Social Media Management Tools,9189.49,Technical_Agent_2,369,227.94,Expedited,System A,True
CASE_00007,Process Comment for Moderation,2023-10-17 15:09:14.008707,2023-10-18 09:00:14.008707,CUST_3030,Low,Phone,Technical Support,Social Media Management Tools,9189.49,Technical_Agent_2,286,153.75,Expedited,System B,False
CASE_00008,Route Request Processing,2023-12-26 09:00:02.206183,2023-12-26 12:29:02.206183,CUST_8805,Low,Phone,Engineering,Social Media Management Software,3494.2,Engineering_Agent_1,209,105.3,Delayed,System A,False
CASE_00008,Map Comment to User,2023-12-26 12:29:02.206183,2023-12-26 14:54:02.206183,CUST_8805,Low,Phone,Engineering,Social Media Management Software,3494.2,Engineering_Agent_1,145,122.69,Expedited,System A,True
CASE_00008,Process Comment for Moderation,2023-12-26 14:54:02.206183,2023-12-27 09:00:02.206183,CUST_8805,Low,Phone,Engineering,Social Media Management Software,3494.2,Engineering_Agent_2,397,109.62,Delayed,System B,True
CASE_00009,Route Request Processing,2023-12-12 09:00:41.146394,2023-12-12 10:32:41.146394,CUST_9946,Medium,In-Person,Editorial Review Team,Social Media Management Tools,4844.16,Editorial_Agent_1,92,154.11,Expedited,System A,False
CASE_00009,Map Comment to User,2023-12-12 10:32:41.146394,2023-12-12 15:27:41.146394,CUST_9946,Medium,In-Person,Editorial Review Team,Social Media Management Tools,4844.16,Editorial_Agent_2,295,167.33,Delayed,System B,False
CASE_00009,Process Comment for Moderation,2023-12-12 15:27:41.146394,2023-12-12 17:16:41.146394,CUST_9946,Medium,In-Person,Editorial Review Team,Social Media Management Tools,4844.16,Editorial_Agent_2,109,207.62,Delayed,System C,False
CASE_00010,Verify Comment Intent,2023-01-10 09:00:35.330450,2023-01-10 14:38:35.330450,CUST_3820,Low,Phone,Technical Support,Customer Engagement Software,6355.13,Technical_Agent_1,338,140.3,Delayed,System B,False
CASE_00010,Process Comment for Moderation,2023-01-10 14:38:35.330450,2023-01-11 09:00:35.330450,CUST_3820,Low,Phone,Technical Support,Customer Engagement Software,6355.13,Technical_Agent_1,465,154.88,Completed,System C,True
CASE_00011,Route Comment Request,2023-09-21 13:33:09.652787,2023-09-22 09:00:09.652787,CUST_8015,Medium,Web,Engineering,Customer Feedback Management Software,1868.23,Engineering_Agent_2,439,108.12,Completed,System C,False
CASE_00011,Map Comment to User,2023-09-22 09:00:09.652787,2023-09-22 15:12:09.652787,CUST_8015,Medium,Web,Engineering,Customer Feedback Management Software,1868.23,Engineering_Agent_2,372,100.21,Completed,System B,False
CASE_00011,Process Comment for Moderation,2023-09-22 15:12:09.652787,2023-09-26 09:00:09.652787,CUST_8015,Medium,Web,Engineering,Customer Feedback Management Software,1868.23,Engineering_Agent_1,464,66.56,Completed,System C,False
CASE_00012,Route Request Processing,2023-04-10 17:04:05.971192,2023-04-11 09:00:05.971192,CUST_7559,Medium,Web,Engineering,Online Review Management Tools,6419.3,Engineering_Agent_2,302,63.33,Completed,System C,False
CASE_00012,Map Comment to User,2023-04-11 09:00:05.971192,2023-04-11 11:27:05.971192,CUST_7559,Medium,Web,Engineering,Online Review Management Tools,6419.3,Engineering_Agent_2,147,111.5,Expedited,System B,False
CASE_00012,Process Comment for Moderation,2023-04-11 11:27:05.971192,2023-04-11 13:20:05.971192,CUST_7559,Medium,Web,Engineering,Online Review Management Tools,6419.3,Engineering_Agent_2,113,60.07,Completed,System B,True
CASE_00013,Route Request Processing,2023-06-26 09:00:47.487959,2023-06-26 14:10:47.487959,CUST_1497,Low,Phone,Engineering,Customer Engagement Software,1285.77,Engineering_Agent_1,310,61.69,Expedited,System C,False
CASE_00013,Map Comment to User,2023-06-26 14:10:47.487959,2023-06-27 09:00:47.487959,CUST_1497,Low,Phone,Engineering,Customer Engagement Software,1285.77,Engineering_Agent_2,280,132.05,Completed,System C,False
