case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Monitor Progress,2023-08-15 09:00:45.800953,2023-08-15 10:31:45.800953,CUST_3528,High,Email,IT Security,Regulatory Management Solutions,6315.29,IT_Agent_2,91,225.61,Delayed,System A,False
CASE_00002,Monitor Progress,2023-09-28 09:00:10.910028,2023-09-28 12:37:10.910028,CUST_5394,Low,Web,IT Security,Compliance Management Solutions,4421.23,IT_Agent_2,217,164.97,Expedited,System C,True
CASE_00003,Monitor Progress,2023-06-06 09:00:56.243331,2023-06-06 14:57:56.243331,CUST_1948,Medium,Web,Compliance,Risk Management Solutions,6681.54,Compliance_Agent_1,357,152.4,Delayed,System A,True
CASE_00004,Trigger Event Monitoring,2023-12-18 09:00:54.854991,2023-12-18 16:34:54.854991,CUST_9252,Low,In-Person,Regulatory Affairs,Regulatory Management Solutions,9224.69,Regulatory_Agent_2,454,85.03,Delayed,System C,False
CASE_00004,Assign Tasks,2023-12-18 16:34:54.854991,2023-12-19 09:00:54.854991,CUST_9252,Low,In-Person,Regulatory Affairs,Regulatory Management Solutions,9224.69,Regulatory_Agent_2,257,135.39,Delayed,System C,True
CASE_00004,Monitor Progress,2023-12-19 09:00:54.854991,2023-12-19 11:46:54.854991,CUST_9252,Low,In-Person,Regulatory Affairs,Regulatory Management Solutions,9224.69,Regulatory_Agent_2,166,111.23,Delayed,System A,False
CASE_00005,Trigger Event Monitoring,2023-07-07 09:00:41.742293,2023-07-07 13:29:41.742293,CUST_6954,High,Phone,IT Security,Regulatory Management Solutions,9741.84,IT_Agent_2,269,203.49,Expedited,System A,True
CASE_00005,Assign Tasks,2023-07-07 13:29:41.742293,2023-07-11 09:00:41.742293,CUST_6954,High,Phone,IT Security,Regulatory Management Solutions,9741.84,IT_Agent_1,301,165.04,Delayed,System B,False
CASE_00005,Monitor Progress,2023-07-11 09:00:41.742293,2023-07-11 12:56:41.742293,CUST_6954,High,Phone,IT Security,Regulatory Management Solutions,9741.84,IT_Agent_1,236,211.34,Completed,System A,True
CASE_00006,Monitor Progress,2023-01-17 14:48:07.073864,2023-01-17 16:52:07.073864,CUST_8906,Medium,In-Person,IT Security,Regulatory Management Tools,1469.65,IT_Agent_2,124,134.72,Delayed,System A,True
CASE_00007,Monitor Progress,2023-04-26 09:00:39.131125,2023-04-26 13:53:39.131125,CUST_3171,Medium,Web,Risk Management,Regulatory Solutions,1422.25,Risk_Agent_2,293,121.14,Completed,System C,True
CASE_00008,Monitor Progress,2023-07-04 09:00:14.362221,2023-07-04 15:22:14.362221,CUST_7908,Medium,Web,Regulatory Affairs,Regulatory Management Solutions,7392.71,Regulatory_Agent_2,382,120.31,Expedited,System B,True
CASE_00009,Check Requirements,2023-12-19 09:00:43.858257,2023-12-19 10:23:43.858257,CUST_1080,Medium,Web,Internal Audit,Risk Management Tools,9698.92,Internal_Agent_3,83,183.24,Expedited,System B,True
