case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Committee Decision Meeting,2023-11-02 14:15:21.144514,2023-11-02 15:29:21.144514,CUST_9757,Medium,In-Person,Correctional Services,Probation Software,8943.02,Correctional_Agent_2,74,166.18,Expedited,System B,True
CASE_00001,Notification of Release,2023-11-02 15:29:21.144514,2023-11-03 09:00:21.144514,CUST_9757,Medium,In-Person,Correctional Services,Probation Software,8943.02,Correctional_Agent_1,456,124.56,Expedited,System A,False
CASE_00002,Committee Decision Meeting,2023-03-21 09:00:53.658182,2023-03-21 11:19:53.658182,CUST_2519,Medium,Phone,Correctional Services,Probation Management Software,7499.35,Correctional_Agent_3,139,130.31,Delayed,System C,False
CASE_00002,Notification of Release,2023-03-21 11:19:53.658182,2023-03-22 09:00:53.658182,CUST_2519,Medium,Phone,Correctional Services,Probation Management Software,7499.35,Correctional_Agent_1,432,163.67,Delayed,System A,True
CASE_00003,Risk Assessment Review,2023-04-28 14:06:22.304045,2023-04-28 17:46:22.304045,CUST_5972,Low,Email,Victim Support,Risk Management Software,551.24,Victim_Agent_2,220,145.66,Completed,System C,True
CASE_00003,Committee Decision Meeting,2023-04-28 17:46:22.304045,2023-05-02 09:00:22.304045,CUST_5972,Low,Email,Victim Support,Risk Management Software,551.24,Victim_Agent_3,74,194.84,Completed,System A,True
CASE_00003,Notification of Release,2023-05-02 09:00:22.304045,2023-05-02 15:34:22.304045,CUST_5972,Low,Email,Victim Support,Risk Management Software,551.24,Victim_Agent_3,394,175.73,Expedited,System A,True
CASE_00004,Committee Decision Meeting,2023-05-24 09:00:19.547653,2023-05-24 15:57:19.547653,CUST_2621,Low,Web,Law Enforcement,Probation Software,1909.73,Law_Agent_3,417,112.84,Completed,System A,False
CASE_00004,Notification of Release,2023-05-24 15:57:19.547653,2023-05-25 09:00:19.547653,CUST_2621,Low,Web,Law Enforcement,Probation Software,1909.73,Law_Agent_1,426,151.52,Completed,System A,False
CASE_00005,Review Eligibility Criteria,2023-12-22 09:00:25.848689,2023-12-22 16:11:25.848689,CUST_1655,Low,Email,Rehabilitation Programs,Parole Management Software,3556.87,Rehabilitation_Agent_2,431,172.96,Delayed,System C,False
CASE_00005,Prepare Report for Committee,2023-12-22 16:11:25.848689,2023-12-26 09:00:25.848689,CUST_1655,Low,Email,Rehabilitation Programs,Parole Management Software,3556.87,Rehabilitation_Agent_1,298,179.84,Completed,System C,True
CASE_00005,Committee Decision Meeting,2023-12-26 09:00:25.848689,2023-12-26 15:08:25.848689,CUST_1655,Low,Email,Rehabilitation Programs,Parole Management Software,3556.87,Rehabilitation_Agent_1,368,219.55,Expedited,System B,False
CASE_00005,Notification of Release,2023-12-26 15:08:25.848689,2023-12-27 09:00:25.848689,CUST_1655,Low,Email,Rehabilitation Programs,Parole Management Software,3556.87,Rehabilitation_Agent_1,424,212.89,Delayed,System B,False
CASE_00006,Committee Decision Meeting,2023-12-26 09:00:37.836955,2023-12-26 11:59:37.836955,CUST_5332,Medium,Email,Parole Board,Probation Software,1530.63,Parole_Agent_1,179,122.92,Delayed,System C,False
CASE_00006,Notification of Release,2023-12-26 11:59:37.836955,2023-12-26 15:54:37.836955,CUST_5332,Medium,Email,Parole Board,Probation Software,1530.63,Parole_Agent_1,235,83.1,Completed,System B,False
CASE_00007,Committee Decision Meeting,2023-04-27 09:00:08.737137,2023-04-27 10:43:08.737137,CUST_1438,Medium,In-Person,Rehabilitation Programs,Probation Software,1253.6,Rehabilitation_Agent_2,103,161.72,Completed,System C,False
CASE_00007,Notification of Release,2023-04-27 10:43:08.737137,2023-04-27 13:47:08.737137,CUST_1438,Medium,In-Person,Rehabilitation Programs,Probation Software,1253.6,Rehabilitation_Agent_2,184,193.06,Delayed,System A,True
CASE_00008,Risk Assessment Review,2023-04-12 17:58:45.252983,2023-04-13 09:00:45.252983,CUST_5550,Medium,In-Person,Victim Support,Probation Management Software,9315.03,Victim_Agent_2,140,200.6,Completed,System A,False
CASE_00008,Committee Decision Meeting,2023-04-13 09:00:45.252983,2023-04-13 16:29:45.252983,CUST_5550,Medium,In-Person,Victim Support,Probation Management Software,9315.03,Victim_Agent_3,449,164.79,Expedited,System C,True
CASE_00008,Notification of Release,2023-04-13 16:29:45.252983,2023-04-14 09:00:45.252983,CUST_5550,Medium,In-Person,Victim Support,Probation Management Software,9315.03,Victim_Agent_3,126,132.99,Completed,System B,True
CASE_00009,Review Eligibility Criteria,2023-03-15 09:00:01.886012,2023-03-15 13:34:01.886012,CUST_7606,Low,Email,Probation Services,Probation Software,223.78,Probation_Agent_2,274,108.21,Delayed,System B,True
CASE_00009,Prepare Report for Committee,2023-03-15 13:34:01.886012,2023-03-16 09:00:01.886012,CUST_7606,Low,Email,Probation Services,Probation Software,223.78,Probation_Agent_1,307,139.26,Delayed,System A,False
CASE_00009,Committee Decision Meeting,2023-03-16 09:00:01.886012,2023-03-16 14:42:01.886012,CUST_7606,Low,Email,Probation Services,Probation Software,223.78,Probation_Agent_1,342,86.7,Delayed,System A,False
CASE_00009,Notification of Release,2023-03-16 14:42:01.886012,2023-03-17 09:00:01.886012,CUST_7606,Low,Email,Probation Services,Probation Software,223.78,Probation_Agent_2,440,98.01,Completed,System B,False
CASE_00010,Committee Decision Meeting,2023-07-28 12:06:47.578558,2023-08-01 09:00:47.578558,CUST_5534,Low,Email,Rehabilitation Programs,Probation and Parole Management Software,6510.31,Rehabilitation_Agent_2,451,160.73,Completed,System B,False
CASE_00010,Notification of Release,2023-08-01 09:00:47.578558,2023-08-01 10:16:47.578558,CUST_5534,Low,Email,Rehabilitation Programs,Probation and Parole Management Software,6510.31,Rehabilitation_Agent_1,76,234.23,Expedited,System C,False
CASE_00011,Risk Assessment Review,2023-12-26 15:56:27.968028,2023-12-27 09:00:27.968028,CUST_1911,High,Web,Parole Board,Probation Software,9896.09,Parole_Agent_1,477,78.41,Expedited,System A,True
CASE_00011,Notification of Release,2023-12-27 09:00:27.968028,2023-12-27 09:57:27.968028,CUST_1911,High,Web,Parole Board,Probation Software,9896.09,Parole_Agent_2,57,92.39,Delayed,System C,True
CASE_00012,Risk Assessment Review,2023-12-19 14:48:56.209197,2023-12-20 09:00:56.209197,CUST_5337,High,In-Person,Victim Support,Parole Management Software,6534.96,Victim_Agent_3,312,170.22,Completed,System C,True
CASE_00012,Committee Decision Meeting,2023-12-20 09:00:56.209197,2023-12-20 16:57:56.209197,CUST_5337,High,In-Person,Victim Support,Parole Management Software,6534.96,Victim_Agent_1,477,172.72,Delayed,System C,False
CASE_00012,Notification of Release,2023-12-20 16:57:56.209197,2023-12-21 09:00:56.209197,CUST_5337,High,In-Person,Victim Support,Parole Management Software,6534.96,Victim_Agent_1,397,229.48,Delayed,System C,False
CASE_00013,Review Eligibility Criteria,2023-11-14 09:15:02.267896,2023-11-14 16:21:02.267896,CUST_5163,Medium,Web,Law Enforcement,Probation Software,635.12,Law_Agent_1,426,143.09,Expedited,System A,False
CASE_00013,Prepare Report for Committee,2023-11-14 16:21:02.267896,2023-11-15 09:00:02.267896,CUST_5163,Medium,Web,Law Enforcement,Probation Software,635.12,Law_Agent_3,186,127.49,Expedited,System A,False
CASE_00013,Committee Decision Meeting,2023-11-15 09:00:02.267896,2023-11-15 16:04:02.267896,CUST_5163,Medium,Web,Law Enforcement,Probation Software,635.12,Law_Agent_2,424,176.62,Completed,System C,True
