case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,User Authentication,2023-08-15 17:59:38.543103,2023-08-16 09:00:38.543103,CUST_7052,Low,Email,Identity and Access Management,Identity and Access Management (IAM) Software,1259.84,Identity_Agent_1,414,184.43,Completed,System C,False
CASE_00001,Verify User Credentials,2023-08-16 09:00:38.543103,2023-08-16 12:24:38.543103,CUST_7052,Low,Email,Identity and Access Management,Identity and Access Management (IAM) Software,1259.84,Identity_Agent_1,204,187.55,Expedited,System B,False
CASE_00001,Send Verified Response,2023-08-16 12:24:38.543103,2023-08-16 13:13:38.543103,CUST_7052,Low,Email,Identity and Access Management,Identity and Access Management (IAM) Software,1259.84,Identity_Agent_3,49,110.74,Delayed,System C,False
CASE_00002,Credential Validation,2023-08-08 12:15:32.026355,2023-08-08 17:49:32.026355,CUST_6016,Low,In-Person,Authentication Team,Identity and Access Management (IAM) Software,214.84,Authentication_Agent_2,334,235.15,Expedited,System C,True
CASE_00002,Verify User Credentials,2023-08-08 17:49:32.026355,2023-08-09 09:00:32.026355,CUST_6016,Low,In-Person,Authentication Team,Identity and Access Management (IAM) Software,214.84,Authentication_Agent_1,347,246.49,Delayed,System B,False
CASE_00002,Send Verified Response,2023-08-09 09:00:32.026355,2023-08-09 14:52:32.026355,CUST_6016,Low,In-Person,Authentication Team,Identity and Access Management (IAM) Software,214.84,Authentication_Agent_1,352,185.02,Completed,System A,True
CASE_00003,Credential Validation,2023-08-15 16:41:34.189493,2023-08-16 09:00:34.189493,CUST_7196,High,Phone,Authentication Team,Identity and Access Management Software,2190.62,Authentication_Agent_2,300,207.04,Expedited,System C,True
CASE_00003,Verify User Credentials,2023-08-16 09:00:34.189493,2023-08-16 11:54:34.189493,CUST_7196,High,Phone,Authentication Team,Identity and Access Management Software,2190.62,Authentication_Agent_1,174,226.0,Expedited,System B,False
CASE_00003,Send Verified Response,2023-08-16 11:54:34.189493,2023-08-16 12:42:34.189493,CUST_7196,High,Phone,Authentication Team,Identity and Access Management Software,2190.62,Authentication_Agent_2,48,209.48,Completed,System A,False
CASE_00004,Send Verified Response,2023-06-15 10:22:06.717359,2023-06-16 09:00:06.717359,CUST_1410,High,Email,IT Security,Identity and Access Management Solutions,5932.99,IT_Agent_3,476,164.66,Completed,System C,True
CASE_00005,Check User Credentials,2023-05-01 15:05:56.042593,2023-05-01 16:51:56.042593,CUST_6795,Low,Email,Identity and Access Management,Identity and Access Management Software,8420.9,Identity_Agent_3,106,146.8,Expedited,System B,False
CASE_00005,Retrieve Verified Data,2023-05-01 16:51:56.042593,2023-05-02 09:00:56.042593,CUST_6795,Low,Email,Identity and Access Management,Identity and Access Management Software,8420.9,Identity_Agent_1,390,139.26,Expedited,System C,False
CASE_00005,Send Verified Response,2023-05-02 09:00:56.042593,2023-05-02 13:34:56.042593,CUST_6795,Low,Email,Identity and Access Management,Identity and Access Management Software,8420.9,Identity_Agent_3,274,106.75,Completed,System A,False
CASE_00006,Check User Credentials,2023-03-27 15:18:11.248828,2023-03-27 16:28:11.248828,CUST_3163,Medium,Email,Human Resources,Identity and Access Management (IAM) Software,9048.55,Human_Agent_2,70,145.31,Completed,System A,False
CASE_00006,Retrieve Verified Data,2023-03-27 16:28:11.248828,2023-03-28 09:00:11.248828,CUST_3163,Medium,Email,Human Resources,Identity and Access Management (IAM) Software,9048.55,Human_Agent_2,375,93.07,Expedited,System B,False
