case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Publish to Queue,2023-12-19 09:39:36.257961,2023-12-19 14:09:36.257961,CUST_8477,High,Phone,Data Governance,Data Orchestration Platform,7371.19,Data_Agent_2,270,138.37,Completed,System C,True
CASE_00001,"Data Distribution Hub   Activity:  Process Data in Queue   Comes after: Publish to Queue, Poll from Queue Leads to: Activity_5, Activity_7, Activity_8",2023-12-19 14:09:36.257961,2023-12-20 09:00:36.257961,CUST_8477,High,Phone,Data Governance,Data Orchestration Platform,7371.19,Data_Agent_1,263,140.19,Expedited,System B,True
CASE_00001,Data Validation Check,2023-12-20 09:00:36.257961,2023-12-20 12:15:36.257961,CUST_8477,High,Phone,Data Governance,Data Orchestration Platform,7371.19,Data_Agent_1,195,137.56,Completed,System A,False
CASE_00002,Data Validation Check,2023-09-21 09:00:46.420673,2023-09-21 09:32:46.420673,CUST_7111,Low,Web,Business Intelligence,Data Analytics Platforms,3207.22,Business_Agent_1,32,121.6,Delayed,System A,False
CASE_00003,Publish to Queue,2023-06-13 09:00:58.545622,2023-06-13 15:32:58.545622,CUST_3272,High,Email,Software Development,Big Data Platforms,8105.76,Software_Agent_3,392,168.77,Completed,System B,True
CASE_00003,"Data Distribution Hub   Activity:  Process Data in Queue   Comes after: Publish to Queue, Poll from Queue Leads to: Activity_5, Activity_7, Activity_8",2023-06-13 15:32:58.545622,2023-06-13 16:38:58.545622,CUST_3272,High,Email,Software Development,Big Data Platforms,8105.76,Software_Agent_2,66,176.84,Expedited,System C,False
CASE_00003,Data Validation Check,2023-06-13 16:38:58.545622,2023-06-14 09:00:58.545622,CUST_3272,High,Email,Software Development,Big Data Platforms,8105.76,Software_Agent_2,372,162.73,Expedited,System B,True
CASE_00004,Data Validation Check,2023-09-26 09:00:30.145646,2023-09-26 13:01:30.145646,CUST_9430,High,Phone,Analytics,Data Analytics Platforms,6364.21,Analytics_Agent_2,241,214.69,Expedited,System B,True
CASE_00005,Data Collection and Processing,2023-01-19 09:00:21.433827,2023-01-19 13:18:21.433827,CUST_9941,Medium,Phone,Business Intelligence,Data Analytics Tools,7999.37,Business_Agent_2,258,134.11,Expedited,System B,True
CASE_00005,Data Preparation,2023-01-19 13:18:21.433827,2023-01-20 09:00:21.433827,CUST_9941,Medium,Phone,Business Intelligence,Data Analytics Tools,7999.37,Business_Agent_3,408,170.08,Expedited,System A,True
CASE_00005,Process Data in Queue,2023-01-20 09:00:21.433827,2023-01-20 11:45:21.433827,CUST_9941,Medium,Phone,Business Intelligence,Data Analytics Tools,7999.37,Business_Agent_2,165,94.07,Expedited,System C,True
CASE_00005,Data Validation Check,2023-01-20 11:45:21.433827,2023-01-20 17:28:21.433827,CUST_9941,Medium,Phone,Business Intelligence,Data Analytics Tools,7999.37,Business_Agent_3,343,140.57,Delayed,System B,True
CASE_00006,Publish to Queue,2023-08-15 09:00:02.513624,2023-08-15 12:56:02.513624,CUST_2621,Low,Email,Analytics,Data Integration Platforms,1999.81,Analytics_Agent_1,236,206.31,Delayed,System C,False
CASE_00006,Poll from Queue,2023-08-15 12:56:02.513624,2023-08-16 09:00:02.513624,CUST_2621,Low,Email,Analytics,Data Integration Platforms,1999.81,Analytics_Agent_2,464,141.18,Delayed,System A,False
CASE_00006,"Data Distribution Hub   Activity:  Process Data in Queue   Comes after: Publish to Queue, Poll from Queue Leads to: Activity_5, Activity_7, Activity_8",2023-08-16 09:00:02.513624,2023-08-16 12:00:02.513624,CUST_2621,Low,Email,Analytics,Data Integration Platforms,1999.81,Analytics_Agent_1,180,193.73,Expedited,System B,False
CASE_00006,Process Data in Queue,2023-08-16 12:00:02.513624,2023-08-16 14:39:02.513624,CUST_2621,Low,Email,Analytics,Data Integration Platforms,1999.81,Analytics_Agent_2,159,186.7,Completed,System A,True
CASE_00006,Data Validation Check,2023-08-16 14:39:02.513624,2023-08-17 09:00:02.513624,CUST_2621,Low,Email,Analytics,Data Integration Platforms,1999.81,Analytics_Agent_1,321,219.2,Expedited,System B,True
CASE_00007,Publish to Queue,2023-10-11 09:00:18.177735,2023-10-11 15:17:18.177735,CUST_1564,Low,In-Person,Business Intelligence,Big Data Platforms,1201.06,Business_Agent_1,377,135.0,Delayed,System A,False
CASE_00007,Poll from Queue,2023-10-11 15:17:18.177735,2023-10-12 09:00:18.177735,CUST_1564,Low,In-Person,Business Intelligence,Big Data Platforms,1201.06,Business_Agent_1,470,170.9,Delayed,System A,True
CASE_00007,"Data Distribution Hub   Activity:  Process Data in Queue   Comes after: Publish to Queue, Poll from Queue Leads to: Activity_5, Activity_7, Activity_8",2023-10-12 09:00:18.177735,2023-10-12 14:05:18.177735,CUST_1564,Low,In-Person,Business Intelligence,Big Data Platforms,1201.06,Business_Agent_1,305,179.04,Delayed,System B,False
CASE_00007,Process Data in Queue,2023-10-12 14:05:18.177735,2023-10-12 17:57:18.177735,CUST_1564,Low,In-Person,Business Intelligence,Big Data Platforms,1201.06,Business_Agent_1,232,140.39,Completed,System C,False
CASE_00007,Data Validation Check,2023-10-12 17:57:18.177735,2023-10-13 09:00:18.177735,CUST_1564,Low,In-Person,Business Intelligence,Big Data Platforms,1201.06,Business_Agent_3,369,108.83,Delayed,System B,False
CASE_00008,Data Collection and Processing,2023-10-19 09:00:46.240161,2023-10-19 14:24:46.240161,CUST_2082,Low,Email,Software Development,Big Data Integration Platforms,2951.8,Software_Agent_3,324,156.13,Delayed,System A,False
CASE_00008,Data Preparation,2023-10-19 14:24:46.240161,2023-10-20 09:00:46.240161,CUST_2082,Low,Email,Software Development,Big Data Integration Platforms,2951.8,Software_Agent_3,382,201.52,Expedited,System C,False
CASE_00008,Process Data in Queue,2023-10-20 09:00:46.240161,2023-10-20 14:48:46.240161,CUST_2082,Low,Email,Software Development,Big Data Integration Platforms,2951.8,Software_Agent_2,348,160.52,Completed,System A,False
CASE_00008,Data Validation Check,2023-10-20 14:48:46.240161,2023-10-24 09:00:46.240161,CUST_2082,Low,Email,Software Development,Big Data Integration Platforms,2951.8,Software_Agent_1,259,238.18,Expedited,System A,True
CASE_00009,Publish to Queue,2023-11-01 14:22:26.654258,2023-11-02 09:00:26.654258,CUST_3439,Low,Web,IT,Data Integration Platform,1565.18,IT_Agent_1,429,104.73,Completed,System C,False
CASE_00009,"Data Distribution Hub   Activity:  Process Data in Queue   Comes after: Publish to Queue, Poll from Queue Leads to: Activity_5, Activity_7, Activity_8",2023-11-02 09:00:26.654258,2023-11-02 10:39:26.654258,CUST_3439,Low,Web,IT,Data Integration Platform,1565.18,IT_Agent_2,99,59.18,Completed,System B,True
CASE_00009,Data Validation Check,2023-11-02 10:39:26.654258,2023-11-02 12:28:26.654258,CUST_3439,Low,Web,IT,Data Integration Platform,1565.18,IT_Agent_1,109,55.24,Completed,System C,False
CASE_00010,Data Collection and Processing,2023-05-12 15:01:37.573311,2023-05-12 17:12:37.573311,CUST_2302,Low,In-Person,Business Intelligence,Data Analytics Platforms,377.54,Business_Agent_1,131,90.03,Expedited,System B,False
CASE_00010,Data Preparation,2023-05-12 17:12:37.573311,2023-05-16 09:00:37.573311,CUST_2302,Low,In-Person,Business Intelligence,Data Analytics Platforms,377.54,Business_Agent_3,326,167.43,Delayed,System A,True
CASE_00010,Data Validation Check,2023-05-16 09:00:37.573311,2023-05-16 14:04:37.573311,CUST_2302,Low,In-Person,Business Intelligence,Data Analytics Platforms,377.54,Business_Agent_3,304,147.26,Expedited,System C,False
