case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Review Request Submission,2023-03-02 09:00:01.158077,2023-03-02 16:01:01.158077,CUST_8857,Low,Phone,Quality Assurance,Logistics and Supply Chain Management Software,1974.52,Quality_Agent_3,421,58.45,Completed,System C,False
CASE_00001,Verify Dispatch Status,2023-03-02 16:01:01.158077,2023-03-03 09:00:01.158077,CUST_8857,Low,Phone,Quality Assurance,Logistics and Supply Chain Management Software,1974.52,Quality_Agent_1,299,101.75,Completed,System C,False
CASE_00001,Resolve Discrepancy Issues,2023-03-03 09:00:01.158077,2023-03-03 15:01:01.158077,CUST_8857,Low,Phone,Quality Assurance,Logistics and Supply Chain Management Software,1974.52,Quality_Agent_2,361,103.62,Completed,System C,True
CASE_00002,Review Request Submission,2023-12-26 09:00:03.667304,2023-12-26 13:56:03.667304,CUST_3667,Low,Web,Supply Chain Management,Logistics Management Software,7498.02,Supply_Agent_1,296,92.44,Expedited,System C,True
CASE_00002,Verify Dispatch Status,2023-12-26 13:56:03.667304,2023-12-27 09:00:03.667304,CUST_3667,Low,Web,Supply Chain Management,Logistics Management Software,7498.02,Supply_Agent_1,335,153.62,Delayed,System B,True
CASE_00002,Resolve Discrepancy Issues,2023-12-27 09:00:03.667304,2023-12-27 10:34:03.667304,CUST_3667,Low,Web,Supply Chain Management,Logistics Management Software,7498.02,Supply_Agent_2,94,135.63,Expedited,System C,False
CASE_00003,Resolve Discrepancy Issues,2023-07-03 12:48:20.939508,2023-07-03 15:35:20.939508,CUST_2177,High,In-Person,Supply Chain Management,Supply Chain Management Software,9379.37,Supply_Agent_1,167,122.02,Delayed,System A,False
CASE_00004,Verify Dispatch Status,2023-05-15 09:00:37.081749,2023-05-15 11:30:37.081749,CUST_6223,Medium,Web,Supply Chain Management,Logistics and Shipping Software,4345.18,Supply_Agent_1,150,99.95,Delayed,System B,False
CASE_00004,Resolve Discrepancy Issues,2023-05-15 11:30:37.081749,2023-05-16 09:00:37.081749,CUST_6223,Medium,Web,Supply Chain Management,Logistics and Shipping Software,4345.18,Supply_Agent_2,477,125.22,Delayed,System B,True
CASE_00005,Resolve Discrepancy Issues,2023-10-23 12:39:22.941979,2023-10-23 16:21:22.941979,CUST_1483,Medium,In-Person,Risk Management,Verification Software,3527.45,Risk_Agent_1,222,146.64,Delayed,System A,False
CASE_00006,Review Request Submission,2023-10-24 09:00:33.376354,2023-10-24 14:03:33.376354,CUST_3490,Medium,In-Person,Operations,Transportation Management Software,1395.95,Operations_Agent_2,303,241.99,Delayed,System A,True
CASE_00006,Verify Dispatch Details,2023-10-24 14:03:33.376354,2023-10-25 09:00:33.376354,CUST_3490,Medium,In-Person,Operations,Transportation Management Software,1395.95,Operations_Agent_2,300,221.73,Delayed,System B,False
CASE_00006,Resolve Discrepancy Issues,2023-10-25 09:00:33.376354,2023-10-25 12:04:33.376354,CUST_3490,Medium,In-Person,Operations,Transportation Management Software,1395.95,Operations_Agent_1,184,191.29,Delayed,System A,False
CASE_00007,Verify Dispatch Status,2023-06-28 09:00:51.186173,2023-06-28 13:31:51.186173,CUST_3387,Low,Web,Logistics,Supply Chain Management Software,7966.92,Logistics_Agent_1,271,128.12,Delayed,System A,True
CASE_00007,Resolve Discrepancy Issues,2023-06-28 13:31:51.186173,2023-06-28 16:14:51.186173,CUST_3387,Low,Web,Logistics,Supply Chain Management Software,7966.92,Logistics_Agent_1,163,123.57,Completed,System B,True
CASE_00008,Review Request Submission,2023-05-03 09:00:28.339367,2023-05-03 16:45:28.339367,CUST_5092,High,In-Person,Quality Assurance,Logistics Management,3715.09,Quality_Agent_1,465,62.44,Expedited,System A,True
CASE_00008,Verify Dispatch Details,2023-05-03 16:45:28.339367,2023-05-03 17:39:28.339367,CUST_5092,High,In-Person,Quality Assurance,Logistics Management,3715.09,Quality_Agent_1,54,101.0,Expedited,System B,True
CASE_00008,Resolve Discrepancy Issues,2023-05-03 17:39:28.339367,2023-05-04 09:00:28.339367,CUST_5092,High,In-Person,Quality Assurance,Logistics Management,3715.09,Quality_Agent_2,228,107.96,Expedited,System C,True
CASE_00009,Review Request Submission,2023-01-23 09:00:24.579537,2023-01-23 16:52:24.579537,CUST_6680,High,Email,Quality Assurance,Logistics Management,699.55,Quality_Agent_3,472,138.76,Completed,System A,False
CASE_00009,Resolve Discrepancy Issues,2023-01-23 16:52:24.579537,2023-01-24 09:00:24.579537,CUST_6680,High,Email,Quality Assurance,Logistics Management,699.55,Quality_Agent_1,414,118.48,Delayed,System A,True
CASE_00010,Review Request Submission,2023-01-31 10:47:04.883307,2023-01-31 17:02:04.883307,CUST_4706,Low,Email,Logistics,Transportation Management Software,9586.98,Logistics_Agent_1,375,145.65,Completed,System B,False
CASE_00010,Verify Dispatch Details,2023-01-31 17:02:04.883307,2023-02-01 09:00:04.883307,CUST_4706,Low,Email,Logistics,Transportation Management Software,9586.98,Logistics_Agent_1,210,84.11,Expedited,System C,False
CASE_00010,Resolve Discrepancy Issues,2023-02-01 09:00:04.883307,2023-02-01 12:44:04.883307,CUST_4706,Low,Email,Logistics,Transportation Management Software,9586.98,Logistics_Agent_1,224,105.04,Delayed,System A,False
CASE_00011,Resolve Discrepancy Issues,2023-05-24 09:00:52.510826,2023-05-24 14:24:52.510826,CUST_4256,Medium,Phone,Compliance,Supply Chain Management Software,311.77,Compliance_Agent_1,324,126.72,Completed,System B,True
CASE_00012,Review Request Submission,2023-08-28 09:00:44.534409,2023-08-28 14:01:44.534409,CUST_5593,High,Web,Logistics,Logistics Software,1271.49,Logistics_Agent_2,301,130.14,Completed,System C,False
CASE_00012,Verify Dispatch Details,2023-08-28 14:01:44.534409,2023-08-29 09:00:44.534409,CUST_5593,High,Web,Logistics,Logistics Software,1271.49,Logistics_Agent_2,283,141.12,Completed,System A,False
