case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Task Monitoring,2023-05-02 09:00:35.613789,2023-05-02 16:54:35.613789,CUST_2290,Low,Web,Development Team,Task Management Software,6642.64,Development_Agent_2,474,228.37,Expedited,System C,True
CASE_00002,Task Routing Decision,2023-01-31 09:00:34.689562,2023-01-31 14:42:34.689562,CUST_3958,Low,Phone,Operations,Workforce Optimization Software,196.56,Operations_Agent_1,342,145.56,Completed,System C,True
CASE_00002,Task Execution Planning,2023-01-31 14:42:34.689562,2023-01-31 15:19:34.689562,CUST_3958,Low,Phone,Operations,Workforce Optimization Software,196.56,Operations_Agent_3,37,118.33,Completed,System B,True
CASE_00002,Task Assignment Confirmation,2023-01-31 15:19:34.689562,2023-02-01 09:00:34.689562,CUST_3958,Low,Phone,Operations,Workforce Optimization Software,196.56,Operations_Agent_2,273,109.46,Delayed,System C,False
CASE_00002,Task Monitoring,2023-02-01 09:00:34.689562,2023-02-01 16:19:34.689562,CUST_3958,Low,Phone,Operations,Workforce Optimization Software,196.56,Operations_Agent_2,439,106.19,Completed,System C,True
CASE_00003,Task Monitoring,2023-03-21 09:00:29.881566,2023-03-21 15:23:29.881566,CUST_7880,Medium,In-Person,IT,Task Automation Software,7252.16,IT_Agent_1,383,63.7,Completed,System B,True
CASE_00004,Task Assignment Manager,2023-04-25 09:00:05.791556,2023-04-25 14:04:05.791556,CUST_1420,High,Phone,Development Team,Workforce Optimization Software,7314.33,Development_Agent_2,304,227.53,Completed,System A,False
CASE_00004,Resource Allocation Review,2023-04-25 14:04:05.791556,2023-04-26 09:00:05.791556,CUST_1420,High,Phone,Development Team,Workforce Optimization Software,7314.33,Development_Agent_1,381,167.42,Completed,System A,True
CASE_00004,Task Monitoring,2023-04-26 09:00:05.791556,2023-04-26 14:37:05.791556,CUST_1420,High,Phone,Development Team,Workforce Optimization Software,7314.33,Development_Agent_1,337,220.04,Completed,System C,False
CASE_00005,Task Routing Decision,2023-10-19 10:40:40.579299,2023-10-19 14:24:40.579299,CUST_1168,Low,In-Person,Development Team,Dynamic Task Automation Software,8005.92,Development_Agent_1,224,221.13,Completed,System B,False
CASE_00005,Task Execution Planning,2023-10-19 14:24:40.579299,2023-10-19 15:23:40.579299,CUST_1168,Low,In-Person,Development Team,Dynamic Task Automation Software,8005.92,Development_Agent_2,59,212.81,Expedited,System B,False
CASE_00005,Task Monitoring,2023-10-19 15:23:40.579299,2023-10-20 09:00:40.579299,CUST_1168,Low,In-Person,Development Team,Dynamic Task Automation Software,8005.92,Development_Agent_1,399,220.34,Completed,System A,False
CASE_00006,Task Monitoring,2023-03-15 13:04:21.889274,2023-03-15 15:36:21.889274,CUST_9199,Low,Email,IT,Workforce Optimization Software,4719.65,IT_Agent_1,152,71.87,Delayed,System C,False
CASE_00007,Task Assignment Manager,2023-11-06 14:03:36.963483,2023-11-06 17:44:36.963483,CUST_7767,Medium,Web,Operations,Workforce Optimization Software,6462.2,Operations_Agent_3,221,141.86,Completed,System B,True
CASE_00007,Resource Allocation Review,2023-11-06 17:44:36.963483,2023-11-07 09:00:36.963483,CUST_7767,Medium,Web,Operations,Workforce Optimization Software,6462.2,Operations_Agent_3,351,148.28,Expedited,System B,True
CASE_00007,Task Monitoring,2023-11-07 09:00:36.963483,2023-11-07 14:50:36.963483,CUST_7767,Medium,Web,Operations,Workforce Optimization Software,6462.2,Operations_Agent_2,350,138.11,Delayed,System B,True
CASE_00008,Task Routing Decision,2023-08-17 09:00:28.496389,2023-08-17 10:18:28.496389,CUST_3581,Medium,Phone,Development Team,Automated Task Management Systems,2973.72,Development_Agent_1,78,238.7,Delayed,System B,False
CASE_00008,Task Assignment Preparation,2023-08-17 10:18:28.496389,2023-08-17 11:14:28.496389,CUST_3581,Medium,Phone,Development Team,Automated Task Management Systems,2973.72,Development_Agent_2,56,153.67,Expedited,System B,True
CASE_00008,Task Assignment Confirmation,2023-08-17 11:14:28.496389,2023-08-17 11:46:28.496389,CUST_3581,Medium,Phone,Development Team,Automated Task Management Systems,2973.72,Development_Agent_1,32,177.16,Expedited,System B,False
CASE_00008,Task Monitoring,2023-08-17 11:46:28.496389,2023-08-17 13:38:28.496389,CUST_3581,Medium,Phone,Development Team,Automated Task Management Systems,2973.72,Development_Agent_2,112,150.29,Delayed,System B,True
CASE_00009,Task Assignment Manager,2023-01-02 16:25:55.329796,2023-01-03 09:00:55.329796,CUST_1651,High,Phone,IT,Task Management Software,7319.59,IT_Agent_1,306,102.95,Expedited,System C,False
CASE_00009,Resource Allocation Review,2023-01-03 09:00:55.329796,2023-01-03 12:01:55.329796,CUST_1651,High,Phone,IT,Task Management Software,7319.59,IT_Agent_1,181,93.55,Completed,System B,False
CASE_00009,Task Monitoring,2023-01-03 12:01:55.329796,2023-01-03 17:23:55.329796,CUST_1651,High,Phone,IT,Task Management Software,7319.59,IT_Agent_2,322,120.67,Completed,System A,True
CASE_00010,Task Assignment Manager,2023-06-27 09:00:06.325739,2023-06-27 12:08:06.325739,CUST_3895,Low,Phone,IT,Workflow Automation Software,9578.73,IT_Agent_2,188,79.56,Delayed,System A,False
CASE_00010,Resource Allocation Review,2023-06-27 12:08:06.325739,2023-06-28 09:00:06.325739,CUST_3895,Low,Phone,IT,Workflow Automation Software,9578.73,IT_Agent_1,368,130.51,Completed,System A,False
CASE_00010,Task Monitoring,2023-06-28 09:00:06.325739,2023-06-28 16:20:06.325739,CUST_3895,Low,Phone,IT,Workflow Automation Software,9578.73,IT_Agent_1,440,59.53,Expedited,System B,False
CASE_00011,Task Assignment Manager,2023-10-17 15:00:58.851395,2023-10-17 16:11:58.851395,CUST_6760,Medium,Phone,IT,Workload Management Software,5217.3,IT_Agent_1,71,109.14,Expedited,System B,True
CASE_00011,Resource Allocation Review,2023-10-17 16:11:58.851395,2023-10-18 09:00:58.851395,CUST_6760,Medium,Phone,IT,Workload Management Software,5217.3,IT_Agent_1,295,75.17,Completed,System A,False
CASE_00011,Task Monitoring,2023-10-18 09:00:58.851395,2023-10-18 09:46:58.851395,CUST_6760,Medium,Phone,IT,Workload Management Software,5217.3,IT_Agent_2,46,101.38,Delayed,System C,True
CASE_00012,Task Monitoring,2023-12-27 09:34:43.149137,2023-12-27 11:52:43.149137,CUST_7357,High,Web,Operations,Workforce Optimization Software,6165.5,Operations_Agent_2,138,82.34,Completed,System A,False
CASE_00013,Task Assignment Manager,2023-03-17 09:00:45.079143,2023-03-17 11:54:45.079143,CUST_4170,High,In-Person,Business Analysis,Workload Management Software,7399.58,Business_Agent_2,174,137.13,Expedited,System C,True
CASE_00013,Resource Allocation Review,2023-03-17 11:54:45.079143,2023-03-17 12:32:45.079143,CUST_4170,High,In-Person,Business Analysis,Workload Management Software,7399.58,Business_Agent_2,38,187.4,Delayed,System B,True
CASE_00013,Task Monitoring,2023-03-17 12:32:45.079143,2023-03-17 14:30:45.079143,CUST_4170,High,In-Person,Business Analysis,Workload Management Software,7399.58,Business_Agent_2,118,159.7,Delayed,System C,False
CASE_00014,Task Monitoring,2023-06-28 13:26:03.739004,2023-06-28 14:26:03.739004,CUST_8920,Medium,In-Person,Project Management,Task Management Software,8007.89,Project_Agent_3,60,169.17,Completed,System B,False
CASE_00015,Task Monitoring,2023-04-18 09:00:06.557464,2023-04-18 12:20:06.557464,CUST_6407,Low,In-Person,IT,Automation Workflows,6588.82,IT_Agent_1,200,55.1,Delayed,System C,True
CASE_00016,Task Assignment Manager,2023-12-13 09:00:37.858490,2023-12-13 11:29:37.858490,CUST_4397,High,Phone,IT,Workforce Optimization Software,1295.65,IT_Agent_1,149,74.79,Expedited,System B,True
CASE_00016,Resource Allocation Review,2023-12-13 11:29:37.858490,2023-12-13 14:00:37.858490,CUST_4397,High,Phone,IT,Workforce Optimization Software,1295.65,IT_Agent_1,151,77.53,Expedited,System A,True
CASE_00016,Task Monitoring,2023-12-13 14:00:37.858490,2023-12-13 15:24:37.858490,CUST_4397,High,Phone,IT,Workforce Optimization Software,1295.65,IT_Agent_1,84,124.94,Completed,System C,False
CASE_00017,Task Assignment Manager,2023-07-11 10:37:15.120039,2023-07-11 14:22:15.120039,CUST_9003,Low,In-Person,Operations,Workforce Optimization Software,6368.14,Operations_Agent_2,225,169.88,Completed,System B,True
CASE_00017,Resource Allocation Review,2023-07-11 14:22:15.120039,2023-07-12 09:00:15.120039,CUST_9003,Low,In-Person,Operations,Workforce Optimization Software,6368.14,Operations_Agent_2,321,112.45,Completed,System B,False
CASE_00017,Task Monitoring,2023-07-12 09:00:15.120039,2023-07-12 10:05:15.120039,CUST_9003,Low,In-Person,Operations,Workforce Optimization Software,6368.14,Operations_Agent_3,65,115.86,Completed,System B,True
CASE_00018,Task Assignment Manager,2023-03-07 09:00:38.715024,2023-03-07 11:11:38.715024,CUST_4831,Medium,Email,Quality Assurance,Workflow Automation Software,5876.89,Quality_Agent_3,131,120.69,Completed,System B,True
CASE_00018,Resource Allocation Review,2023-03-07 11:11:38.715024,2023-03-07 15:05:38.715024,CUST_4831,Medium,Email,Quality Assurance,Workflow Automation Software,5876.89,Quality_Agent_2,234,123.04,Expedited,System C,True
CASE_00018,Task Monitoring,2023-03-07 15:05:38.715024,2023-03-08 09:00:38.715024,CUST_4831,Medium,Email,Quality Assurance,Workflow Automation Software,5876.89,Quality_Agent_2,395,127.51,Expedited,System C,True
CASE_00019,Task Assignment Manager,2023-08-31 09:00:36.701814,2023-08-31 10:23:36.701814,CUST_9102,High,Web,Business Analysis,Task Automation Software,9387.96,Business_Agent_1,83,145.66,Delayed,System B,False
CASE_00019,Resource Allocation Review,2023-08-31 10:23:36.701814,2023-08-31 12:24:36.701814,CUST_9102,High,Web,Business Analysis,Task Automation Software,9387.96,Business_Agent_1,121,213.35,Expedited,System C,True
