case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Assess the Situation,2023-05-31 09:00:45.878150,2023-05-31 11:58:45.878150,CUST_8658,High,Web,Communications,Crisis Management Software,6652.18,Communications_Agent_1,178,200.77,Completed,System A,False
CASE_00001,Identify Root Cause,2023-05-31 11:58:45.878150,2023-05-31 14:24:45.878150,CUST_8658,High,Web,Communications,Crisis Management Software,6652.18,Communications_Agent_2,146,145.86,Delayed,System A,False
CASE_00002,Contain and Stabilize,2023-01-24 14:39:09.613529,2023-01-25 09:00:09.613529,CUST_8789,Medium,Web,Communications,Disaster Recovery Solutions,2739.64,Communications_Agent_1,295,187.96,Expedited,System B,True
CASE_00002,Identify Root Cause,2023-01-25 09:00:09.613529,2023-01-25 11:07:09.613529,CUST_8789,Medium,Web,Communications,Disaster Recovery Solutions,2739.64,Communications_Agent_2,127,207.19,Completed,System A,False
CASE_00003,Assess the Situation,2023-02-22 17:03:21.981260,2023-02-23 09:00:21.981260,CUST_2732,High,Web,Public Relations,Critical Infrastructure Protection Systems,3485.95,Public_Agent_2,289,154.55,Completed,System C,False
CASE_00003,Contain and Stabilize,2023-02-23 09:00:21.981260,2023-02-23 14:32:21.981260,CUST_2732,High,Web,Public Relations,Critical Infrastructure Protection Systems,3485.95,Public_Agent_2,332,180.81,Completed,System C,True
CASE_00003,Identify Root Cause,2023-02-23 14:32:21.981260,2023-02-24 09:00:21.981260,CUST_2732,High,Web,Public Relations,Critical Infrastructure Protection Systems,3485.95,Public_Agent_2,414,223.77,Completed,System B,False
CASE_00004,Assess the Situation,2023-06-13 09:00:06.592713,2023-06-13 11:13:06.592713,CUST_6204,High,Web,IT,Disaster Recovery and Response Systems,3985.4,IT_Agent_2,133,144.71,Delayed,System A,False
CASE_00004,Isolate Affected Area,2023-06-13 11:13:06.592713,2023-06-13 13:27:06.592713,CUST_6204,High,Web,IT,Disaster Recovery and Response Systems,3985.4,IT_Agent_1,134,118.33,Completed,System A,True
CASE_00004,Contain and Stabilize,2023-06-13 13:27:06.592713,2023-06-13 15:45:06.592713,CUST_6204,High,Web,IT,Disaster Recovery and Response Systems,3985.4,IT_Agent_1,138,68.95,Completed,System B,False
CASE_00004,Identify Root Cause,2023-06-13 15:45:06.592713,2023-06-14 09:00:06.592713,CUST_6204,High,Web,IT,Disaster Recovery and Response Systems,3985.4,IT_Agent_1,361,110.07,Completed,System B,True
CASE_00005,Contain and Stabilize,2023-03-13 11:57:48.900653,2023-03-13 13:08:48.900653,CUST_6424,Medium,Web,Public Relations,Disaster Recovery Software,4719.82,Public_Agent_1,71,133.05,Completed,System C,False
CASE_00005,Identify Root Cause,2023-03-13 13:08:48.900653,2023-03-14 09:00:48.900653,CUST_6424,Medium,Web,Public Relations,Disaster Recovery Software,4719.82,Public_Agent_1,401,203.97,Expedited,System C,False
CASE_00006,Contain and Stabilize,2023-05-16 09:00:23.908093,2023-05-16 14:53:23.908093,CUST_2404,Low,Phone,Emergency Management,Disaster Recovery Software.,6127.43,Emergency_Agent_2,353,138.27,Completed,System B,False
CASE_00006,Identify Root Cause,2023-05-16 14:53:23.908093,2023-05-17 09:00:23.908093,CUST_2404,Low,Phone,Emergency Management,Disaster Recovery Software.,6127.43,Emergency_Agent_1,398,125.9,Completed,System A,False
CASE_00007,Contain and Stabilize,2023-09-01 17:40:28.510952,2023-09-05 09:00:28.510952,CUST_7070,Medium,Phone,Communications,Disaster Recovery Software,8490.79,Communications_Agent_1,241,180.36,Delayed,System A,True
CASE_00007,Identify Root Cause,2023-09-05 09:00:28.510952,2023-09-05 13:27:28.510952,CUST_7070,Medium,Phone,Communications,Disaster Recovery Software,8490.79,Communications_Agent_1,267,132.94,Delayed,System A,False
CASE_00008,Assess the Situation,2023-08-03 09:00:23.558508,2023-08-03 15:48:23.558508,CUST_3986,Low,Email,Emergency Management,Disaster Recovery & Management Software,6283.84,Emergency_Agent_2,408,87.16,Completed,System C,True
CASE_00008,Isolate Affected Area,2023-08-03 15:48:23.558508,2023-08-04 09:00:23.558508,CUST_3986,Low,Email,Emergency Management,Disaster Recovery & Management Software,6283.84,Emergency_Agent_2,150,165.61,Expedited,System B,True
CASE_00008,Contain and Stabilize,2023-08-04 09:00:23.558508,2023-08-04 15:34:23.558508,CUST_3986,Low,Email,Emergency Management,Disaster Recovery & Management Software,6283.84,Emergency_Agent_1,394,101.1,Delayed,System A,True
CASE_00008,Identify Root Cause,2023-08-04 15:34:23.558508,2023-08-04 16:36:23.558508,CUST_3986,Low,Email,Emergency Management,Disaster Recovery & Management Software,6283.84,Emergency_Agent_2,62,140.53,Delayed,System A,True
CASE_00009,Assess the Situation,2023-06-19 11:44:31.906966,2023-06-19 15:49:31.906966,CUST_1415,Low,Email,Public Relations,Disaster Recovery and Management Software,8264.2,Public_Agent_1,245,228.13,Completed,System B,False
CASE_00009,Contain and Stabilize,2023-06-19 15:49:31.906966,2023-06-20 09:00:31.906966,CUST_1415,Low,Email,Public Relations,Disaster Recovery and Management Software,8264.2,Public_Agent_1,382,140.38,Expedited,System C,True
