case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Review Event Response Plan,2023-05-18 09:00:52.391404,2023-05-18 10:18:52.391404,CUST_2794,Medium,Web,Communications,Disaster Recovery Software,3365.36,Communications_Agent_3,78,127.7,Completed,System C,True
CASE_00002,Identify Trigger Event,2023-08-01 09:00:55.761013,2023-08-01 12:25:55.761013,CUST_9523,Low,In-Person,Compliance,Emergency Planning Software,1871.05,Compliance_Agent_2,205,134.94,Expedited,System A,False
CASE_00002,Contain and Mitigate,2023-08-01 12:25:55.761013,2023-08-02 09:00:55.761013,CUST_9523,Low,In-Person,Compliance,Emergency Planning Software,1871.05,Compliance_Agent_1,390,103.36,Delayed,System A,False
CASE_00002,Review Event Response Plan,2023-08-02 09:00:55.761013,2023-08-02 10:05:55.761013,CUST_9523,Low,In-Person,Compliance,Emergency Planning Software,1871.05,Compliance_Agent_1,65,149.22,Delayed,System C,False
CASE_00003,Develop Contingency Plan,2023-11-14 10:21:25.530729,2023-11-14 17:40:25.530729,CUST_5408,High,Email,Business Continuity,Emergency Management Software,1073.23,Business_Agent_1,439,228.22,Completed,System C,False
CASE_00003,Review Event Response Plan,2023-11-14 17:40:25.530729,2023-11-15 09:00:25.530729,CUST_5408,High,Email,Business Continuity,Emergency Management Software,1073.23,Business_Agent_2,433,201.95,Expedited,System C,True
CASE_00004,Identify Event Type,2023-09-05 15:57:26.301150,2023-09-06 09:00:26.301150,CUST_9486,Medium,In-Person,Risk Management,Disaster Recovery Software,2094.76,Risk_Agent_2,356,120.35,Expedited,System B,False
CASE_00004,Develop Contingency Plan,2023-09-06 09:00:26.301150,2023-09-06 14:54:26.301150,CUST_9486,Medium,In-Person,Risk Management,Disaster Recovery Software,2094.76,Risk_Agent_2,354,86.73,Expedited,System A,True
CASE_00004,Review Event Response Plan,2023-09-06 14:54:26.301150,2023-09-07 09:00:26.301150,CUST_9486,Medium,In-Person,Risk Management,Disaster Recovery Software,2094.76,Risk_Agent_2,406,123.29,Delayed,System A,True
CASE_00005,Develop Contingency Plan,2023-02-21 09:00:25.089627,2023-02-21 12:23:25.089627,CUST_2705,Low,In-Person,IT,Emergency Response Planning Software,3019.67,IT_Agent_2,203,131.96,Delayed,System C,False
CASE_00005,Review Event Response Plan,2023-02-21 12:23:25.089627,2023-02-21 16:09:25.089627,CUST_2705,Low,In-Person,IT,Emergency Response Planning Software,3019.67,IT_Agent_1,226,111.11,Expedited,System C,True
CASE_00006,Develop Contingency Plan,2023-06-13 14:35:05.430728,2023-06-13 17:46:05.430728,CUST_1007,Low,In-Person,Compliance,Emergency Management Software,5035.36,Compliance_Agent_1,191,138.55,Delayed,System C,False
CASE_00006,Review Event Response Plan,2023-06-13 17:46:05.430728,2023-06-14 09:00:05.430728,CUST_1007,Low,In-Person,Compliance,Emergency Management Software,5035.36,Compliance_Agent_2,105,140.56,Completed,System A,True
CASE_00007,Review Event Response Plan,2023-10-31 09:00:57.775679,2023-10-31 10:55:57.775679,CUST_9590,High,Web,Compliance,Risk Management Software,2392.71,Compliance_Agent_2,115,147.52,Expedited,System B,False
