case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Review Case Files,2023-11-01 09:00:54.481359,2023-11-01 14:59:54.481359,CUST_3703,Low,Email,Evidence Management,Digital Forensics Tools,9565.49,Evidence_Agent_1,359,175.13,Expedited,System A,True
CASE_00001,Analyze Retrieved Evidence,2023-11-01 14:59:54.481359,2023-11-02 09:00:54.481359,CUST_3703,Low,Email,Evidence Management,Digital Forensics Tools,9565.49,Evidence_Agent_2,359,158.17,Delayed,System B,False
CASE_00001,Document Verification,2023-11-02 09:00:54.481359,2023-11-02 14:13:54.481359,CUST_3703,Low,Email,Evidence Management,Digital Forensics Tools,9565.49,Evidence_Agent_2,313,151.3,Delayed,System A,False
CASE_00001,Finalize and Validate Evidence,2023-11-02 14:13:54.481359,2023-11-02 17:27:54.481359,CUST_3703,Low,Email,Evidence Management,Digital Forensics Tools,9565.49,Evidence_Agent_2,194,136.67,Completed,System A,False
CASE_00002,Data Collection Review,2023-06-27 09:00:43.797754,2023-06-27 14:26:43.797754,CUST_5594,Medium,In-Person,Records Management,Digital Evidence Management Systems,8636.24,Records_Agent_3,326,179.43,Expedited,System A,True
CASE_00002,Document Verification,2023-06-27 14:26:43.797754,2023-06-28 09:00:43.797754,CUST_5594,Medium,In-Person,Records Management,Digital Evidence Management Systems,8636.24,Records_Agent_3,455,164.83,Completed,System C,False
CASE_00002,Finalize and Validate Evidence,2023-06-28 09:00:43.797754,2023-06-28 15:22:43.797754,CUST_5594,Medium,In-Person,Records Management,Digital Evidence Management Systems,8636.24,Records_Agent_3,382,155.32,Expedited,System B,True
CASE_00003,Review Case Files,2023-10-24 13:44:51.115906,2023-10-24 14:30:51.115906,CUST_6432,Low,Web,Compliance Department,Digital Forensics Tools,4234.75,Compliance_Agent_1,46,167.72,Delayed,System A,True
CASE_00003,Recover Relevant Evidence,2023-10-24 14:30:51.115906,2023-10-25 09:00:51.115906,CUST_6432,Low,Web,Compliance Department,Digital Forensics Tools,4234.75,Compliance_Agent_2,312,193.33,Delayed,System B,False
CASE_00003,Finalize and Validate Evidence,2023-10-25 09:00:51.115906,2023-10-25 13:18:51.115906,CUST_6432,Low,Web,Compliance Department,Digital Forensics Tools,4234.75,Compliance_Agent_2,258,181.44,Delayed,System C,False
CASE_00004,Data Collection Review,2023-02-20 09:00:13.177293,2023-02-20 09:39:13.177293,CUST_1699,Medium,Email,Investigation Unit,Digital Forensics Tools,6148.13,Investigation_Agent_3,39,72.15,Delayed,System C,True
CASE_00004,Document Verification,2023-02-20 09:39:13.177293,2023-02-20 14:49:13.177293,CUST_1699,Medium,Email,Investigation Unit,Digital Forensics Tools,6148.13,Investigation_Agent_2,310,167.12,Completed,System C,True
CASE_00004,Finalize and Validate Evidence,2023-02-20 14:49:13.177293,2023-02-21 09:00:13.177293,CUST_1699,Medium,Email,Investigation Unit,Digital Forensics Tools,6148.13,Investigation_Agent_3,295,104.11,Completed,System A,True
CASE_00005,Review Case Files,2023-09-20 09:00:29.332105,2023-09-20 13:04:29.332105,CUST_5651,Low,Phone,Compliance Department,Digital Investigation Tools,2678.51,Compliance_Agent_1,244,204.76,Expedited,System B,True
CASE_00005,Analyze Retrieved Evidence,2023-09-20 13:04:29.332105,2023-09-21 09:00:29.332105,CUST_5651,Low,Phone,Compliance Department,Digital Investigation Tools,2678.51,Compliance_Agent_2,404,154.83,Completed,System B,False
CASE_00005,Document Verification,2023-09-21 09:00:29.332105,2023-09-21 16:16:29.332105,CUST_5651,Low,Phone,Compliance Department,Digital Investigation Tools,2678.51,Compliance_Agent_1,436,217.95,Completed,System B,True
CASE_00005,Finalize and Validate Evidence,2023-09-21 16:16:29.332105,2023-09-22 09:00:29.332105,CUST_5651,Low,Phone,Compliance Department,Digital Investigation Tools,2678.51,Compliance_Agent_1,353,149.96,Expedited,System C,True
CASE_00006,Data Collection Review,2023-12-19 09:00:57.424982,2023-12-19 13:51:57.424982,CUST_3143,Low,Phone,IT Security,Digital Forensics Software,2812.91,IT_Agent_1,291,114.49,Expedited,System B,False
CASE_00006,Document Verification,2023-12-19 13:51:57.424982,2023-12-20 09:00:57.424982,CUST_3143,Low,Phone,IT Security,Digital Forensics Software,2812.91,IT_Agent_2,303,122.6,Expedited,System B,False
CASE_00006,Finalize and Validate Evidence,2023-12-20 09:00:57.424982,2023-12-20 10:26:57.424982,CUST_3143,Low,Phone,IT Security,Digital Forensics Software,2812.91,IT_Agent_2,86,157.67,Completed,System C,False
CASE_00007,Review Case Files,2023-08-23 10:29:03.618680,2023-08-23 11:18:03.618680,CUST_6349,Low,In-Person,Investigation Unit,Digital Forensics Tools,1457.86,Investigation_Agent_1,49,121.26,Expedited,System A,True
CASE_00007,Analyze Retrieved Evidence,2023-08-23 11:18:03.618680,2023-08-23 16:35:03.618680,CUST_6349,Low,In-Person,Investigation Unit,Digital Forensics Tools,1457.86,Investigation_Agent_3,317,166.1,Completed,System B,True
CASE_00007,Document Verification,2023-08-23 16:35:03.618680,2023-08-24 09:00:03.618680,CUST_6349,Low,In-Person,Investigation Unit,Digital Forensics Tools,1457.86,Investigation_Agent_3,391,157.36,Completed,System B,True
CASE_00007,Finalize and Validate Evidence,2023-08-24 09:00:03.618680,2023-08-24 16:02:03.618680,CUST_6349,Low,In-Person,Investigation Unit,Digital Forensics Tools,1457.86,Investigation_Agent_1,422,157.82,Expedited,System A,False
CASE_00008,Review Case Files,2023-12-15 17:07:27.692908,2023-12-19 09:00:27.692908,CUST_2516,High,Phone,IT Security,Digital Forensics Software,5491.16,IT_Agent_2,183,207.42,Expedited,System C,True
CASE_00008,Conduct Evidence Search,2023-12-19 09:00:27.692908,2023-12-19 12:17:27.692908,CUST_2516,High,Phone,IT Security,Digital Forensics Software,5491.16,IT_Agent_1,197,136.68,Completed,System C,True
CASE_00008,Review Retrieved Evidence,2023-12-19 12:17:27.692908,2023-12-20 09:00:27.692908,CUST_2516,High,Phone,IT Security,Digital Forensics Software,5491.16,IT_Agent_1,435,201.57,Delayed,System A,True
CASE_00008,Analyze Retrieved Evidence,2023-12-20 09:00:27.692908,2023-12-20 10:47:27.692908,CUST_2516,High,Phone,IT Security,Digital Forensics Software,5491.16,IT_Agent_2,107,206.57,Completed,System B,False
CASE_00008,Document Verification,2023-12-20 10:47:27.692908,2023-12-20 14:49:27.692908,CUST_2516,High,Phone,IT Security,Digital Forensics Software,5491.16,IT_Agent_2,242,176.5,Delayed,System B,False
CASE_00008,Finalize and Validate Evidence,2023-12-20 14:49:27.692908,2023-12-21 09:00:27.692908,CUST_2516,High,Phone,IT Security,Digital Forensics Software,5491.16,IT_Agent_1,223,112.17,Expedited,System C,False
CASE_00009,Review Case Files,2023-03-17 09:00:44.483134,2023-03-17 12:40:44.483134,CUST_2717,Medium,Phone,IT Security,Digital Forensics Tools,3490.72,IT_Agent_2,220,137.81,Expedited,System C,False
CASE_00009,Conduct Evidence Search,2023-03-17 12:40:44.483134,2023-03-17 14:58:44.483134,CUST_2717,Medium,Phone,IT Security,Digital Forensics Tools,3490.72,IT_Agent_2,138,128.13,Completed,System C,True
CASE_00009,Review Retrieved Evidence,2023-03-17 14:58:44.483134,2023-03-17 16:04:44.483134,CUST_2717,Medium,Phone,IT Security,Digital Forensics Tools,3490.72,IT_Agent_1,66,189.03,Expedited,System C,False
CASE_00009,Analyze Retrieved Evidence,2023-03-17 16:04:44.483134,2023-03-21 09:00:44.483134,CUST_2717,Medium,Phone,IT Security,Digital Forensics Tools,3490.72,IT_Agent_1,305,145.05,Delayed,System A,True
CASE_00009,Document Verification,2023-03-21 09:00:44.483134,2023-03-21 15:35:44.483134,CUST_2717,Medium,Phone,IT Security,Digital Forensics Tools,3490.72,IT_Agent_1,395,190.61,Delayed,System B,True
CASE_00009,Finalize and Validate Evidence,2023-03-21 15:35:44.483134,2023-03-22 09:00:44.483134,CUST_2717,Medium,Phone,IT Security,Digital Forensics Tools,3490.72,IT_Agent_2,150,126.97,Delayed,System C,True
CASE_00010,Review Case Files,2023-10-19 09:00:00.216550,2023-10-19 11:37:00.216550,CUST_3462,Low,In-Person,Records Management,Digital Forensics Tools,5892.75,Records_Agent_1,157,184.44,Delayed,System A,False
CASE_00010,Conduct Evidence Search,2023-10-19 11:37:00.216550,2023-10-20 09:00:00.216550,CUST_3462,Low,In-Person,Records Management,Digital Forensics Tools,5892.75,Records_Agent_3,383,202.11,Expedited,System B,True
CASE_00010,Review Retrieved Evidence,2023-10-20 09:00:00.216550,2023-10-20 11:33:00.216550,CUST_3462,Low,In-Person,Records Management,Digital Forensics Tools,5892.75,Records_Agent_1,153,192.94,Expedited,System B,True
