case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Assign Work Team,2023-07-26 09:00:56.559055,2023-07-26 11:39:56.559055,CUST_9435,High,Phone,Quality Assurance,Workforce Management Software,248.1,Quality_Agent_2,159,166.3,Expedited,System B,True
CASE_00002,Assign Work Team,2023-03-07 10:34:36.944786,2023-03-07 16:38:36.944786,CUST_6146,Low,Web,Human Resources,Human Resources Software,8332.48,Human_Agent_2,364,59.71,Completed,System A,False
CASE_00003,Job Confirmation Done,2023-05-15 15:41:51.907613,2023-05-15 16:36:51.907613,CUST_8350,Medium,Phone,Management,Confirmation Management Software,8184.18,Management_Agent_1,55,138.97,Delayed,System C,False
CASE_00003,Verify Job Details,2023-05-15 16:36:51.907613,2023-05-16 09:00:51.907613,CUST_8350,Medium,Phone,Management,Confirmation Management Software,8184.18,Management_Agent_2,311,153.94,Expedited,System B,False
CASE_00003,Get Management Approval,2023-05-16 09:00:51.907613,2023-05-16 14:19:51.907613,CUST_8350,Medium,Phone,Management,Confirmation Management Software,8184.18,Management_Agent_2,319,186.42,Expedited,System A,True
CASE_00003,Assign Work Team,2023-05-16 14:19:51.907613,2023-05-17 09:00:51.907613,CUST_8350,Medium,Phone,Management,Confirmation Management Software,8184.18,Management_Agent_1,237,207.51,Delayed,System A,False
CASE_00004,Assign Work Team,2023-03-08 09:00:27.168853,2023-03-08 13:00:27.168853,CUST_5701,Medium,Web,Compliance,HR Management Software,1516.82,Compliance_Agent_1,240,182.96,Completed,System A,False
CASE_00005,Assign Work Team,2023-08-08 12:52:44.453705,2023-08-08 16:54:44.453705,CUST_8103,High,Phone,Quality Assurance,HR Management Software,6934.55,Quality_Agent_1,242,129.52,Delayed,System B,False
CASE_00006,Assign Work Team,2023-03-07 09:00:41.848415,2023-03-07 14:20:41.848415,CUST_5644,Medium,In-Person,Human Resources,Hiring Management Software,6932.14,Human_Agent_1,320,139.57,Completed,System B,True
CASE_00007,Assign Work Team,2023-01-17 09:00:09.877887,2023-01-17 10:13:09.877887,CUST_4706,Medium,In-Person,Quality Assurance,HR Management Software,9930.19,Quality_Agent_1,73,170.26,Completed,System A,False
CASE_00008,Assign Work Team,2023-01-25 09:00:05.061591,2023-01-25 12:39:05.061591,CUST_8431,Low,Phone,Human Resources,Workforce Management Software,1122.31,Human_Agent_3,219,120.2,Expedited,System A,True
