case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Verify Logistics Data,2023-08-30 09:00:37.059360,2023-08-30 11:28:37.059360,CUST_2825,High,In-Person,Logistics,Inventory Management,4083.04,Logistics_Agent_1,148,179.3,Expedited,System C,True
CASE_00001,Process Event Update,2023-08-30 11:28:37.059360,2023-08-31 09:00:37.059360,CUST_2825,High,In-Person,Logistics,Inventory Management,4083.04,Logistics_Agent_1,398,145.29,Expedited,System C,False
CASE_00002,Verify Logistics Data,2023-12-29 09:00:21.865109,2023-12-29 14:10:21.865109,CUST_1573,Medium,Phone,Supply Chain,Supply Chain Management Software,1937.74,Supply_Agent_3,310,89.78,Expedited,System B,True
CASE_00002,Process Event Update,2023-12-29 14:10:21.865109,2024-01-02 09:00:21.865109,CUST_1573,Medium,Phone,Supply Chain,Supply Chain Management Software,1937.74,Supply_Agent_2,426,84.68,Expedited,System A,False
CASE_00003,Verify Logistics Data,2023-07-06 09:00:52.988753,2023-07-06 09:46:52.988753,CUST_9142,Medium,Phone,Fulfillment,Inventory Management Systems,4981.55,Fulfillment_Agent_3,46,232.35,Completed,System C,False
CASE_00003,Notify Carrier,2023-07-06 09:46:52.988753,2023-07-06 13:05:52.988753,CUST_9142,Medium,Phone,Fulfillment,Inventory Management Systems,4981.55,Fulfillment_Agent_2,199,244.64,Completed,System C,False
CASE_00003,Process Event Update,2023-07-06 13:05:52.988753,2023-07-06 13:36:52.988753,CUST_9142,Medium,Phone,Fulfillment,Inventory Management Systems,4981.55,Fulfillment_Agent_2,31,230.25,Delayed,System B,False
CASE_00004,Verify Logistics Data,2023-12-25 10:01:48.912954,2023-12-25 12:35:48.912954,CUST_1758,Medium,In-Person,Fulfillment,Supply Chain Management Software,9297.88,Fulfillment_Agent_3,154,205.55,Expedited,System A,True
CASE_00004,Process Event Update,2023-12-25 12:35:48.912954,2023-12-26 09:00:48.912954,CUST_1758,Medium,In-Person,Fulfillment,Supply Chain Management Software,9297.88,Fulfillment_Agent_1,404,242.05,Completed,System A,True
CASE_00005,Verify Logistics Data,2023-03-29 16:19:09.463057,2023-03-30 09:00:09.463057,CUST_9736,Low,Phone,Supply Chain,Supply Chain Management Software,7377.99,Supply_Agent_1,118,118.49,Expedited,System A,False
CASE_00005,Generate Shipping Label,2023-03-30 09:00:09.463057,2023-03-30 16:56:09.463057,CUST_9736,Low,Phone,Supply Chain,Supply Chain Management Software,7377.99,Supply_Agent_3,476,54.97,Expedited,System C,True
CASE_00005,Notify Carrier,2023-03-30 16:56:09.463057,2023-03-31 09:00:09.463057,CUST_9736,Low,Phone,Supply Chain,Supply Chain Management Software,7377.99,Supply_Agent_3,256,79.66,Delayed,System A,False
CASE_00005,Process Event Update,2023-03-31 09:00:09.463057,2023-03-31 15:33:09.463057,CUST_9736,Low,Phone,Supply Chain,Supply Chain Management Software,7377.99,Supply_Agent_2,393,53.15,Expedited,System C,False
CASE_00006,Verify Logistics Data,2023-01-26 09:00:08.243966,2023-01-26 10:29:08.243966,CUST_3274,High,In-Person,Fulfillment,Supply Chain Management Software,5735.9,Fulfillment_Agent_1,89,207.39,Completed,System B,True
CASE_00006,Notify Carrier,2023-01-26 10:29:08.243966,2023-01-27 09:00:08.243966,CUST_3274,High,In-Person,Fulfillment,Supply Chain Management Software,5735.9,Fulfillment_Agent_2,456,169.48,Completed,System A,True
CASE_00006,Process Event Update,2023-01-27 09:00:08.243966,2023-01-27 09:53:08.243966,CUST_3274,High,In-Person,Fulfillment,Supply Chain Management Software,5735.9,Fulfillment_Agent_3,53,166.0,Delayed,System A,True
