case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Activity_3,2023-07-04 10:54:54.994835,2023-07-04 15:13:54.994835,CUST_9889,Medium,Email,Operations,Type B,5211.57,Operations_Agent_2,259,89.86,Delayed,System C,True
CASE_00002,Activity_3,2023-03-14 09:00:20.002961,2023-03-14 12:57:20.002961,CUST_5158,Low,In-Person,Customer Service,Type C,9068.25,Customer_Agent_2,237,177.78,Expedited,System B,True
CASE_00003,Activity_3,2023-06-06 14:26:31.770397,2023-06-07 09:00:31.770397,CUST_7793,High,In-Person,Operations,Type C,9763.72,Operations_Agent_1,356,109.66,Expedited,System C,True
CASE_00004,Activity_3,2023-04-25 09:42:30.633878,2023-04-25 15:03:30.633878,CUST_2560,Medium,Phone,Sales,Type C,9003.92,Sales_Agent_2,321,83.2,Expedited,System A,False
CASE_00005,Activity_3,2023-02-21 09:00:11.735637,2023-02-21 16:28:11.735637,CUST_5481,Low,Email,Customer Service,Type C,7915.95,Customer_Agent_1,448,92.32,Delayed,System A,True
CASE_00006,Activity_3,2023-06-19 09:00:47.822902,2023-06-19 14:36:47.822902,CUST_2703,High,Email,Operations,Type C,6867.44,Operations_Agent_2,336,115.57,Expedited,System A,False
CASE_00007,Activity_3,2023-01-12 17:20:11.024906,2023-01-13 09:00:11.024906,CUST_4502,High,In-Person,Operations,Type A,3822.1,Operations_Agent_1,410,79.37,Completed,System C,True
CASE_00008,Activity_3,2023-12-26 09:00:34.666163,2023-12-26 14:30:34.666163,CUST_8577,Low,In-Person,Finance,Type A,7753.55,Finance_Agent_2,330,134.72,Delayed,System A,True
CASE_00009,Activity_1,2023-05-09 09:00:20.903323,2023-05-09 16:09:20.903323,CUST_1588,High,Web,Operations,Type A,4468.21,Operations_Agent_1,429,169.13,Expedited,System A,True
CASE_00009,Activity_2,2023-05-09 16:09:20.903323,2023-05-09 17:12:20.903323,CUST_1588,High,Web,Operations,Type A,4468.21,Operations_Agent_3,63,154.69,Completed,System B,True
CASE_00009,Activity_3,2023-05-09 17:12:20.903323,2023-05-10 09:00:20.903323,CUST_1588,High,Web,Operations,Type A,4468.21,Operations_Agent_2,464,119.97,Delayed,System C,True
CASE_00010,Activity_3,2023-09-04 09:00:50.656631,2023-09-04 09:41:50.656631,CUST_5781,Medium,Phone,Finance,Type B,101.76,Finance_Agent_2,41,166.8,Completed,System B,False
