case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Incident Review,2023-04-04 09:00:43.843222,2023-04-04 10:55:43.843222,CUST_1248,Medium,Email,Security,Incident Reporting Software,8513.97,Security_Agent_1,115,176.01,Delayed,System C,False
CASE_00001,Root Cause Analysis,2023-04-04 10:55:43.843222,2023-04-04 17:32:43.843222,CUST_1248,Medium,Email,Security,Incident Reporting Software,8513.97,Security_Agent_1,397,142.1,Expedited,System C,False
CASE_00001,Operational Incident Summary Report,2023-04-04 17:32:43.843222,2023-04-05 09:00:43.843222,CUST_1248,Medium,Email,Security,Incident Reporting Software,8513.97,Security_Agent_2,268,199.49,Completed,System A,True
CASE_00002,Incident Review,2023-05-24 09:00:39.228122,2023-05-24 12:19:39.228122,CUST_5975,Medium,Email,IT,Incident Management Software,5989.9,IT_Agent_1,199,63.16,Expedited,System A,False
CASE_00002,Operational Incident Summary Report,2023-05-24 12:19:39.228122,2023-05-25 09:00:39.228122,CUST_5975,Medium,Email,IT,Incident Management Software,5989.9,IT_Agent_1,455,62.29,Completed,System C,True
CASE_00003,Operational Incident Summary Report,2023-05-30 09:00:14.710816,2023-05-30 12:17:14.710816,CUST_6388,Medium,Phone,Risk Management,Incident Management Software,1740.42,Risk_Agent_3,197,90.18,Delayed,System B,False
CASE_00004,Operational Incident Summary Report,2023-04-21 09:00:29.214726,2023-04-21 16:03:29.214726,CUST_7041,Low,Web,Business Continuity,Incident Management Software,1637.58,Business_Agent_1,423,217.33,Completed,System B,True
CASE_00005,Operational Incident Summary Report,2023-03-13 09:00:22.235745,2023-03-13 12:57:22.235745,CUST_3511,Medium,Phone,Risk Management,Incident Management Software,9491.54,Risk_Agent_2,237,98.88,Completed,System B,False
CASE_00006,Incident Review,2023-06-21 09:00:53.417815,2023-06-21 16:42:53.417815,CUST_1138,High,Phone,Compliance,Incident Management Software,430.2,Compliance_Agent_2,462,110.25,Expedited,System A,True
CASE_00006,Operational Incident Summary Report,2023-06-21 16:42:53.417815,2023-06-22 09:00:53.417815,CUST_1138,High,Phone,Compliance,Incident Management Software,430.2,Compliance_Agent_1,185,120.57,Completed,System C,False
CASE_00007,Incident Review,2023-02-16 09:00:31.270337,2023-02-16 12:44:31.270337,CUST_9224,High,Email,Risk Management,Incident Management Software,1240.58,Risk_Agent_2,224,147.38,Expedited,System A,False
CASE_00007,Operational Incident Summary Report,2023-02-16 12:44:31.270337,2023-02-16 13:37:31.270337,CUST_9224,High,Email,Risk Management,Incident Management Software,1240.58,Risk_Agent_2,53,80.11,Expedited,System B,True
CASE_00008,Incident Review,2023-04-25 09:00:26.888486,2023-04-25 16:33:26.888486,CUST_7646,Medium,Web,IT,Incident Management Software,8825.19,IT_Agent_2,453,139.26,Expedited,System B,True
CASE_00008,Operational Incident Summary Report,2023-04-25 16:33:26.888486,2023-04-25 17:22:26.888486,CUST_7646,Medium,Web,IT,Incident Management Software,8825.19,IT_Agent_2,49,119.93,Delayed,System B,True
CASE_00009,Operational Incident Summary Report,2023-07-18 09:00:51.826753,2023-07-18 12:14:51.826753,CUST_3607,Low,In-Person,Compliance,Incident Management Software,1675.65,Compliance_Agent_1,194,165.64,Delayed,System B,False
CASE_00010,Operational Incident Summary Report,2023-06-28 09:00:45.179787,2023-06-28 09:45:45.179787,CUST_3533,Medium,Email,Security,Incident Management Software,6939.43,Security_Agent_1,45,145.82,Expedited,System B,False
CASE_00011,Operational Incident Summary Report,2023-10-24 09:00:22.332458,2023-10-24 13:37:22.332458,CUST_1525,Low,In-Person,Business Continuity,Incident Management Software,2141.41,Business_Agent_1,277,229.05,Expedited,System C,True
CASE_00012,Operational Incident Summary Report,2023-04-14 09:00:50.027760,2023-04-14 14:48:50.027760,CUST_3051,Medium,Email,Compliance,Incident Management Software,2380.94,Compliance_Agent_1,348,156.75,Completed,System B,True
CASE_00013,Operational Incident Summary Report,2023-12-12 11:18:40.250076,2023-12-12 13:01:40.250076,CUST_6104,High,Email,Business Continuity,Incident Reporting Software,9863.56,Business_Agent_2,103,168.47,Delayed,System C,False
CASE_00014,Incident Review,2023-08-28 14:23:19.835019,2023-08-28 17:55:19.835019,CUST_9892,Medium,Web,Risk Management,Operational Risk Management Software,5909.49,Risk_Agent_1,212,113.0,Delayed,System B,True
