case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Update Status,2023-03-29 14:11:27.370220,2023-03-30 09:00:27.370220,CUST_9013,High,Phone,Project Management,Manufacturing,4390.66,Project_Agent_2,263,204.29,Delayed,System B,False
CASE_00002,Operations Status Review,2023-06-22 15:05:46.750656,2023-06-22 15:46:46.750656,CUST_9493,High,In-Person,Project Management,Business Management Software,3466.57,Project_Agent_2,41,162.79,Expedited,System A,True
CASE_00002,Update Status,2023-06-22 15:46:46.750656,2023-06-23 09:00:46.750656,CUST_9493,High,In-Person,Project Management,Business Management Software,3466.57,Project_Agent_1,356,171.92,Delayed,System A,True
CASE_00003,Update Status,2023-10-24 09:00:01.681612,2023-10-24 13:58:01.681612,CUST_7409,Medium,Web,IT,Business Intelligence Software,7606.68,IT_Agent_1,298,199.29,Delayed,System A,False
CASE_00004,Operations Status Review,2023-09-05 11:20:05.973242,2023-09-05 13:32:05.973242,CUST_3723,Low,In-Person,Project Management,Business Intelligence,8486.71,Project_Agent_2,132,177.88,Completed,System A,True
CASE_00004,Verify Operations Status,2023-09-05 13:32:05.973242,2023-09-06 09:00:05.973242,CUST_3723,Low,In-Person,Project Management,Business Intelligence,8486.71,Project_Agent_2,353,205.99,Completed,System A,True
CASE_00004,Update Status,2023-09-06 09:00:05.973242,2023-09-06 16:11:05.973242,CUST_3723,Low,In-Person,Project Management,Business Intelligence,8486.71,Project_Agent_2,431,186.83,Delayed,System A,False
CASE_00005,Verify Operations Status,2023-02-28 15:04:19.235263,2023-03-01 09:00:19.235263,CUST_7652,Medium,Email,Human Resources,Business Management Software,3574.22,Human_Agent_3,406,113.63,Delayed,System A,False
CASE_00005,Update Status,2023-03-01 09:00:19.235263,2023-03-01 11:15:19.235263,CUST_7652,Medium,Email,Human Resources,Business Management Software,3574.22,Human_Agent_3,135,133.23,Expedited,System A,True
CASE_00006,Verify Operations Status,2023-01-02 12:58:46.366765,2023-01-03 09:00:46.366765,CUST_2895,High,Phone,Project Management,Manufacturing,7821.66,Project_Agent_1,480,194.48,Expedited,System B,False
CASE_00006,Update Status,2023-01-03 09:00:46.366765,2023-01-03 13:14:46.366765,CUST_2895,High,Phone,Project Management,Manufacturing,7821.66,Project_Agent_1,254,165.03,Expedited,System C,False
