case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Assess Situation,2023-06-07 09:00:44.912949,2023-06-07 15:03:44.912949,CUST_4367,Medium,In-Person,Crisis Team,Emergency Management Systems,504.25,Crisis_Agent_2,363,145.53,Completed,System A,False
CASE_00001,Notify Command Center,2023-06-07 15:03:44.912949,2023-06-07 16:36:44.912949,CUST_4367,Medium,In-Person,Crisis Team,Emergency Management Systems,504.25,Crisis_Agent_2,93,218.44,Expedited,System C,True
CASE_00001,Execute Rescue Plan,2023-06-07 16:36:44.912949,2023-06-08 09:00:44.912949,CUST_4367,Medium,In-Person,Crisis Team,Emergency Management Systems,504.25,Crisis_Agent_1,258,141.22,Completed,System A,False
CASE_00002,Execute Rescue Plan,2023-11-01 09:00:06.755828,2023-11-01 12:39:06.755828,CUST_2696,Low,In-Person,Emergency Management,Emergency Response Solutions,4120.4,Emergency_Agent_1,219,66.13,Delayed,System B,False
CASE_00003,Execute Rescue Plan,2023-01-24 16:45:10.708769,2023-01-25 09:00:10.708769,CUST_6902,High,Email,Incident Command,Emergency Services Software,3023.97,Incident_Agent_1,88,98.21,Completed,System A,True
CASE_00004,Assess Situation,2023-12-05 09:00:59.338653,2023-12-05 16:26:59.338653,CUST_8743,Low,Web,Crisis Team,Emergency Response Systems,9283.53,Crisis_Agent_2,446,197.21,Completed,System A,True
CASE_00004,Execute Rescue Plan,2023-12-05 16:26:59.338653,2023-12-06 09:00:59.338653,CUST_8743,Low,Web,Crisis Team,Emergency Response Systems,9283.53,Crisis_Agent_2,295,190.62,Delayed,System A,True
CASE_00005,Execute Rescue Plan,2023-08-31 09:00:04.188470,2023-08-31 10:15:04.188470,CUST_4452,High,Email,Crisis Team,Emergency Response Equipment,8952.54,Crisis_Agent_2,75,164.39,Expedited,System B,True
CASE_00006,Assess Situation,2023-09-12 09:00:52.174107,2023-09-12 16:48:52.174107,CUST_7193,Low,Web,Communications,Emergency Response Systems,226.45,Communications_Agent_2,468,166.44,Expedited,System B,True
CASE_00006,Notify Command Center,2023-09-12 16:48:52.174107,2023-09-13 09:00:52.174107,CUST_7193,Low,Web,Communications,Emergency Response Systems,226.45,Communications_Agent_1,454,144.21,Delayed,System B,True
CASE_00006,Execute Rescue Plan,2023-09-13 09:00:52.174107,2023-09-13 11:58:52.174107,CUST_7193,Low,Web,Communications,Emergency Response Systems,226.45,Communications_Agent_2,178,181.77,Expedited,System C,False
CASE_00007,Execute Rescue Plan,2023-05-16 09:00:53.508235,2023-05-16 16:21:53.508235,CUST_1386,Medium,Phone,Emergency Management,Emergency Response Systems,3194.29,Emergency_Agent_2,441,71.07,Completed,System B,True
CASE_00008,Assess Situation,2023-08-08 13:35:07.973208,2023-08-08 16:52:07.973208,CUST_2638,High,In-Person,Dispatch,Critical Care Solutions,7618.7,Dispatch_Agent_1,197,182.34,Expedited,System C,True
CASE_00008,Notify Command Center,2023-08-08 16:52:07.973208,2023-08-09 09:00:07.973208,CUST_2638,High,In-Person,Dispatch,Critical Care Solutions,7618.7,Dispatch_Agent_1,281,132.74,Expedited,System C,True
CASE_00008,Execute Rescue Plan,2023-08-09 09:00:07.973208,2023-08-09 13:19:07.973208,CUST_2638,High,In-Person,Dispatch,Critical Care Solutions,7618.7,Dispatch_Agent_1,259,164.99,Expedited,System B,False
CASE_00009,Execute Rescue Plan,2023-07-25 09:00:39.510243,2023-07-25 11:10:39.510243,CUST_7674,High,Web,Dispatch,Emergency Response Systems,8911.11,Dispatch_Agent_2,130,182.51,Expedited,System C,False
CASE_00010,Assess Situation,2023-03-28 16:37:35.384699,2023-03-29 09:00:35.384699,CUST_2400,Medium,Phone,Dispatch,Emergency Communication Systems,5434.0,Dispatch_Agent_1,170,206.96,Completed,System B,False
CASE_00010,Execute Rescue Plan,2023-03-29 09:00:35.384699,2023-03-29 12:06:35.384699,CUST_2400,Medium,Phone,Dispatch,Emergency Communication Systems,5434.0,Dispatch_Agent_2,186,207.79,Completed,System C,True
CASE_00011,Execute Rescue Plan,2023-07-31 09:00:40.410014,2023-07-31 12:41:40.410014,CUST_8168,Low,Web,Communications,Emergency Response Systems,1053.23,Communications_Agent_3,221,136.23,Delayed,System B,True
CASE_00012,Assess Situation,2023-02-08 09:00:55.657192,2023-02-08 16:51:55.657192,CUST_8325,Medium,Web,Communications,Emergency Response Systems,6888.77,Communications_Agent_2,471,177.31,Completed,System C,False
CASE_00012,Execute Rescue Plan,2023-02-08 16:51:55.657192,2023-02-09 09:00:55.657192,CUST_8325,Medium,Web,Communications,Emergency Response Systems,6888.77,Communications_Agent_3,133,132.93,Completed,System A,True
CASE_00013,Assess Situation,2023-12-26 09:00:28.639044,2023-12-26 14:42:28.639044,CUST_3592,High,In-Person,Dispatch,Emergency Alert Systems,3884.78,Dispatch_Agent_2,342,171.08,Delayed,System C,False
CASE_00013,Execute Rescue Plan,2023-12-26 14:42:28.639044,2023-12-27 09:00:28.639044,CUST_3592,High,In-Person,Dispatch,Emergency Alert Systems,3884.78,Dispatch_Agent_2,309,184.95,Delayed,System A,False
CASE_00014,Execute Rescue Plan,2023-05-08 09:00:11.962774,2023-05-08 13:39:11.962774,CUST_8163,Low,Web,Incident Command,Emergency Services Solutions,5180.13,Incident_Agent_2,279,109.16,Completed,System B,True
CASE_00015,Execute Rescue Plan,2023-05-17 09:00:11.134584,2023-05-17 10:35:11.134584,CUST_9554,High,In-Person,Crisis Team,Emergency Alerts System,4049.63,Crisis_Agent_1,95,139.61,Expedited,System B,False
CASE_00016,Execute Rescue Plan,2023-09-05 09:00:29.622422,2023-09-05 13:43:29.622422,CUST_6723,Low,In-Person,Emergency Management,Emergency Response Equipment,9723.47,Emergency_Agent_1,283,125.62,Completed,System C,False
CASE_00017,Assess Situation,2023-01-17 13:52:48.269216,2023-01-17 14:24:48.269216,CUST_5273,High,Web,Dispatch,Emergency Response Equipment,6798.46,Dispatch_Agent_2,32,184.18,Completed,System C,True
CASE_00017,Execute Rescue Plan,2023-01-17 14:24:48.269216,2023-01-17 17:04:48.269216,CUST_5273,High,Web,Dispatch,Emergency Response Equipment,6798.46,Dispatch_Agent_2,160,170.75,Expedited,System B,True
CASE_00018,Execute Rescue Plan,2023-10-16 09:00:17.349332,2023-10-16 10:36:17.349332,CUST_6525,Low,Email,Dispatch,Emergency Management Systems,3415.81,Dispatch_Agent_2,96,152.03,Delayed,System A,True
CASE_00019,Assess Situation,2023-11-21 09:00:54.998889,2023-11-21 11:29:54.998889,CUST_8286,Low,Phone,Dispatch,Emergency Response Systems,8623.88,Dispatch_Agent_2,149,200.65,Expedited,System A,True
CASE_00019,Execute Rescue Plan,2023-11-21 11:29:54.998889,2023-11-21 14:24:54.998889,CUST_8286,Low,Phone,Dispatch,Emergency Response Systems,8623.88,Dispatch_Agent_1,175,184.12,Expedited,System A,True
CASE_00020,Assess Situation,2023-05-04 09:00:54.181828,2023-05-04 12:45:54.181828,CUST_9855,Medium,Email,Incident Command,Emergency Alert Systems,6936.31,Incident_Agent_2,225,119.7,Delayed,System A,False
CASE_00020,Execute Rescue Plan,2023-05-04 12:45:54.181828,2023-05-05 09:00:54.181828,CUST_9855,Medium,Email,Incident Command,Emergency Alert Systems,6936.31,Incident_Agent_2,368,140.12,Expedited,System C,True
CASE_00021,Execute Rescue Plan,2023-12-19 13:22:03.967741,2023-12-19 17:56:03.967741,CUST_8398,Medium,In-Person,Crisis Team,Emergency Response Systems,7034.61,Crisis_Agent_2,274,196.66,Delayed,System A,True
CASE_00022,Assess Situation,2023-01-12 09:00:44.139473,2023-01-12 10:42:44.139473,CUST_9413,Medium,Web,Crisis Team,Emergency Alert Systems,6872.81,Crisis_Agent_1,102,161.4,Expedited,System A,False
CASE_00022,Notify Command Center,2023-01-12 10:42:44.139473,2023-01-12 16:19:44.139473,CUST_9413,Medium,Web,Crisis Team,Emergency Alert Systems,6872.81,Crisis_Agent_2,337,183.47,Completed,System C,True
CASE_00022,Execute Rescue Plan,2023-01-12 16:19:44.139473,2023-01-13 09:00:44.139473,CUST_9413,Medium,Web,Crisis Team,Emergency Alert Systems,6872.81,Crisis_Agent_2,140,184.56,Completed,System A,False
CASE_00023,Execute Rescue Plan,2023-02-21 09:00:51.516093,2023-02-21 14:34:51.516093,CUST_3528,High,Email,Communications,Emergency Response Systems,1985.42,Communications_Agent_3,334,90.12,Delayed,System B,False
CASE_00024,Execute Rescue Plan,2023-08-28 09:00:23.281714,2023-08-28 16:03:23.281714,CUST_1388,Low,Phone,Emergency Management,Emergency Response Systems,432.36,Emergency_Agent_2,423,143.24,Completed,System C,False
CASE_00025,Execute Rescue Plan,2023-05-15 09:00:20.120482,2023-05-15 12:06:20.120482,CUST_8225,Medium,Email,Emergency Management,Emergency Response Systems,8688.03,Emergency_Agent_1,186,127.8,Delayed,System A,True
CASE_00026,Assess Situation,2023-12-26 09:00:54.009389,2023-12-26 14:48:54.009389,CUST_4333,Medium,Phone,Communications,Emergency Alert Systems,1713.9,Communications_Agent_2,348,152.03,Delayed,System C,True
CASE_00026,Execute Rescue Plan,2023-12-26 14:48:54.009389,2023-12-27 09:00:54.009389,CUST_4333,Medium,Phone,Communications,Emergency Alert Systems,1713.9,Communications_Agent_3,414,169.7,Completed,System A,False
CASE_00027,Execute Rescue Plan,2023-05-17 16:44:36.558485,2023-05-18 09:00:36.558485,CUST_2730,Low,Email,Crisis Team,Emergency Communication Systems,4089.61,Crisis_Agent_1,271,144.3,Delayed,System B,False
CASE_00028,Assess Situation,2023-08-08 09:00:12.422246,2023-08-08 16:13:12.422246,CUST_7109,High,Web,Operational Support,Emergency Response Systems,6673.73,Operational_Agent_3,433,222.67,Expedited,System C,True
CASE_00028,Execute Rescue Plan,2023-08-08 16:13:12.422246,2023-08-09 09:00:12.422246,CUST_7109,High,Web,Operational Support,Emergency Response Systems,6673.73,Operational_Agent_1,310,223.11,Expedited,System A,True
CASE_00029,Execute Rescue Plan,2023-08-22 11:54:37.294039,2023-08-22 14:23:37.294039,CUST_5732,Medium,In-Person,Dispatch,Emergency Response Systems,8506.87,Dispatch_Agent_2,149,157.51,Delayed,System A,False
