case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Define Project Scope,2023-12-25 14:09:43.662608,2023-12-25 15:27:43.662608,CUST_3116,Low,Phone,Finance,Type C,335.49,Finance_Agent_1,78,193.42,Delayed,System B,False
CASE_00001,Activity_2,2023-12-25 15:27:43.662608,2023-12-26 09:00:43.662608,CUST_3116,Low,Phone,Finance,Type C,335.49,Finance_Agent_2,176,122.3,Expedited,System B,True
CASE_00002,Activity_2,2023-01-10 15:21:59.937433,2023-01-11 09:00:59.937433,CUST_9017,Low,In-Person,Finance,Type C,264.55,Finance_Agent_1,168,186.48,Completed,System C,False
CASE_00003,Define Project Scope,2023-09-14 09:00:24.808118,2023-09-14 12:44:24.808118,CUST_4062,Medium,Email,Customer Service,Type B,6990.57,Customer_Agent_1,224,178.75,Completed,System A,True
CASE_00003,Activity_2,2023-09-14 12:44:24.808118,2023-09-14 13:16:24.808118,CUST_4062,Medium,Email,Customer Service,Type B,6990.57,Customer_Agent_1,32,120.23,Expedited,System B,True
CASE_00004,Define Project Scope,2023-12-19 09:00:06.110665,2023-12-19 11:28:06.110665,CUST_1274,Low,Email,Legal,Type C,4854.29,Legal_Agent_1,148,135.01,Delayed,System A,True
CASE_00004,Activity_2,2023-12-19 11:28:06.110665,2023-12-19 14:51:06.110665,CUST_1274,Low,Email,Legal,Type C,4854.29,Legal_Agent_3,203,216.91,Delayed,System A,True
CASE_00005,Activity_2,2023-05-08 14:49:20.664162,2023-05-08 16:46:20.664162,CUST_7538,Medium,In-Person,Finance,Type A,1692.88,Finance_Agent_1,117,124.21,Expedited,System C,True
CASE_00006,Activity_2,2023-05-02 09:00:18.717445,2023-05-02 10:06:18.717445,CUST_1986,Medium,Web,Legal,Type A,1965.36,Legal_Agent_1,66,166.47,Delayed,System B,True
CASE_00007,Define Project Scope,2023-02-28 09:00:35.663290,2023-02-28 13:18:35.663290,CUST_5443,Medium,In-Person,Finance,Type C,8797.41,Finance_Agent_2,258,179.79,Expedited,System A,False
