case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Check Customer Information,2023-05-15 13:47:32.517918,2023-05-15 14:42:32.517918,CUST_2089,High,Email,Quality Assurance,E-commerce Security Software,1406.7,Quality_Agent_2,55,158.06,Expedited,System C,True
CASE_00001,Process Order in Database,2023-05-15 14:42:32.517918,2023-05-16 09:00:32.517918,CUST_2089,High,Email,Quality Assurance,E-commerce Security Software,1406.7,Quality_Agent_1,240,140.02,Completed,System A,False
CASE_00002,Check Customer Information,2023-01-12 17:18:12.959959,2023-01-13 09:00:12.959959,CUST_9658,Low,Email,Fulfillment,Inventory Management Systems,9292.26,Fulfillment_Agent_1,317,210.17,Completed,System A,True
CASE_00002,Verify Order Details,2023-01-13 09:00:12.959959,2023-01-13 16:53:12.959959,CUST_9658,Low,Email,Fulfillment,Inventory Management Systems,9292.26,Fulfillment_Agent_1,473,185.41,Delayed,System B,False
CASE_00002,Process Order in Database,2023-01-13 16:53:12.959959,2023-01-17 09:00:12.959959,CUST_9658,Low,Email,Fulfillment,Inventory Management Systems,9292.26,Fulfillment_Agent_1,261,233.3,Completed,System A,False
CASE_00003,Check Customer Information,2023-11-06 09:00:05.533875,2023-11-06 12:39:05.533875,CUST_6184,High,In-Person,Supply Chain Management,Inventory Management Systems,5970.07,Supply_Agent_2,219,202.13,Expedited,System A,True
CASE_00003,Process Order in Database,2023-11-06 12:39:05.533875,2023-11-07 09:00:05.533875,CUST_6184,High,In-Person,Supply Chain Management,Inventory Management Systems,5970.07,Supply_Agent_1,363,217.68,Delayed,System B,False
CASE_00004,Check Customer Information,2023-07-28 12:14:35.932327,2023-08-01 09:00:35.932327,CUST_3997,High,Phone,Quality Assurance,E-commerce Software,161.21,Quality_Agent_3,461,188.89,Expedited,System A,True
CASE_00004,Verify Order Details,2023-08-01 09:00:35.932327,2023-08-01 14:22:35.932327,CUST_3997,High,Phone,Quality Assurance,E-commerce Software,161.21,Quality_Agent_3,322,111.88,Expedited,System A,False
CASE_00004,Process Order in Database,2023-08-01 14:22:35.932327,2023-08-01 15:59:35.932327,CUST_3997,High,Phone,Quality Assurance,E-commerce Software,161.21,Quality_Agent_3,97,147.33,Expedited,System A,False
CASE_00005,Check Customer Information,2023-04-20 12:50:59.999904,2023-04-20 14:35:59.999904,CUST_4427,Medium,In-Person,Quality Assurance,Order Management Systems,1235.44,Quality_Agent_3,105,119.94,Delayed,System C,False
CASE_00005,Verify Order Details,2023-04-20 14:35:59.999904,2023-04-21 09:00:59.999904,CUST_4427,Medium,In-Person,Quality Assurance,Order Management Systems,1235.44,Quality_Agent_1,254,132.4,Expedited,System A,False
CASE_00005,Process Order in Database,2023-04-21 09:00:59.999904,2023-04-21 12:05:59.999904,CUST_4427,Medium,In-Person,Quality Assurance,Order Management Systems,1235.44,Quality_Agent_1,185,133.9,Delayed,System C,False
CASE_00006,Process Order in Database,2023-05-01 09:00:57.227175,2023-05-01 13:42:57.227175,CUST_5857,Medium,Phone,Customer Service,Retail Management Software,9941.77,Customer_Agent_2,282,119.3,Completed,System C,True
