case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Verify Customer Details,2023-08-29 09:00:21.509658,2023-08-29 15:08:21.509658,CUST_9989,High,Email,Order Management,E-Commerce Order Management,2716.28,Order_Agent_2,368,54.81,Delayed,System A,True
CASE_00001,Check and Validate Data,2023-08-29 15:08:21.509658,2023-08-30 09:00:21.509658,CUST_9989,High,Email,Order Management,E-Commerce Order Management,2716.28,Order_Agent_1,235,117.8,Completed,System C,True
CASE_00001,Notify Team Members,2023-08-30 09:00:21.509658,2023-08-30 10:55:21.509658,CUST_9989,High,Email,Order Management,E-Commerce Order Management,2716.28,Order_Agent_2,115,127.02,Delayed,System A,False
CASE_00002,Verify Customer Request,2023-05-16 09:00:37.099758,2023-05-16 11:10:37.099758,CUST_2277,Low,Email,Customer Service,Order Management Systems,2128.72,Customer_Agent_3,130,155.76,Completed,System B,False
CASE_00002,Assign Task to Team,2023-05-16 11:10:37.099758,2023-05-16 13:05:37.099758,CUST_2277,Low,Email,Customer Service,Order Management Systems,2128.72,Customer_Agent_2,115,207.74,Delayed,System C,True
CASE_00002,Notify Team Members,2023-05-16 13:05:37.099758,2023-05-16 14:22:37.099758,CUST_2277,Low,Email,Customer Service,Order Management Systems,2128.72,Customer_Agent_3,77,177.89,Delayed,System C,True
CASE_00003,Verify Customer Details,2023-09-05 16:22:05.632355,2023-09-06 09:00:05.632355,CUST_3434,Low,Email,Inventory Control,Order Management Software,7085.76,Inventory_Agent_1,408,122.24,Completed,System C,True
CASE_00003,Check and Validate Data,2023-09-06 09:00:05.632355,2023-09-06 10:10:05.632355,CUST_3434,Low,Email,Inventory Control,Order Management Software,7085.76,Inventory_Agent_3,70,102.48,Expedited,System B,True
CASE_00003,Notify Team Members,2023-09-06 10:10:05.632355,2023-09-06 10:58:05.632355,CUST_3434,Low,Email,Inventory Control,Order Management Software,7085.76,Inventory_Agent_3,48,99.44,Completed,System C,True
CASE_00004,User Request Review,2023-03-24 14:54:03.953388,2023-03-24 16:25:03.953388,CUST_5750,Medium,In-Person,Supply Chain,Order Management Software,2723.67,Supply_Agent_1,91,220.31,Delayed,System C,True
CASE_00004,Assign Task to Team,2023-03-24 16:25:03.953388,2023-03-28 09:00:03.953388,CUST_5750,Medium,In-Person,Supply Chain,Order Management Software,2723.67,Supply_Agent_2,369,192.49,Completed,System B,True
CASE_00004,Process Request for Approval,2023-03-28 09:00:03.953388,2023-03-28 16:55:03.953388,CUST_5750,Medium,In-Person,Supply Chain,Order Management Software,2723.67,Supply_Agent_1,475,175.93,Delayed,System C,True
CASE_00004,Check and Validate Data,2023-03-28 16:55:03.953388,2023-03-29 09:00:03.953388,CUST_5750,Medium,In-Person,Supply Chain,Order Management Software,2723.67,Supply_Agent_3,338,167.75,Completed,System C,True
CASE_00004,Notify Team Members,2023-03-29 09:00:03.953388,2023-03-29 10:38:03.953388,CUST_5750,Medium,In-Person,Supply Chain,Order Management Software,2723.67,Supply_Agent_3,98,225.33,Completed,System B,False
CASE_00005,Verify Customer Details,2023-05-31 12:02:01.384534,2023-05-31 16:09:01.384534,CUST_3095,Medium,Email,Supply Chain,Order Management Systems,7466.61,Supply_Agent_1,247,223.95,Completed,System B,False
CASE_00005,Check and Validate Data,2023-05-31 16:09:01.384534,2023-06-01 09:00:01.384534,CUST_3095,Medium,Email,Supply Chain,Order Management Systems,7466.61,Supply_Agent_2,209,227.22,Completed,System B,True
CASE_00005,Notify Team Members,2023-06-01 09:00:01.384534,2023-06-01 13:08:01.384534,CUST_3095,Medium,Email,Supply Chain,Order Management Systems,7466.61,Supply_Agent_1,248,197.3,Delayed,System C,True
CASE_00006,User Request Review,2023-02-15 09:00:28.078279,2023-02-15 15:19:28.078279,CUST_2255,High,In-Person,Quality Assurance,Order Management Software,3938.68,Quality_Agent_2,379,112.5,Completed,System C,False
CASE_00006,Assign Task to Team,2023-02-15 15:19:28.078279,2023-02-15 17:40:28.078279,CUST_2255,High,In-Person,Quality Assurance,Order Management Software,3938.68,Quality_Agent_2,141,180.84,Expedited,System A,True
CASE_00006,Process Request for Approval,2023-02-15 17:40:28.078279,2023-02-16 09:00:28.078279,CUST_2255,High,In-Person,Quality Assurance,Order Management Software,3938.68,Quality_Agent_2,253,144.94,Delayed,System B,False
CASE_00006,Check and Validate Data,2023-02-16 09:00:28.078279,2023-02-16 16:43:28.078279,CUST_2255,High,In-Person,Quality Assurance,Order Management Software,3938.68,Quality_Agent_2,463,147.33,Completed,System B,True
CASE_00006,Notify Team Members,2023-02-16 16:43:28.078279,2023-02-17 09:00:28.078279,CUST_2255,High,In-Person,Quality Assurance,Order Management Software,3938.68,Quality_Agent_1,307,161.04,Delayed,System C,False
CASE_00007,Verify Customer Details,2023-11-28 10:55:09.844305,2023-11-28 15:53:09.844305,CUST_7913,Medium,Email,Quality Assurance,Order Management Systems,3604.32,Quality_Agent_3,298,160.53,Completed,System C,True
CASE_00007,Check and Validate Data,2023-11-28 15:53:09.844305,2023-11-29 09:00:09.844305,CUST_7913,Medium,Email,Quality Assurance,Order Management Systems,3604.32,Quality_Agent_2,424,148.92,Expedited,System B,False
CASE_00007,Notify Team Members,2023-11-29 09:00:09.844305,2023-11-29 14:37:09.844305,CUST_7913,Medium,Email,Quality Assurance,Order Management Systems,3604.32,Quality_Agent_3,337,148.78,Delayed,System A,True
CASE_00008,User Request Review,2023-06-21 09:00:27.886221,2023-06-21 14:08:27.886221,CUST_1260,High,Web,Inventory Control,E-commerce Order Management Systems,7964.24,Inventory_Agent_2,308,121.96,Expedited,System A,True
CASE_00008,Assign Task to Team,2023-06-21 14:08:27.886221,2023-06-22 09:00:27.886221,CUST_1260,High,Web,Inventory Control,E-commerce Order Management Systems,7964.24,Inventory_Agent_2,255,115.21,Completed,System C,False
CASE_00008,Process Request for Approval,2023-06-22 09:00:27.886221,2023-06-22 10:50:27.886221,CUST_1260,High,Web,Inventory Control,E-commerce Order Management Systems,7964.24,Inventory_Agent_1,110,78.68,Completed,System A,True
CASE_00008,Check and Validate Data,2023-06-22 10:50:27.886221,2023-06-22 12:54:27.886221,CUST_1260,High,Web,Inventory Control,E-commerce Order Management Systems,7964.24,Inventory_Agent_1,124,89.87,Delayed,System C,False
CASE_00008,Notify Team Members,2023-06-22 12:54:27.886221,2023-06-22 16:00:27.886221,CUST_1260,High,Web,Inventory Control,E-commerce Order Management Systems,7964.24,Inventory_Agent_2,186,104.09,Completed,System C,True
CASE_00009,Verify Customer Details,2023-04-11 09:00:22.366632,2023-04-11 12:28:22.366632,CUST_3370,High,Phone,Inventory Control,Order Management,2117.38,Inventory_Agent_1,208,108.05,Delayed,System B,False
CASE_00009,Check and Validate Data,2023-04-11 12:28:22.366632,2023-04-11 16:35:22.366632,CUST_3370,High,Phone,Inventory Control,Order Management,2117.38,Inventory_Agent_2,247,165.49,Completed,System C,True
