case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Activity Planning and Coordination,2023-10-26 12:18:12.625999,2023-10-26 17:26:12.625999,CUST_8192,Low,In-Person,HR,Clearance Software,784.11,HR_Agent_2,308,79.05,Delayed,System B,False
CASE_00001,Service Clearance Award,2023-10-26 17:26:12.625999,2023-10-27 09:00:12.625999,CUST_8192,Low,In-Person,HR,Clearance Software,784.11,HR_Agent_1,55,140.23,Expedited,System C,True
CASE_00002,Activity Planning and Coordination,2023-09-20 14:40:45.670812,2023-09-21 09:00:45.670812,CUST_6819,Medium,Email,Finance,Background Screening Software,8848.96,Finance_Agent_3,240,194.81,Delayed,System B,False
CASE_00002,Service Clearance Award,2023-09-21 09:00:45.670812,2023-09-21 16:39:45.670812,CUST_6819,Medium,Email,Finance,Background Screening Software,8848.96,Finance_Agent_1,459,171.99,Completed,System B,False
CASE_00003,Activity Planning and Coordination,2023-11-28 09:00:51.463397,2023-11-28 11:17:51.463397,CUST_5962,Low,Web,Risk Management,Background Check Software,5932.29,Risk_Agent_1,137,143.26,Completed,System B,True
CASE_00003,Service Clearance Award,2023-11-28 11:17:51.463397,2023-11-28 17:12:51.463397,CUST_5962,Low,Web,Risk Management,Background Check Software,5932.29,Risk_Agent_2,355,163.35,Completed,System A,False
CASE_00004,Service Clearance Review,2023-07-18 09:02:55.721863,2023-07-18 16:11:55.721863,CUST_3069,High,Phone,Compliance,Background Screening Software,2708.44,Compliance_Agent_1,429,165.33,Expedited,System C,True
CASE_00004,Activity Planning and Coordination,2023-07-18 16:11:55.721863,2023-07-19 09:00:55.721863,CUST_3069,High,Phone,Compliance,Background Screening Software,2708.44,Compliance_Agent_3,203,133.08,Delayed,System C,True
CASE_00004,Service Clearance Award,2023-07-19 09:00:55.721863,2023-07-19 10:08:55.721863,CUST_3069,High,Phone,Compliance,Background Screening Software,2708.44,Compliance_Agent_1,68,164.31,Expedited,System C,False
CASE_00005,Activity Planning and Coordination,2023-07-10 09:00:59.297934,2023-07-10 09:51:59.297934,CUST_4932,High,In-Person,Risk Management,IT Consulting Services,9192.17,Risk_Agent_1,51,180.78,Completed,System B,False
CASE_00005,Service Clearance Award,2023-07-10 09:51:59.297934,2023-07-10 14:01:59.297934,CUST_4932,High,In-Person,Risk Management,IT Consulting Services,9192.17,Risk_Agent_1,250,125.99,Expedited,System A,False
CASE_00006,Activity Planning and Coordination,2023-01-10 09:00:22.501791,2023-01-10 13:24:22.501791,CUST_3879,Medium,Phone,Risk Management,Security Clearance Software,4743.41,Risk_Agent_2,264,191.31,Expedited,System C,False
CASE_00006,Service Clearance Award,2023-01-10 13:24:22.501791,2023-01-10 15:47:22.501791,CUST_3879,Medium,Phone,Risk Management,Security Clearance Software,4743.41,Risk_Agent_1,143,191.27,Expedited,System A,True
CASE_00007,Service Clearance Review,2023-08-09 13:40:27.720875,2023-08-09 16:27:27.720875,CUST_6001,Low,Email,Procurement,Clearance Software,9848.91,Procurement_Agent_2,167,152.49,Expedited,System A,False
CASE_00007,Activity Approval,2023-08-09 16:27:27.720875,2023-08-10 09:00:27.720875,CUST_6001,Low,Email,Procurement,Clearance Software,9848.91,Procurement_Agent_1,206,154.56,Expedited,System C,True
CASE_00007,Activity Planning and Coordination,2023-08-10 09:00:27.720875,2023-08-10 15:42:27.720875,CUST_6001,Low,Email,Procurement,Clearance Software,9848.91,Procurement_Agent_2,402,166.86,Completed,System A,False
CASE_00007,Service Clearance Award,2023-08-10 15:42:27.720875,2023-08-10 16:27:27.720875,CUST_6001,Low,Email,Procurement,Clearance Software,9848.91,Procurement_Agent_2,45,152.93,Completed,System C,False
CASE_00008,Activity Planning and Coordination,2023-03-07 09:00:56.639015,2023-03-07 12:50:56.639015,CUST_8187,High,In-Person,Finance,Security Software,8284.46,Finance_Agent_2,230,182.1,Delayed,System A,True
CASE_00008,Service Clearance Award,2023-03-07 12:50:56.639015,2023-03-07 16:02:56.639015,CUST_8187,High,In-Person,Finance,Security Software,8284.46,Finance_Agent_1,192,200.66,Expedited,System A,False
CASE_00009,Service Clearance Review,2023-03-14 09:00:01.074163,2023-03-14 10:31:01.074163,CUST_5710,High,Phone,IT,Background Screening Software,2260.71,IT_Agent_2,91,237.46,Delayed,System C,True
CASE_00009,Activity Approval,2023-03-14 10:31:01.074163,2023-03-14 15:32:01.074163,CUST_5710,High,Phone,IT,Background Screening Software,2260.71,IT_Agent_1,301,171.21,Completed,System A,False
CASE_00009,Activity Planning and Coordination,2023-03-14 15:32:01.074163,2023-03-15 09:00:01.074163,CUST_5710,High,Phone,IT,Background Screening Software,2260.71,IT_Agent_2,416,150.42,Expedited,System C,False
CASE_00009,Service Clearance Award,2023-03-15 09:00:01.074163,2023-03-15 15:10:01.074163,CUST_5710,High,Phone,IT,Background Screening Software,2260.71,IT_Agent_2,370,170.56,Completed,System A,False
CASE_00010,Service Clearance Review,2023-07-18 09:00:51.747035,2023-07-18 11:53:51.747035,CUST_7968,Medium,Web,Risk Management,IT Security Software,7015.19,Risk_Agent_2,173,140.23,Expedited,System B,False
CASE_00010,Activity Approval,2023-07-18 11:53:51.747035,2023-07-18 16:26:51.747035,CUST_7968,Medium,Web,Risk Management,IT Security Software,7015.19,Risk_Agent_1,273,135.79,Expedited,System A,True
CASE_00010,Activity Planning and Coordination,2023-07-18 16:26:51.747035,2023-07-19 09:00:51.747035,CUST_7968,Medium,Web,Risk Management,IT Security Software,7015.19,Risk_Agent_2,365,115.28,Delayed,System C,False
CASE_00010,Service Clearance Award,2023-07-19 09:00:51.747035,2023-07-19 14:14:51.747035,CUST_7968,Medium,Web,Risk Management,IT Security Software,7015.19,Risk_Agent_2,314,179.27,Completed,System A,True
CASE_00011,Service Clearance Review,2023-06-08 09:00:46.972510,2023-06-08 15:24:46.972510,CUST_4630,Low,Web,Procurement,Security and Compliance Software,7761.04,Procurement_Agent_1,384,91.87,Expedited,System B,True
CASE_00011,Service Clearance Award,2023-06-08 15:24:46.972510,2023-06-08 17:00:46.972510,CUST_4630,Low,Web,Procurement,Security and Compliance Software,7761.04,Procurement_Agent_2,96,70.39,Completed,System B,False
CASE_00012,Service Clearance Review,2023-05-16 09:00:39.159151,2023-05-16 13:05:39.159151,CUST_7498,High,Web,HR,Background Check Software,8424.37,HR_Agent_2,245,82.51,Expedited,System A,False
CASE_00012,Service Clearance Award,2023-05-16 13:05:39.159151,2023-05-16 16:10:39.159151,CUST_7498,High,Web,HR,Background Check Software,8424.37,HR_Agent_3,185,136.02,Delayed,System C,True
CASE_00013,Activity Planning and Coordination,2023-01-02 09:00:43.569297,2023-01-02 09:51:43.569297,CUST_3969,Low,Email,IT,Security Software,2669.55,IT_Agent_1,51,188.88,Completed,System C,True
CASE_00013,Service Clearance Award,2023-01-02 09:51:43.569297,2023-01-02 16:49:43.569297,CUST_3969,Low,Email,IT,Security Software,2669.55,IT_Agent_2,418,185.16,Completed,System C,True
CASE_00014,Service Clearance Review,2023-10-02 15:58:40.856440,2023-10-03 09:00:40.856440,CUST_7597,High,Phone,Compliance,Security Software,9908.17,Compliance_Agent_3,340,189.64,Expedited,System A,False
CASE_00014,Activity Approval,2023-10-03 09:00:40.856440,2023-10-03 10:11:40.856440,CUST_7597,High,Phone,Compliance,Security Software,9908.17,Compliance_Agent_3,71,172.68,Expedited,System C,True
CASE_00014,Activity Planning and Coordination,2023-10-03 10:11:40.856440,2023-10-03 17:46:40.856440,CUST_7597,High,Phone,Compliance,Security Software,9908.17,Compliance_Agent_2,455,177.95,Delayed,System A,True
CASE_00014,Service Clearance Award,2023-10-03 17:46:40.856440,2023-10-04 09:00:40.856440,CUST_7597,High,Phone,Compliance,Security Software,9908.17,Compliance_Agent_2,281,120.91,Expedited,System C,True
CASE_00015,Service Clearance Review,2023-01-25 09:00:26.767300,2023-01-25 13:47:26.767300,CUST_5032,Medium,In-Person,Procurement,Security Clearance Software,2983.15,Procurement_Agent_1,287,145.64,Completed,System B,True
CASE_00015,Activity Planning and Coordination,2023-01-25 13:47:26.767300,2023-01-25 14:29:26.767300,CUST_5032,Medium,In-Person,Procurement,Security Clearance Software,2983.15,Procurement_Agent_2,42,167.95,Completed,System B,True
CASE_00015,Service Clearance Award,2023-01-25 14:29:26.767300,2023-01-26 09:00:26.767300,CUST_5032,Medium,In-Person,Procurement,Security Clearance Software,2983.15,Procurement_Agent_2,441,140.88,Delayed,System B,False
CASE_00016,Activity Planning and Coordination,2023-11-29 11:21:20.893070,2023-11-29 17:28:20.893070,CUST_2932,Low,In-Person,Procurement,Background Check Software,1849.65,Procurement_Agent_2,367,117.38,Delayed,System B,True
CASE_00016,Service Clearance Award,2023-11-29 17:28:20.893070,2023-11-30 09:00:20.893070,CUST_2932,Low,In-Person,Procurement,Background Check Software,1849.65,Procurement_Agent_1,283,117.31,Delayed,System C,False
CASE_00017,Service Clearance Review,2023-06-20 09:00:59.530753,2023-06-20 16:49:59.530753,CUST_3622,Medium,Email,HR,Background Check Software,8765.67,HR_Agent_3,469,101.2,Completed,System B,True
CASE_00017,Activity Planning and Coordination,2023-06-20 16:49:59.530753,2023-06-21 09:00:59.530753,CUST_3622,Medium,Email,HR,Background Check Software,8765.67,HR_Agent_2,265,81.11,Delayed,System C,True
CASE_00017,Service Clearance Award,2023-06-21 09:00:59.530753,2023-06-21 15:44:59.530753,CUST_3622,Medium,Email,HR,Background Check Software,8765.67,HR_Agent_3,404,123.87,Completed,System B,False
CASE_00018,Service Clearance Review,2023-01-26 09:00:07.395545,2023-01-26 16:16:07.395545,CUST_7837,Low,Web,Finance,Background Check Software,4416.46,Finance_Agent_3,436,189.67,Expedited,System A,True
CASE_00018,Activity Planning and Coordination,2023-01-26 16:16:07.395545,2023-01-27 09:00:07.395545,CUST_7837,Low,Web,Finance,Background Check Software,4416.46,Finance_Agent_3,140,228.5,Completed,System C,True
CASE_00018,Service Clearance Award,2023-01-27 09:00:07.395545,2023-01-27 09:46:07.395545,CUST_7837,Low,Web,Finance,Background Check Software,4416.46,Finance_Agent_3,46,179.34,Expedited,System C,False
CASE_00019,Activity Planning and Coordination,2023-12-26 09:00:21.257505,2023-12-26 09:49:21.257505,CUST_5657,Low,Phone,HR,Background Check Software,9327.38,HR_Agent_2,49,88.49,Expedited,System C,True
CASE_00019,Service Clearance Award,2023-12-26 09:49:21.257505,2023-12-26 14:04:21.257505,CUST_5657,Low,Phone,HR,Background Check Software,9327.38,HR_Agent_2,255,79.3,Expedited,System B,False
CASE_00020,Activity Planning and Coordination,2023-09-26 15:47:11.706305,2023-09-26 16:21:11.706305,CUST_2462,Low,Email,Compliance,Government Compliance Software,5058.47,Compliance_Agent_3,34,157.27,Delayed,System C,True
CASE_00020,Service Clearance Award,2023-09-26 16:21:11.706305,2023-09-27 09:00:11.706305,CUST_2462,Low,Email,Compliance,Government Compliance Software,5058.47,Compliance_Agent_2,294,147.0,Completed,System A,True
CASE_00021,Service Clearance Review,2023-02-24 09:00:05.712640,2023-02-24 13:07:05.712640,CUST_2182,Medium,Web,HR,Background Check Software,4116.1,HR_Agent_1,247,143.78,Completed,System C,True
CASE_00021,Activity Approval,2023-02-24 13:07:05.712640,2023-02-28 09:00:05.712640,CUST_2182,Medium,Web,HR,Background Check Software,4116.1,HR_Agent_2,366,69.03,Expedited,System A,True
CASE_00021,Activity Planning and Coordination,2023-02-28 09:00:05.712640,2023-02-28 11:25:05.712640,CUST_2182,Medium,Web,HR,Background Check Software,4116.1,HR_Agent_2,145,99.96,Completed,System A,False
CASE_00021,Service Clearance Award,2023-02-28 11:25:05.712640,2023-02-28 14:55:05.712640,CUST_2182,Medium,Web,HR,Background Check Software,4116.1,HR_Agent_2,210,79.59,Expedited,System A,False
CASE_00022,Service Clearance Review,2023-10-31 10:32:11.184901,2023-10-31 15:09:11.184901,CUST_8902,Low,Web,IT,Security Software,7568.5,IT_Agent_1,277,229.84,Completed,System C,True
CASE_00022,Service Clearance Award,2023-10-31 15:09:11.184901,2023-10-31 17:48:11.184901,CUST_8902,Low,Web,IT,Security Software,7568.5,IT_Agent_2,159,163.29,Completed,System B,True
CASE_00023,Activity Planning and Coordination,2023-04-25 09:00:43.375203,2023-04-25 10:03:43.375203,CUST_4491,Medium,In-Person,Risk Management,Background Check Software,1604.91,Risk_Agent_2,63,118.72,Completed,System C,False
