case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Process Service Request,2023-12-13 09:00:39.619552,2023-12-13 15:22:39.619552,CUST_5988,Medium,In-Person,Operations,IT Services,7889.37,Operations_Agent_3,382,121.11,Completed,System A,True
CASE_00001,Service Delivery Execution,2023-12-13 15:22:39.619552,2023-12-14 09:00:39.619552,CUST_5988,Medium,In-Person,Operations,IT Services,7889.37,Operations_Agent_1,334,55.77,Delayed,System B,False
CASE_00001,Service Validation,2023-12-14 09:00:39.619552,2023-12-14 14:19:39.619552,CUST_5988,Medium,In-Person,Operations,IT Services,7889.37,Operations_Agent_2,319,63.65,Delayed,System C,True
CASE_00002,Service Request Processing,2023-09-11 09:00:29.459311,2023-09-11 15:54:29.459311,CUST_4483,High,Web,Logistics,IT Service Management Software,2104.92,Logistics_Agent_2,414,147.39,Delayed,System B,True
CASE_00002,Service Delivery Execution,2023-09-11 15:54:29.459311,2023-09-12 09:00:29.459311,CUST_4483,High,Web,Logistics,IT Service Management Software,2104.92,Logistics_Agent_2,326,91.67,Delayed,System A,False
CASE_00002,Service Validation,2023-09-12 09:00:29.459311,2023-09-12 14:24:29.459311,CUST_4483,High,Web,Logistics,IT Service Management Software,2104.92,Logistics_Agent_3,324,132.58,Completed,System C,False
CASE_00003,Process Service Request,2023-12-12 10:17:20.390473,2023-12-12 14:07:20.390473,CUST_7712,High,Phone,Quality Assurance,Field Service Management Software,6052.69,Quality_Agent_1,230,157.72,Expedited,System A,False
CASE_00003,Service Delivery Execution,2023-12-12 14:07:20.390473,2023-12-13 09:00:20.390473,CUST_7712,High,Phone,Quality Assurance,Field Service Management Software,6052.69,Quality_Agent_1,237,202.62,Expedited,System C,True
CASE_00003,Service Validation,2023-12-13 09:00:20.390473,2023-12-13 14:03:20.390473,CUST_7712,High,Phone,Quality Assurance,Field Service Management Software,6052.69,Quality_Agent_1,303,204.25,Completed,System A,False
CASE_00004,Service Order Placement,2023-12-07 14:20:27.040293,2023-12-08 09:00:27.040293,CUST_2721,Medium,Email,Operations,Managed Services,5190.9,Operations_Agent_3,417,117.67,Completed,System B,False
CASE_00004,Service Delivery Execution,2023-12-08 09:00:27.040293,2023-12-08 11:24:27.040293,CUST_2721,Medium,Email,Operations,Managed Services,5190.9,Operations_Agent_1,144,103.21,Completed,System B,False
CASE_00004,Service Validation,2023-12-08 11:24:27.040293,2023-12-08 12:44:27.040293,CUST_2721,Medium,Email,Operations,Managed Services,5190.9,Operations_Agent_2,80,87.99,Delayed,System C,False
CASE_00005,Process Service Request,2023-11-02 13:38:25.009115,2023-11-03 09:00:25.009115,CUST_2832,High,Email,IT,IT Service Management Software,7616.52,IT_Agent_1,367,82.0,Completed,System C,True
CASE_00005,Service Delivery Execution,2023-11-03 09:00:25.009115,2023-11-03 12:55:25.009115,CUST_2832,High,Email,IT,IT Service Management Software,7616.52,IT_Agent_1,235,75.31,Completed,System B,False
CASE_00005,Service Validation,2023-11-03 12:55:25.009115,2023-11-03 17:32:25.009115,CUST_2832,High,Email,IT,IT Service Management Software,7616.52,IT_Agent_2,277,129.11,Expedited,System A,True
CASE_00006,Process Service Request,2023-11-09 09:00:35.621687,2023-11-09 12:26:35.621687,CUST_1122,High,Web,IT,IT Service Management Software,9562.94,IT_Agent_3,206,94.41,Delayed,System A,False
CASE_00006,Service Delivery Execution,2023-11-09 12:26:35.621687,2023-11-09 17:42:35.621687,CUST_1122,High,Web,IT,IT Service Management Software,9562.94,IT_Agent_2,316,82.53,Expedited,System A,True
CASE_00006,Service Validation,2023-11-09 17:42:35.621687,2023-11-10 09:00:35.621687,CUST_1122,High,Web,IT,IT Service Management Software,9562.94,IT_Agent_1,331,147.18,Completed,System A,True
CASE_00007,Service Request Processing,2023-04-04 09:00:53.922503,2023-04-04 14:39:53.922503,CUST_2090,Medium,Email,Logistics,IT Services,6998.9,Logistics_Agent_1,339,163.08,Delayed,System C,False
CASE_00007,Service Delivery Execution,2023-04-04 14:39:53.922503,2023-04-04 17:29:53.922503,CUST_2090,Medium,Email,Logistics,IT Services,6998.9,Logistics_Agent_2,170,135.53,Completed,System B,False
CASE_00007,Service Validation,2023-04-04 17:29:53.922503,2023-04-05 09:00:53.922503,CUST_2090,Medium,Email,Logistics,IT Services,6998.9,Logistics_Agent_3,412,167.9,Delayed,System C,False
CASE_00008,Service Request Processing,2023-01-12 09:00:43.822798,2023-01-12 10:33:43.822798,CUST_5427,Low,Email,Quality Assurance,IT Service Management Software,851.89,Quality_Agent_2,93,185.79,Delayed,System A,True
CASE_00008,Service Order Verification,2023-01-12 10:33:43.822798,2023-01-12 15:28:43.822798,CUST_5427,Low,Email,Quality Assurance,IT Service Management Software,851.89,Quality_Agent_2,295,129.51,Expedited,System C,True
CASE_00008,Service Delivery Planning,2023-01-12 15:28:43.822798,2023-01-13 09:00:43.822798,CUST_5427,Low,Email,Quality Assurance,IT Service Management Software,851.89,Quality_Agent_1,261,127.82,Completed,System B,False
CASE_00008,Order Fulfillment and Packaging,2023-01-13 09:00:43.822798,2023-01-13 15:04:43.822798,CUST_5427,Low,Email,Quality Assurance,IT Service Management Software,851.89,Quality_Agent_1,364,155.53,Completed,System B,True
CASE_00008,Service Validation,2023-01-13 15:04:43.822798,2023-01-17 09:00:43.822798,CUST_5427,Low,Email,Quality Assurance,IT Service Management Software,851.89,Quality_Agent_2,209,142.55,Completed,System B,False
CASE_00009,Service Request Processing,2023-12-26 09:00:53.116055,2023-12-26 12:03:53.116055,CUST_4300,Low,Email,Operations,Business Process Management Software,2590.31,Operations_Agent_1,183,134.2,Completed,System A,False
CASE_00009,Service Order Verification,2023-12-26 12:03:53.116055,2023-12-26 15:16:53.116055,CUST_4300,Low,Email,Operations,Business Process Management Software,2590.31,Operations_Agent_3,193,128.04,Delayed,System B,True
CASE_00009,Service Delivery Planning,2023-12-26 15:16:53.116055,2023-12-27 09:00:53.116055,CUST_4300,Low,Email,Operations,Business Process Management Software,2590.31,Operations_Agent_2,370,94.66,Completed,System A,False
CASE_00009,Service Delivery Execution,2023-12-27 09:00:53.116055,2023-12-27 10:18:53.116055,CUST_4300,Low,Email,Operations,Business Process Management Software,2590.31,Operations_Agent_1,78,142.13,Completed,System B,True
CASE_00009,Service Validation,2023-12-27 10:18:53.116055,2023-12-27 12:09:53.116055,CUST_4300,Low,Email,Operations,Business Process Management Software,2590.31,Operations_Agent_1,111,113.96,Completed,System A,True
CASE_00010,Service Request Processing,2023-07-17 09:00:43.900602,2023-07-17 10:00:43.900602,CUST_6155,Medium,Web,Logistics,Customer Service Software,1950.59,Logistics_Agent_3,60,187.62,Expedited,System C,False
CASE_00010,Order Fulfillment and Packaging,2023-07-17 10:00:43.900602,2023-07-17 12:59:43.900602,CUST_6155,Medium,Web,Logistics,Customer Service Software,1950.59,Logistics_Agent_2,179,178.94,Delayed,System C,True
CASE_00010,Service Validation,2023-07-17 12:59:43.900602,2023-07-17 14:53:43.900602,CUST_6155,Medium,Web,Logistics,Customer Service Software,1950.59,Logistics_Agent_3,114,169.5,Delayed,System B,True
CASE_00011,Service Order Placement,2023-01-31 10:13:16.366305,2023-01-31 10:56:16.366305,CUST_7036,Low,In-Person,Compliance,Customer Service Software,9662.6,Compliance_Agent_3,43,161.59,Expedited,System A,True
CASE_00011,Order Fulfillment and Packaging,2023-01-31 10:56:16.366305,2023-01-31 15:45:16.366305,CUST_7036,Low,In-Person,Compliance,Customer Service Software,9662.6,Compliance_Agent_2,289,218.9,Completed,System B,False
CASE_00011,Service Validation,2023-01-31 15:45:16.366305,2023-02-01 09:00:16.366305,CUST_7036,Low,In-Person,Compliance,Customer Service Software,9662.6,Compliance_Agent_2,343,169.31,Expedited,System C,False
CASE_00012,Process Service Request,2023-08-22 09:00:21.754074,2023-08-22 14:45:21.754074,CUST_8362,Low,Phone,Logistics,IT Service Management Software,4101.07,Logistics_Agent_1,345,168.92,Delayed,System C,True
CASE_00012,Service Delivery Execution,2023-08-22 14:45:21.754074,2023-08-23 09:00:21.754074,CUST_8362,Low,Phone,Logistics,IT Service Management Software,4101.07,Logistics_Agent_3,233,138.57,Expedited,System C,False
CASE_00012,Service Validation,2023-08-23 09:00:21.754074,2023-08-23 12:55:21.754074,CUST_8362,Low,Phone,Logistics,IT Service Management Software,4101.07,Logistics_Agent_1,235,188.51,Expedited,System C,True
CASE_00013,Process Service Request,2023-01-18 09:00:47.848512,2023-01-18 15:34:47.848512,CUST_7391,High,Web,Project Management,IT Consulting Services,4563.86,Project_Agent_1,394,196.06,Delayed,System C,True
CASE_00013,Service Delivery Execution,2023-01-18 15:34:47.848512,2023-01-19 09:00:47.848512,CUST_7391,High,Web,Project Management,IT Consulting Services,4563.86,Project_Agent_1,301,198.55,Delayed,System C,False
CASE_00013,Service Validation,2023-01-19 09:00:47.848512,2023-01-19 16:12:47.848512,CUST_7391,High,Web,Project Management,IT Consulting Services,4563.86,Project_Agent_2,432,169.99,Delayed,System B,True
CASE_00014,Process Service Request,2023-07-11 09:00:32.167592,2023-07-11 12:37:32.167592,CUST_8477,Low,Phone,IT,IT Infrastructure Services,9372.1,IT_Agent_3,217,143.44,Expedited,System A,False
CASE_00014,Service Delivery Execution,2023-07-11 12:37:32.167592,2023-07-11 13:22:32.167592,CUST_8477,Low,Phone,IT,IT Infrastructure Services,9372.1,IT_Agent_3,45,168.47,Expedited,System B,False
CASE_00014,Service Validation,2023-07-11 13:22:32.167592,2023-07-12 09:00:32.167592,CUST_8477,Low,Phone,IT,IT Infrastructure Services,9372.1,IT_Agent_3,352,108.5,Delayed,System C,True
CASE_00015,Service Order Placement,2023-03-16 09:00:20.341309,2023-03-16 14:55:20.341309,CUST_1806,Low,Email,Logistics,Network Services,7696.61,Logistics_Agent_1,355,179.78,Expedited,System C,False
CASE_00015,Service Delivery Execution,2023-03-16 14:55:20.341309,2023-03-17 09:00:20.341309,CUST_1806,Low,Email,Logistics,Network Services,7696.61,Logistics_Agent_2,273,124.09,Expedited,System C,True
CASE_00015,Service Validation,2023-03-17 09:00:20.341309,2023-03-17 12:11:20.341309,CUST_1806,Low,Email,Logistics,Network Services,7696.61,Logistics_Agent_2,191,118.44,Completed,System A,True
CASE_00016,Service Order Placement,2023-05-29 09:00:22.977262,2023-05-29 09:49:22.977262,CUST_1980,Medium,In-Person,Quality Assurance,Software as a Service (SaaS),4893.09,Quality_Agent_2,49,151.78,Completed,System B,True
CASE_00016,Service Delivery Execution,2023-05-29 09:49:22.977262,2023-05-29 14:39:22.977262,CUST_1980,Medium,In-Person,Quality Assurance,Software as a Service (SaaS),4893.09,Quality_Agent_2,290,141.3,Delayed,System B,True
CASE_00016,Service Validation,2023-05-29 14:39:22.977262,2023-05-30 09:00:22.977262,CUST_1980,Medium,In-Person,Quality Assurance,Software as a Service (SaaS),4893.09,Quality_Agent_1,332,156.24,Delayed,System B,False
CASE_00017,Service Order Placement,2023-01-05 09:00:09.092332,2023-01-05 14:09:09.092332,CUST_8367,High,Email,Project Management,Cloud Services,8596.59,Project_Agent_1,309,236.23,Delayed,System B,True
CASE_00017,Order Fulfillment and Packaging,2023-01-05 14:09:09.092332,2023-01-05 16:36:09.092332,CUST_8367,High,Email,Project Management,Cloud Services,8596.59,Project_Agent_2,147,210.45,Expedited,System C,True
CASE_00017,Service Validation,2023-01-05 16:36:09.092332,2023-01-06 09:00:09.092332,CUST_8367,High,Email,Project Management,Cloud Services,8596.59,Project_Agent_1,147,177.45,Delayed,System B,True
CASE_00018,Service Request Processing,2023-01-26 14:09:19.662555,2023-01-27 09:00:19.662555,CUST_7128,Low,In-Person,Project Management,Remote Support Software,7966.1,Project_Agent_2,442,186.52,Delayed,System B,False
CASE_00018,Service Order Verification,2023-01-27 09:00:19.662555,2023-01-27 09:52:19.662555,CUST_7128,Low,In-Person,Project Management,Remote Support Software,7966.1,Project_Agent_1,52,212.22,Delayed,System B,True
CASE_00018,Service Delivery Planning,2023-01-27 09:52:19.662555,2023-01-27 17:29:19.662555,CUST_7128,Low,In-Person,Project Management,Remote Support Software,7966.1,Project_Agent_1,457,198.2,Completed,System C,True
CASE_00018,Service Order Placement,2023-01-27 17:29:19.662555,2023-01-31 09:00:19.662555,CUST_7128,Low,In-Person,Project Management,Remote Support Software,7966.1,Project_Agent_1,152,240.88,Expedited,System C,True
CASE_00018,Order Fulfillment and Packaging,2023-01-31 09:00:19.662555,2023-01-31 12:52:19.662555,CUST_7128,Low,In-Person,Project Management,Remote Support Software,7966.1,Project_Agent_2,232,179.77,Delayed,System A,False
CASE_00018,Service Validation,2023-01-31 12:52:19.662555,2023-01-31 15:29:19.662555,CUST_7128,Low,In-Person,Project Management,Remote Support Software,7966.1,Project_Agent_1,157,226.84,Expedited,System A,True
CASE_00019,Service Request Processing,2023-10-31 09:00:51.195729,2023-10-31 11:53:51.195729,CUST_6262,Low,Web,Compliance,Customer Support Software,2837.82,Compliance_Agent_2,173,213.84,Delayed,System B,True
CASE_00019,Service Order Verification,2023-10-31 11:53:51.195729,2023-10-31 15:20:51.195729,CUST_6262,Low,Web,Compliance,Customer Support Software,2837.82,Compliance_Agent_3,207,212.0,Completed,System C,True
CASE_00019,Service Delivery Planning,2023-10-31 15:20:51.195729,2023-11-01 09:00:51.195729,CUST_6262,Low,Web,Compliance,Customer Support Software,2837.82,Compliance_Agent_3,357,132.62,Delayed,System B,True
CASE_00019,Service Delivery Execution,2023-11-01 09:00:51.195729,2023-11-01 09:59:51.195729,CUST_6262,Low,Web,Compliance,Customer Support Software,2837.82,Compliance_Agent_2,59,166.24,Expedited,System C,False
CASE_00019,Service Validation,2023-11-01 09:59:51.195729,2023-11-01 17:02:51.195729,CUST_6262,Low,Web,Compliance,Customer Support Software,2837.82,Compliance_Agent_1,423,215.5,Delayed,System C,False
CASE_00020,Service Order Placement,2023-03-28 09:00:01.859201,2023-03-28 11:31:01.859201,CUST_5536,Low,Web,Quality Assurance,IT Infrastructure Management,2036.58,Quality_Agent_2,151,143.18,Completed,System B,True
CASE_00020,Order Fulfillment and Packaging,2023-03-28 11:31:01.859201,2023-03-28 13:00:01.859201,CUST_5536,Low,Web,Quality Assurance,IT Infrastructure Management,2036.58,Quality_Agent_1,89,141.62,Completed,System A,True
CASE_00020,Service Validation,2023-03-28 13:00:01.859201,2023-03-28 14:30:01.859201,CUST_5536,Low,Web,Quality Assurance,IT Infrastructure Management,2036.58,Quality_Agent_2,90,205.97,Expedited,System B,False
CASE_00021,Process Service Request,2023-04-27 09:00:32.937046,2023-04-27 09:56:32.937046,CUST_1442,Medium,Email,Quality Assurance,Telecommunications Equipment,3280.13,Quality_Agent_2,56,130.81,Completed,System A,True
CASE_00021,Service Delivery Execution,2023-04-27 09:56:32.937046,2023-04-27 13:22:32.937046,CUST_1442,Medium,Email,Quality Assurance,Telecommunications Equipment,3280.13,Quality_Agent_2,206,173.63,Completed,System A,True
CASE_00021,Service Validation,2023-04-27 13:22:32.937046,2023-04-27 17:32:32.937046,CUST_1442,Medium,Email,Quality Assurance,Telecommunications Equipment,3280.13,Quality_Agent_2,250,110.89,Completed,System B,True
CASE_00022,Service Request Processing,2023-12-15 09:00:33.512181,2023-12-15 10:28:33.512181,CUST_4210,Medium,Email,Project Management,Cloud Services,1263.94,Project_Agent_1,88,211.46,Expedited,System A,False
CASE_00022,Service Order Verification,2023-12-15 10:28:33.512181,2023-12-15 13:48:33.512181,CUST_4210,Medium,Email,Project Management,Cloud Services,1263.94,Project_Agent_1,200,177.63,Expedited,System C,False
CASE_00022,Service Delivery Planning,2023-12-15 13:48:33.512181,2023-12-15 17:44:33.512181,CUST_4210,Medium,Email,Project Management,Cloud Services,1263.94,Project_Agent_2,236,239.07,Completed,System C,False
CASE_00022,Service Order Placement,2023-12-15 17:44:33.512181,2023-12-19 09:00:33.512181,CUST_4210,Medium,Email,Project Management,Cloud Services,1263.94,Project_Agent_1,366,178.27,Completed,System A,False
CASE_00022,Service Delivery Execution,2023-12-19 09:00:33.512181,2023-12-19 12:30:33.512181,CUST_4210,Medium,Email,Project Management,Cloud Services,1263.94,Project_Agent_1,210,246.16,Completed,System B,False
CASE_00022,Service Validation,2023-12-19 12:30:33.512181,2023-12-19 15:24:33.512181,CUST_4210,Medium,Email,Project Management,Cloud Services,1263.94,Project_Agent_2,174,202.01,Expedited,System C,True
CASE_00023,Process Service Request,2023-11-13 10:12:28.009600,2023-11-13 14:27:28.009600,CUST_7324,High,In-Person,Logistics,Customer Service Software,6572.72,Logistics_Agent_3,255,147.62,Completed,System C,True
CASE_00023,Service Delivery Execution,2023-11-13 14:27:28.009600,2023-11-13 17:05:28.009600,CUST_7324,High,In-Person,Logistics,Customer Service Software,6572.72,Logistics_Agent_1,158,137.66,Delayed,System C,False
CASE_00023,Service Validation,2023-11-13 17:05:28.009600,2023-11-14 09:00:28.009600,CUST_7324,High,In-Person,Logistics,Customer Service Software,6572.72,Logistics_Agent_1,478,176.72,Delayed,System A,True
CASE_00024,Service Order Placement,2023-08-22 12:25:46.533905,2023-08-23 09:00:46.533905,CUST_4005,Low,Web,IT,Customer Relationship Management Software (CRM),7930.82,IT_Agent_1,435,99.97,Expedited,System C,True
CASE_00024,Service Validation,2023-08-23 09:00:46.533905,2023-08-23 11:28:46.533905,CUST_4005,Low,Web,IT,Customer Relationship Management Software (CRM),7930.82,IT_Agent_1,148,116.36,Delayed,System B,False
CASE_00025,Service Order Placement,2023-02-07 10:57:10.945683,2023-02-08 09:00:10.945683,CUST_4716,Medium,Email,Project Management,IT Service Management Software,1533.09,Project_Agent_1,425,217.05,Completed,System A,True
CASE_00025,Service Validation,2023-02-08 09:00:10.945683,2023-02-08 09:30:10.945683,CUST_4716,Medium,Email,Project Management,IT Service Management Software,1533.09,Project_Agent_2,30,208.78,Completed,System B,True
CASE_00026,Service Order Placement,2023-11-14 09:00:25.808432,2023-11-14 13:26:25.808432,CUST_3318,Medium,In-Person,Project Management,Managed Services Software,7735.29,Project_Agent_1,266,153.61,Delayed,System B,True
CASE_00026,Order Fulfillment and Packaging,2023-11-14 13:26:25.808432,2023-11-15 09:00:25.808432,CUST_3318,Medium,In-Person,Project Management,Managed Services Software,7735.29,Project_Agent_1,298,161.21,Completed,System A,True
CASE_00026,Service Validation,2023-11-15 09:00:25.808432,2023-11-15 15:24:25.808432,CUST_3318,Medium,In-Person,Project Management,Managed Services Software,7735.29,Project_Agent_2,384,226.09,Expedited,System C,True
CASE_00027,Service Request Processing,2023-09-12 09:05:47.626016,2023-09-12 10:53:47.626016,CUST_5372,Low,Phone,Quality Assurance,Customer Relationship Management (CRM) Software,4443.39,Quality_Agent_1,108,148.22,Completed,System C,True
CASE_00027,Order Fulfillment and Packaging,2023-09-12 10:53:47.626016,2023-09-12 15:07:47.626016,CUST_5372,Low,Phone,Quality Assurance,Customer Relationship Management (CRM) Software,4443.39,Quality_Agent_1,254,128.56,Expedited,System C,False
CASE_00027,Service Validation,2023-09-12 15:07:47.626016,2023-09-12 17:20:47.626016,CUST_5372,Low,Phone,Quality Assurance,Customer Relationship Management (CRM) Software,4443.39,Quality_Agent_2,133,181.73,Completed,System C,True
