case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Analyze Service Request,2023-05-22 12:26:09.188122,2023-05-23 09:00:09.188122,CUST_6151,Low,Web,IT Support,Customer Support Software,3944.68,IT_Agent_1,360,66.89,Completed,System A,False
CASE_00001,Determine Root Cause,2023-05-23 09:00:09.188122,2023-05-23 11:24:09.188122,CUST_6151,Low,Web,IT Support,Customer Support Software,3944.68,IT_Agent_1,144,110.69,Completed,System C,True
CASE_00001,Implement Corrective Action,2023-05-23 11:24:09.188122,2023-05-23 12:39:09.188122,CUST_6151,Low,Web,IT Support,Customer Support Software,3944.68,IT_Agent_2,75,78.2,Delayed,System A,True
CASE_00002,Analyze Service Request,2023-02-21 09:00:20.270741,2023-02-21 14:32:20.270741,CUST_6137,Medium,In-Person,Customer Support,Customer Support Software,5320.94,Customer_Agent_2,332,183.76,Completed,System A,True
CASE_00002,Identify Correct Resolution,2023-02-21 14:32:20.270741,2023-02-22 09:00:20.270741,CUST_6137,Medium,In-Person,Customer Support,Customer Support Software,5320.94,Customer_Agent_3,230,187.54,Expedited,System B,True
CASE_00002,Implement Corrective Action,2023-02-22 09:00:20.270741,2023-02-22 12:52:20.270741,CUST_6137,Medium,In-Person,Customer Support,Customer Support Software,5320.94,Customer_Agent_1,232,160.68,Delayed,System C,False
CASE_00003,Analyze Service Request,2023-04-25 09:00:07.903482,2023-04-25 10:49:07.903482,CUST_7532,High,Email,Quality Assurance,IT Service Management Software,3117.71,Quality_Agent_1,109,124.15,Delayed,System C,True
CASE_00003,Implement Corrective Action,2023-04-25 10:49:07.903482,2023-04-25 15:35:07.903482,CUST_7532,High,Email,Quality Assurance,IT Service Management Software,3117.71,Quality_Agent_1,286,178.75,Expedited,System B,False
CASE_00004,Implement Corrective Action,2023-04-17 09:00:33.343563,2023-04-17 15:34:33.343563,CUST_3041,High,Web,Quality Assurance,Customer Service Software,6412.7,Quality_Agent_2,394,119.26,Delayed,System B,False
CASE_00005,Implement Corrective Action,2023-01-19 09:00:21.837743,2023-01-19 14:05:21.837743,CUST_5151,High,Phone,Application Development,IT Service Management Software,6155.16,Application_Agent_2,305,202.1,Expedited,System C,False
CASE_00006,Implement Corrective Action,2023-05-24 12:10:46.393397,2023-05-25 09:00:46.393397,CUST_4194,High,Email,Application Development,IT Support Software,1715.91,Application_Agent_1,371,169.74,Delayed,System C,False
CASE_00007,Implement Corrective Action,2023-05-23 09:00:02.662858,2023-05-23 13:00:02.662858,CUST_6868,Low,Web,Technical Operations,Customer Service Software,1927.26,Technical_Agent_2,240,94.02,Expedited,System A,False
CASE_00008,Analyze Service Request,2023-10-26 09:00:44.114062,2023-10-26 11:53:44.114062,CUST_3631,High,Phone,Technical Operations,IT Support Software,4813.65,Technical_Agent_3,173,72.67,Delayed,System B,True
CASE_00008,Determine Root Cause,2023-10-26 11:53:44.114062,2023-10-27 09:00:44.114062,CUST_3631,High,Phone,Technical Operations,IT Support Software,4813.65,Technical_Agent_2,438,86.84,Delayed,System B,True
CASE_00008,Implement Corrective Action,2023-10-27 09:00:44.114062,2023-10-27 13:55:44.114062,CUST_3631,High,Phone,Technical Operations,IT Support Software,4813.65,Technical_Agent_3,295,138.43,Delayed,System C,False
CASE_00009,Implement Corrective Action,2023-09-14 09:45:52.327536,2023-09-14 17:12:52.327536,CUST_7027,Low,Email,IT Support,IT Service Management Software,7307.83,IT_Agent_1,447,57.16,Completed,System A,False
CASE_00010,Analyze Service Request,2023-09-12 09:00:32.259245,2023-09-12 12:02:32.259245,CUST_5481,High,In-Person,Quality Assurance,Customer Support Software,483.18,Quality_Agent_2,182,181.25,Expedited,System C,False
CASE_00010,Identify Correct Resolution,2023-09-12 12:02:32.259245,2023-09-12 16:07:32.259245,CUST_5481,High,In-Person,Quality Assurance,Customer Support Software,483.18,Quality_Agent_1,245,113.06,Expedited,System C,False
CASE_00010,Implement Corrective Action,2023-09-12 16:07:32.259245,2023-09-13 09:00:32.259245,CUST_5481,High,In-Person,Quality Assurance,Customer Support Software,483.18,Quality_Agent_2,453,162.05,Completed,System A,False
CASE_00011,Implement Corrective Action,2023-03-07 14:04:44.891737,2023-03-07 16:16:44.891737,CUST_5071,Medium,Email,Technical Operations,IT Infrastructure Management Software,8048.69,Technical_Agent_2,132,74.74,Expedited,System A,True
CASE_00012,Analyze Service Request,2023-12-29 11:09:09.994761,2023-12-29 15:49:09.994761,CUST_9656,High,In-Person,Application Development,IT Service Management Software,4290.42,Application_Agent_2,280,239.27,Completed,System A,True
CASE_00012,Implement Corrective Action,2023-12-29 15:49:09.994761,2023-12-29 16:48:09.994761,CUST_9656,High,In-Person,Application Development,IT Service Management Software,4290.42,Application_Agent_2,59,170.76,Expedited,System C,False
CASE_00013,Implement Corrective Action,2023-01-10 09:00:06.667424,2023-01-10 13:07:06.667424,CUST_7672,Low,Email,Application Development,IT Service Management Software,9174.19,Application_Agent_3,247,235.17,Completed,System C,True
CASE_00014,Implement Corrective Action,2023-08-28 09:00:06.601517,2023-08-28 12:04:06.601517,CUST_9373,High,Web,Help Desk,IT Support Software,1116.56,Help_Agent_1,184,201.06,Completed,System C,False
CASE_00015,Analyze Service Request,2023-11-03 16:58:01.788142,2023-11-07 09:00:01.788142,CUST_4009,Low,In-Person,Help Desk,Help Desk Software,8292.24,Help_Agent_2,175,164.35,Completed,System B,False
CASE_00015,Implement Corrective Action,2023-11-07 09:00:01.788142,2023-11-07 15:33:01.788142,CUST_4009,Low,In-Person,Help Desk,Help Desk Software,8292.24,Help_Agent_1,393,168.67,Delayed,System C,False
CASE_00016,Analyze Service Request,2023-03-23 13:33:22.274344,2023-03-23 14:37:22.274344,CUST_4891,High,Email,Technical Operations,Customer Service Software,1267.27,Technical_Agent_1,64,124.38,Completed,System A,False
CASE_00016,Implement Corrective Action,2023-03-23 14:37:22.274344,2023-03-24 09:00:22.274344,CUST_4891,High,Email,Technical Operations,Customer Service Software,1267.27,Technical_Agent_3,476,160.29,Expedited,System B,True
CASE_00017,Analyze Service Request,2023-10-18 09:00:26.720720,2023-10-18 12:19:26.720720,CUST_9779,Low,Web,Application Development,Customer Service Software,2401.86,Application_Agent_3,199,156.27,Completed,System A,True
CASE_00017,Determine Root Cause,2023-10-18 12:19:26.720720,2023-10-18 14:53:26.720720,CUST_9779,Low,Web,Application Development,Customer Service Software,2401.86,Application_Agent_2,154,151.12,Completed,System C,False
