case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Check Signature Status,2023-12-26 09:00:37.680982,2023-12-26 14:40:37.680982,CUST_6886,Medium,Web,Compliance,Shipping & Handling Services,8230.15,Compliance_Agent_1,340,138.49,Expedited,System C,False
CASE_00001,Check and Confirm,2023-12-26 14:40:37.680982,2023-12-26 17:27:37.680982,CUST_6886,Medium,Web,Compliance,Shipping & Handling Services,8230.15,Compliance_Agent_2,167,171.12,Completed,System C,True
CASE_00001,Get Manager Approval,2023-12-26 17:27:37.680982,2023-12-27 09:00:37.680982,CUST_6886,Medium,Web,Compliance,Shipping & Handling Services,8230.15,Compliance_Agent_1,281,205.89,Completed,System A,False
CASE_00002,Check Signature Status,2023-01-11 12:24:02.263350,2023-01-11 16:25:02.263350,CUST_9174,High,Email,Finance,Digital Signing and Verification Services,8460.1,Finance_Agent_2,241,172.49,Delayed,System C,False
CASE_00002,Check and Confirm,2023-01-11 16:25:02.263350,2023-01-12 09:00:02.263350,CUST_9174,High,Email,Finance,Digital Signing and Verification Services,8460.1,Finance_Agent_2,210,199.78,Expedited,System A,False
CASE_00002,Get Manager Approval,2023-01-12 09:00:02.263350,2023-01-12 12:46:02.263350,CUST_9174,High,Email,Finance,Digital Signing and Verification Services,8460.1,Finance_Agent_1,226,175.84,Delayed,System A,False
CASE_00003,Check Signature Status,2023-08-31 09:00:58.092840,2023-08-31 14:56:58.092840,CUST_8363,High,Email,Operations,Digital Signature Verification Systems,7193.07,Operations_Agent_1,356,169.87,Completed,System B,False
CASE_00003,Update Signature Details,2023-08-31 14:56:58.092840,2023-08-31 16:39:58.092840,CUST_8363,High,Email,Operations,Digital Signature Verification Systems,7193.07,Operations_Agent_2,103,160.85,Delayed,System A,False
CASE_00003,Get Manager Approval,2023-08-31 16:39:58.092840,2023-09-01 09:00:58.092840,CUST_8363,High,Email,Operations,Digital Signature Verification Systems,7193.07,Operations_Agent_2,477,119.87,Completed,System C,True
CASE_00004,Check and Confirm,2023-10-03 09:00:32.024598,2023-10-03 16:01:32.024598,CUST_1746,Low,Web,Shipping,Shipping and Logistics Services,7500.69,Shipping_Agent_1,421,84.29,Delayed,System B,True
CASE_00004,Get Manager Approval,2023-10-03 16:01:32.024598,2023-10-04 09:00:32.024598,CUST_1746,Low,Web,Shipping,Shipping and Logistics Services,7500.69,Shipping_Agent_2,398,122.52,Completed,System B,True
CASE_00005,Check Signature Status,2023-07-28 09:00:08.812576,2023-07-28 14:35:08.812576,CUST_5395,High,Phone,Finance,Shipping Verification Services,6420.17,Finance_Agent_2,335,187.21,Delayed,System B,False
CASE_00005,Check and Confirm,2023-07-28 14:35:08.812576,2023-07-28 15:21:08.812576,CUST_5395,High,Phone,Finance,Shipping Verification Services,6420.17,Finance_Agent_1,46,198.41,Delayed,System B,True
CASE_00005,Get Manager Approval,2023-07-28 15:21:08.812576,2023-07-28 16:18:08.812576,CUST_5395,High,Phone,Finance,Shipping Verification Services,6420.17,Finance_Agent_2,57,191.58,Expedited,System C,True
CASE_00006,Check and Confirm,2023-06-30 09:14:17.414744,2023-06-30 15:35:17.414744,CUST_6462,Low,Phone,Operations,Digital Signature Verification,6034.76,Operations_Agent_1,381,105.17,Expedited,System B,False
CASE_00006,Get Manager Approval,2023-06-30 15:35:17.414744,2023-07-04 09:00:17.414744,CUST_6462,Low,Phone,Operations,Digital Signature Verification,6034.76,Operations_Agent_2,231,176.87,Delayed,System A,False
CASE_00007,Check and Confirm,2023-08-07 16:54:04.278759,2023-08-08 09:00:04.278759,CUST_5130,Medium,Email,Finance,Security and Authentication Services,2595.9,Finance_Agent_1,286,150.69,Completed,System C,False
CASE_00007,Get Manager Approval,2023-08-08 09:00:04.278759,2023-08-08 11:41:04.278759,CUST_5130,Medium,Email,Finance,Security and Authentication Services,2595.9,Finance_Agent_2,161,153.62,Delayed,System B,False
CASE_00008,Check Signature Status,2023-07-14 14:39:02.326972,2023-07-18 09:00:02.326972,CUST_5927,Low,Email,Shipping,Shipping and Handling,9820.9,Shipping_Agent_1,442,80.85,Completed,System B,True
CASE_00008,Update Signature Details,2023-07-18 09:00:02.326972,2023-07-18 11:34:02.326972,CUST_5927,Low,Email,Shipping,Shipping and Handling,9820.9,Shipping_Agent_1,154,132.14,Expedited,System C,False
CASE_00008,Get Manager Approval,2023-07-18 11:34:02.326972,2023-07-18 12:55:02.326972,CUST_5927,Low,Email,Shipping,Shipping and Handling,9820.9,Shipping_Agent_1,81,134.83,Delayed,System B,True
CASE_00009,Check and Confirm,2023-11-23 09:00:58.219122,2023-11-23 11:37:58.219122,CUST_8301,High,Phone,Logistics,Shipping and Handling Services,5929.99,Logistics_Agent_1,157,166.91,Completed,System B,True
CASE_00009,Get Manager Approval,2023-11-23 11:37:58.219122,2023-11-23 17:38:58.219122,CUST_8301,High,Phone,Logistics,Shipping and Handling Services,5929.99,Logistics_Agent_1,361,76.46,Completed,System B,False
CASE_00010,Check Signature Status,2023-05-30 09:00:30.823249,2023-05-30 11:55:30.823249,CUST_1711,Medium,Phone,Operations,Shipping and Delivery Services,5476.71,Operations_Agent_2,175,183.85,Expedited,System C,True
CASE_00010,Check and Confirm,2023-05-30 11:55:30.823249,2023-05-31 09:00:30.823249,CUST_1711,Medium,Phone,Operations,Shipping and Delivery Services,5476.71,Operations_Agent_2,468,133.95,Expedited,System A,True
CASE_00010,Get Manager Approval,2023-05-31 09:00:30.823249,2023-05-31 10:25:30.823249,CUST_1711,Medium,Phone,Operations,Shipping and Delivery Services,5476.71,Operations_Agent_2,85,146.32,Completed,System C,True
CASE_00011,Check Signature Status,2023-01-24 09:00:47.912937,2023-01-24 10:56:47.912937,CUST_3102,Medium,In-Person,Logistics,Shipping Verification Services,690.04,Logistics_Agent_3,116,100.7,Completed,System C,False
CASE_00011,Update Signature Details,2023-01-24 10:56:47.912937,2023-01-24 12:56:47.912937,CUST_3102,Medium,In-Person,Logistics,Shipping Verification Services,690.04,Logistics_Agent_3,120,127.43,Delayed,System B,True
CASE_00011,Get Manager Approval,2023-01-24 12:56:47.912937,2023-01-24 17:02:47.912937,CUST_3102,Medium,In-Person,Logistics,Shipping Verification Services,690.04,Logistics_Agent_3,246,95.76,Expedited,System C,False
CASE_00012,Check Signature Status,2023-07-18 09:00:11.812514,2023-07-18 13:16:11.812514,CUST_4583,Medium,Email,Logistics,Shipping and Handling Services,2862.48,Logistics_Agent_1,256,142.25,Expedited,System C,True
CASE_00012,Check and Confirm,2023-07-18 13:16:11.812514,2023-07-18 16:29:11.812514,CUST_4583,Medium,Email,Logistics,Shipping and Handling Services,2862.48,Logistics_Agent_2,193,155.96,Completed,System C,True
CASE_00012,Get Manager Approval,2023-07-18 16:29:11.812514,2023-07-19 09:00:11.812514,CUST_4583,Medium,Email,Logistics,Shipping and Handling Services,2862.48,Logistics_Agent_2,357,108.27,Expedited,System A,True
CASE_00013,Check Signature Status,2023-10-17 09:00:05.925522,2023-10-17 10:01:05.925522,CUST_2054,High,Phone,Quality Control,Shipping & Delivery Verification Software,4024.91,Quality_Agent_1,61,196.04,Delayed,System C,False
CASE_00013,Update Signature Details,2023-10-17 10:01:05.925522,2023-10-17 15:14:05.925522,CUST_2054,High,Phone,Quality Control,Shipping & Delivery Verification Software,4024.91,Quality_Agent_2,313,196.25,Completed,System A,True
CASE_00013,Get Manager Approval,2023-10-17 15:14:05.925522,2023-10-18 09:00:05.925522,CUST_2054,High,Phone,Quality Control,Shipping & Delivery Verification Software,4024.91,Quality_Agent_1,457,166.66,Delayed,System B,False
CASE_00014,Check Signature Status,2023-12-07 16:13:05.719254,2023-12-08 09:00:05.719254,CUST_1852,Low,In-Person,Operations,Shipping and Logistics,4476.69,Operations_Agent_2,185,105.09,Delayed,System C,True
CASE_00014,Check and Confirm,2023-12-08 09:00:05.719254,2023-12-08 11:43:05.719254,CUST_1852,Low,In-Person,Operations,Shipping and Logistics,4476.69,Operations_Agent_1,163,96.07,Delayed,System C,True
CASE_00014,Get Manager Approval,2023-12-08 11:43:05.719254,2023-12-08 16:44:05.719254,CUST_1852,Low,In-Person,Operations,Shipping and Logistics,4476.69,Operations_Agent_2,301,188.51,Completed,System C,True
CASE_00015,Check and Confirm,2023-07-06 09:00:13.296470,2023-07-06 16:09:13.296470,CUST_7732,Low,Email,Logistics,Shipping and Logistics Services,5519.92,Logistics_Agent_1,429,145.16,Expedited,System B,False
CASE_00015,Get Manager Approval,2023-07-06 16:09:13.296470,2023-07-07 09:00:13.296470,CUST_7732,Low,Email,Logistics,Shipping and Logistics Services,5519.92,Logistics_Agent_3,224,86.35,Delayed,System C,True
