case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Task Clearance Review,2023-08-22 17:40:56.956661,2023-08-23 09:00:56.956661,CUST_2750,Low,Phone,Project Management,Human Resources Software,3420.97,Project_Agent_3,474,141.39,Completed,System A,True
CASE_00001,Task Assignment Completion,2023-08-23 09:00:56.956661,2023-08-23 16:21:56.956661,CUST_2750,Low,Phone,Project Management,Human Resources Software,3420.97,Project_Agent_1,441,143.97,Delayed,System C,True
CASE_00001,Quality Check and Clearance,2023-08-23 16:21:56.956661,2023-08-24 09:00:56.956661,CUST_2750,Low,Phone,Project Management,Human Resources Software,3420.97,Project_Agent_3,463,124.54,Delayed,System A,False
CASE_00002,Quality Check and Clearance,2023-10-10 09:00:56.899040,2023-10-10 14:48:56.899040,CUST_2413,Medium,Phone,IT,Project Management Software,8953.27,IT_Agent_2,348,198.8,Expedited,System A,False
CASE_00003,Clearance Approval Process,2023-03-31 13:27:01.603446,2023-04-04 09:00:01.603446,CUST_2672,High,Phone,Project Management,HR Software Solutions,1648.4,Project_Agent_1,465,129.16,Completed,System C,False
CASE_00003,Task Assignment Completion,2023-04-04 09:00:01.603446,2023-04-04 11:12:01.603446,CUST_2672,High,Phone,Project Management,HR Software Solutions,1648.4,Project_Agent_1,132,162.57,Completed,System C,False
CASE_00003,Quality Check and Clearance,2023-04-04 11:12:01.603446,2023-04-04 15:18:01.603446,CUST_2672,High,Phone,Project Management,HR Software Solutions,1648.4,Project_Agent_1,246,90.39,Expedited,System C,True
CASE_00004,Quality Check and Clearance,2023-06-26 15:51:06.052094,2023-06-27 09:00:06.052094,CUST_3148,High,Email,IT,Project Management Software,1615.38,IT_Agent_2,249,187.04,Completed,System C,False
CASE_00005,Quality Check and Clearance,2023-02-21 09:40:49.074726,2023-02-21 15:00:49.074726,CUST_8814,High,Phone,Procurement,HR Software Solutions,8300.25,Procurement_Agent_1,320,113.2,Delayed,System A,True
CASE_00006,Quality Check and Clearance,2023-05-15 09:00:48.832237,2023-05-15 13:47:48.832237,CUST_2201,Low,Web,Procurement,Project Management Software,5365.14,Procurement_Agent_3,287,132.26,Completed,System C,False
CASE_00007,Clearance Approval Process,2023-08-10 09:00:00.805832,2023-08-10 13:07:00.805832,CUST_9347,High,Email,Compliance,HR Management Software,505.37,Compliance_Agent_2,247,162.66,Delayed,System A,False
CASE_00007,Activity Handover,2023-08-10 13:07:00.805832,2023-08-11 09:00:00.805832,CUST_9347,High,Email,Compliance,HR Management Software,505.37,Compliance_Agent_2,452,179.88,Delayed,System A,False
CASE_00007,Task Assignment Completion,2023-08-11 09:00:00.805832,2023-08-11 16:40:00.805832,CUST_9347,High,Email,Compliance,HR Management Software,505.37,Compliance_Agent_2,460,215.71,Delayed,System C,True
CASE_00007,Quality Check and Clearance,2023-08-11 16:40:00.805832,2023-08-15 09:00:00.805832,CUST_9347,High,Email,Compliance,HR Management Software,505.37,Compliance_Agent_1,175,195.16,Expedited,System B,False
CASE_00008,Clearance Approval Process,2023-10-17 17:22:38.055994,2023-10-18 09:00:38.055994,CUST_9694,High,Web,Procurement,Human Resources Management Software,3428.02,Procurement_Agent_2,58,103.35,Expedited,System C,False
CASE_00008,Activity Handover,2023-10-18 09:00:38.055994,2023-10-18 15:30:38.055994,CUST_9694,High,Web,Procurement,Human Resources Management Software,3428.02,Procurement_Agent_1,390,149.37,Completed,System C,True
CASE_00008,Task Assignment Completion,2023-10-18 15:30:38.055994,2023-10-18 17:34:38.055994,CUST_9694,High,Web,Procurement,Human Resources Management Software,3428.02,Procurement_Agent_2,124,125.79,Delayed,System A,True
CASE_00008,Quality Check and Clearance,2023-10-18 17:34:38.055994,2023-10-19 09:00:38.055994,CUST_9694,High,Web,Procurement,Human Resources Management Software,3428.02,Procurement_Agent_2,104,145.01,Completed,System B,False
CASE_00009,Task Clearance Review,2023-02-27 13:12:30.005134,2023-02-27 16:23:30.005134,CUST_2579,Low,Email,Compliance,Project Management Software,8674.55,Compliance_Agent_2,191,149.72,Expedited,System B,True
CASE_00009,Clearance Approval Process,2023-02-27 16:23:30.005134,2023-02-28 09:00:30.005134,CUST_2579,Low,Email,Compliance,Project Management Software,8674.55,Compliance_Agent_2,384,185.66,Expedited,System A,True
CASE_00009,Task Assignment Completion,2023-02-28 09:00:30.005134,2023-02-28 15:41:30.005134,CUST_2579,Low,Email,Compliance,Project Management Software,8674.55,Compliance_Agent_2,401,162.57,Expedited,System A,True
CASE_00009,Quality Check and Clearance,2023-02-28 15:41:30.005134,2023-02-28 16:11:30.005134,CUST_2579,Low,Email,Compliance,Project Management Software,8674.55,Compliance_Agent_2,30,162.22,Expedited,System A,True
CASE_00010,Quality Check and Clearance,2023-08-22 09:00:58.714913,2023-08-22 14:09:58.714913,CUST_4113,High,In-Person,Project Management,Project Management Software,9772.38,Project_Agent_2,309,124.48,Expedited,System B,False
CASE_00011,Task Clearance Review,2023-04-26 09:00:05.521520,2023-04-26 10:56:05.521520,CUST_8202,High,Phone,HR,Human Resources Software,7231.67,HR_Agent_2,116,78.6,Delayed,System B,True
CASE_00011,Clearance Approval Process,2023-04-26 10:56:05.521520,2023-04-26 17:44:05.521520,CUST_8202,High,Phone,HR,Human Resources Software,7231.67,HR_Agent_1,408,129.47,Expedited,System A,False
CASE_00011,Task Assignment Completion,2023-04-26 17:44:05.521520,2023-04-27 09:00:05.521520,CUST_8202,High,Phone,HR,Human Resources Software,7231.67,HR_Agent_1,164,144.03,Expedited,System C,False
CASE_00011,Quality Check and Clearance,2023-04-27 09:00:05.521520,2023-04-27 10:14:05.521520,CUST_8202,High,Phone,HR,Human Resources Software,7231.67,HR_Agent_1,74,87.2,Completed,System C,False
CASE_00012,Quality Check and Clearance,2023-10-31 09:00:49.863608,2023-10-31 10:26:49.863608,CUST_1456,Medium,Email,IT,Project Management Software,8576.68,IT_Agent_1,86,151.41,Expedited,System A,False
CASE_00013,Clearance Approval Process,2023-09-19 10:34:43.860863,2023-09-19 14:58:43.860863,CUST_9205,Medium,Email,Procurement,HR Software,9495.63,Procurement_Agent_1,264,165.96,Delayed,System C,False
CASE_00013,Activity Handover,2023-09-19 14:58:43.860863,2023-09-19 15:31:43.860863,CUST_9205,Medium,Email,Procurement,HR Software,9495.63,Procurement_Agent_3,33,97.49,Delayed,System B,False
CASE_00013,Quality Check and Clearance,2023-09-19 15:31:43.860863,2023-09-20 09:00:43.860863,CUST_9205,Medium,Email,Procurement,HR Software,9495.63,Procurement_Agent_2,429,123.81,Delayed,System C,False
CASE_00014,Quality Check and Clearance,2023-10-17 17:57:22.272829,2023-10-18 09:00:22.272829,CUST_8763,Medium,In-Person,Project Management,Project Management Software,2853.77,Project_Agent_2,114,151.56,Completed,System A,True
CASE_00015,Clearance Approval Process,2023-03-07 09:00:13.639367,2023-03-07 12:28:13.639367,CUST_6798,Low,Email,Project Management,Project Management Software,704.31,Project_Agent_1,208,92.46,Completed,System C,True
CASE_00015,Task Assignment Completion,2023-03-07 12:28:13.639367,2023-03-08 09:00:13.639367,CUST_6798,Low,Email,Project Management,Project Management Software,704.31,Project_Agent_3,434,125.82,Expedited,System A,False
CASE_00015,Quality Check and Clearance,2023-03-08 09:00:13.639367,2023-03-08 11:24:13.639367,CUST_6798,Low,Email,Project Management,Project Management Software,704.31,Project_Agent_2,144,135.82,Expedited,System C,False
CASE_00016,Quality Check and Clearance,2023-09-15 09:00:40.533382,2023-09-15 16:35:40.533382,CUST_9437,High,Web,Compliance,Project Management Software,2152.51,Compliance_Agent_1,455,218.19,Delayed,System B,False
CASE_00017,Task Clearance Review,2023-08-18 09:00:41.273460,2023-08-18 15:41:41.273460,CUST_2482,Low,Email,Compliance,HR Software,444.31,Compliance_Agent_2,401,134.74,Delayed,System B,True
CASE_00017,Task Assignment Completion,2023-08-18 15:41:41.273460,2023-08-22 09:00:41.273460,CUST_2482,Low,Email,Compliance,HR Software,444.31,Compliance_Agent_1,436,163.49,Expedited,System C,True
CASE_00017,Quality Check and Clearance,2023-08-22 09:00:41.273460,2023-08-22 16:57:41.273460,CUST_2482,Low,Email,Compliance,HR Software,444.31,Compliance_Agent_2,477,190.59,Delayed,System C,False
CASE_00018,Task Clearance Review,2023-02-09 09:00:01.391064,2023-02-09 14:43:01.391064,CUST_9253,Medium,Phone,Procurement,HR Software,3678.73,Procurement_Agent_3,343,133.23,Delayed,System B,True
CASE_00018,Clearance Approval Process,2023-02-09 14:43:01.391064,2023-02-10 09:00:01.391064,CUST_9253,Medium,Phone,Procurement,HR Software,3678.73,Procurement_Agent_3,298,123.89,Expedited,System A,False
CASE_00018,Task Assignment Completion,2023-02-10 09:00:01.391064,2023-02-10 10:13:01.391064,CUST_9253,Medium,Phone,Procurement,HR Software,3678.73,Procurement_Agent_1,73,182.2,Delayed,System A,True
CASE_00018,Quality Check and Clearance,2023-02-10 10:13:01.391064,2023-02-10 13:07:01.391064,CUST_9253,Medium,Phone,Procurement,HR Software,3678.73,Procurement_Agent_2,174,186.1,Expedited,System C,False
CASE_00019,Clearance Approval Process,2023-11-24 09:00:03.885295,2023-11-24 09:40:03.885295,CUST_5378,Low,Web,Compliance,Human Resources Software,2448.65,Compliance_Agent_1,40,211.35,Expedited,System B,False
CASE_00019,Task Assignment Completion,2023-11-24 09:40:03.885295,2023-11-24 16:02:03.885295,CUST_5378,Low,Web,Compliance,Human Resources Software,2448.65,Compliance_Agent_1,382,224.6,Delayed,System B,False
CASE_00019,Quality Check and Clearance,2023-11-24 16:02:03.885295,2023-11-28 09:00:03.885295,CUST_5378,Low,Web,Compliance,Human Resources Software,2448.65,Compliance_Agent_2,118,207.95,Expedited,System A,False
CASE_00020,Clearance Approval Process,2023-05-26 09:57:10.159131,2023-05-26 12:40:10.159131,CUST_8389,Low,In-Person,IT,HR Software Solutions,1759.04,IT_Agent_2,163,185.57,Completed,System C,False
CASE_00020,Task Assignment Completion,2023-05-26 12:40:10.159131,2023-05-26 15:29:10.159131,CUST_8389,Low,In-Person,IT,HR Software Solutions,1759.04,IT_Agent_2,169,194.28,Delayed,System B,False
CASE_00020,Quality Check and Clearance,2023-05-26 15:29:10.159131,2023-05-26 17:13:10.159131,CUST_8389,Low,In-Person,IT,HR Software Solutions,1759.04,IT_Agent_2,104,216.2,Completed,System C,True
CASE_00021,Clearance Approval Process,2023-11-07 16:57:04.638234,2023-11-08 09:00:04.638234,CUST_6326,Low,In-Person,Risk Management,HR Software Solutions,3916.32,Risk_Agent_2,360,129.58,Expedited,System B,True
CASE_00021,Activity Handover,2023-11-08 09:00:04.638234,2023-11-08 10:05:04.638234,CUST_6326,Low,In-Person,Risk Management,HR Software Solutions,3916.32,Risk_Agent_2,65,174.34,Completed,System C,True
CASE_00021,Quality Check and Clearance,2023-11-08 10:05:04.638234,2023-11-08 12:34:04.638234,CUST_6326,Low,In-Person,Risk Management,HR Software Solutions,3916.32,Risk_Agent_2,149,179.5,Delayed,System C,False
CASE_00022,Task Clearance Review,2023-10-24 13:24:13.548525,2023-10-24 14:02:13.548525,CUST_8450,High,In-Person,HR,Human Resources Management Software,6507.99,HR_Agent_1,38,73.85,Delayed,System C,True
CASE_00022,Task Assignment Completion,2023-10-24 14:02:13.548525,2023-10-24 17:28:13.548525,CUST_8450,High,In-Person,HR,Human Resources Management Software,6507.99,HR_Agent_1,206,99.36,Completed,System C,True
CASE_00022,Quality Check and Clearance,2023-10-24 17:28:13.548525,2023-10-25 09:00:13.548525,CUST_8450,High,In-Person,HR,Human Resources Management Software,6507.99,HR_Agent_1,149,83.88,Delayed,System C,True
CASE_00023,Task Clearance Review,2023-10-27 09:00:04.859456,2023-10-27 12:46:04.859456,CUST_6256,Low,Email,HR,Workplace Management Software,8314.47,HR_Agent_2,226,99.09,Completed,System A,False
CASE_00023,Task Assignment Completion,2023-10-27 12:46:04.859456,2023-10-27 17:10:04.859456,CUST_6256,Low,Email,HR,Workplace Management Software,8314.47,HR_Agent_1,264,67.89,Completed,System A,False
CASE_00023,Quality Check and Clearance,2023-10-27 17:10:04.859456,2023-10-31 09:00:04.859456,CUST_6256,Low,Email,HR,Workplace Management Software,8314.47,HR_Agent_1,131,104.95,Completed,System C,True
CASE_00024,Quality Check and Clearance,2023-09-26 14:03:12.046991,2023-09-26 17:04:12.046991,CUST_2586,Medium,In-Person,Procurement,HR Management Software,3040.09,Procurement_Agent_3,181,152.36,Expedited,System B,False
CASE_00025,Quality Check and Clearance,2023-01-26 09:00:39.933391,2023-01-26 11:43:39.933391,CUST_9374,High,Email,Compliance,Project Management Software,8593.87,Compliance_Agent_1,163,170.74,Expedited,System A,True
CASE_00026,Quality Check and Clearance,2023-12-14 09:00:51.801315,2023-12-14 10:05:51.801315,CUST_8326,High,Web,HR,Project Management Software,885.52,HR_Agent_2,65,118.66,Expedited,System B,False
CASE_00027,Task Clearance Review,2023-11-21 16:16:48.069324,2023-11-22 09:00:48.069324,CUST_8518,Medium,Phone,IT,Project Management Software,5925.91,IT_Agent_2,369,220.86,Delayed,System A,True
CASE_00027,Clearance Approval Process,2023-11-22 09:00:48.069324,2023-11-22 14:30:48.069324,CUST_8518,Medium,Phone,IT,Project Management Software,5925.91,IT_Agent_2,330,187.85,Expedited,System B,False
CASE_00027,Activity Handover,2023-11-22 14:30:48.069324,2023-11-22 15:49:48.069324,CUST_8518,Medium,Phone,IT,Project Management Software,5925.91,IT_Agent_2,79,180.22,Delayed,System B,False
CASE_00027,Task Assignment Completion,2023-11-22 15:49:48.069324,2023-11-23 09:00:48.069324,CUST_8518,Medium,Phone,IT,Project Management Software,5925.91,IT_Agent_2,301,157.13,Delayed,System B,True
CASE_00027,Quality Check and Clearance,2023-11-23 09:00:48.069324,2023-11-23 16:45:48.069324,CUST_8518,Medium,Phone,IT,Project Management Software,5925.91,IT_Agent_2,465,156.84,Delayed,System C,False
CASE_00028,Quality Check and Clearance,2023-02-24 16:14:00.025934,2023-02-28 09:00:00.025934,CUST_4120,High,Web,Procurement,Project Management Software,378.26,Procurement_Agent_2,147,93.28,Delayed,System C,False
CASE_00029,Task Clearance Review,2023-12-11 09:00:12.897123,2023-12-11 10:37:12.897123,CUST_6491,High,Email,IT,Business Process Management Software,7922.16,IT_Agent_1,97,154.46,Delayed,System C,True
CASE_00029,Clearance Approval Process,2023-12-11 10:37:12.897123,2023-12-11 15:54:12.897123,CUST_6491,High,Email,IT,Business Process Management Software,7922.16,IT_Agent_2,317,246.43,Expedited,System A,False
CASE_00029,Task Assignment Completion,2023-12-11 15:54:12.897123,2023-12-12 09:00:12.897123,CUST_6491,High,Email,IT,Business Process Management Software,7922.16,IT_Agent_2,459,164.21,Delayed,System A,False
CASE_00029,Quality Check and Clearance,2023-12-12 09:00:12.897123,2023-12-12 15:54:12.897123,CUST_6491,High,Email,IT,Business Process Management Software,7922.16,IT_Agent_2,414,151.34,Completed,System A,False
CASE_00030,Task Clearance Review,2023-05-02 09:00:49.848751,2023-05-02 11:15:49.848751,CUST_7630,High,In-Person,Risk Management,Human Resource Management Software,9578.57,Risk_Agent_2,135,131.28,Expedited,System B,False
CASE_00030,Clearance Approval Process,2023-05-02 11:15:49.848751,2023-05-02 17:12:49.848751,CUST_7630,High,In-Person,Risk Management,Human Resource Management Software,9578.57,Risk_Agent_3,357,130.7,Completed,System B,False
CASE_00030,Activity Handover,2023-05-02 17:12:49.848751,2023-05-03 09:00:49.848751,CUST_7630,High,In-Person,Risk Management,Human Resource Management Software,9578.57,Risk_Agent_2,387,168.58,Completed,System B,True
CASE_00030,Task Assignment Completion,2023-05-03 09:00:49.848751,2023-05-03 13:34:49.848751,CUST_7630,High,In-Person,Risk Management,Human Resource Management Software,9578.57,Risk_Agent_1,274,202.68,Expedited,System A,False
CASE_00030,Quality Check and Clearance,2023-05-03 13:34:49.848751,2023-05-03 17:07:49.848751,CUST_7630,High,In-Person,Risk Management,Human Resource Management Software,9578.57,Risk_Agent_1,213,148.45,Expedited,System C,True
CASE_00031,Quality Check and Clearance,2023-10-31 09:33:04.099312,2023-10-31 15:48:04.099312,CUST_5262,Low,Web,HR,Project Management Software,4514.39,HR_Agent_1,375,109.86,Expedited,System A,True
CASE_00032,Task Clearance Review,2023-06-21 09:00:02.700542,2023-06-21 12:18:02.700542,CUST_9920,High,Web,Compliance,Project Management Software,2147.33,Compliance_Agent_2,198,208.69,Delayed,System C,False
CASE_00032,Task Assignment Completion,2023-06-21 12:18:02.700542,2023-06-21 17:32:02.700542,CUST_9920,High,Web,Compliance,Project Management Software,2147.33,Compliance_Agent_1,314,201.14,Completed,System A,True
CASE_00032,Quality Check and Clearance,2023-06-21 17:32:02.700542,2023-06-22 09:00:02.700542,CUST_9920,High,Web,Compliance,Project Management Software,2147.33,Compliance_Agent_2,480,223.36,Completed,System A,True
CASE_00033,Clearance Approval Process,2023-01-17 11:16:03.313868,2023-01-17 15:10:03.313868,CUST_3780,Low,Web,IT,Project Management Software,9438.85,IT_Agent_1,234,160.9,Delayed,System B,False
CASE_00033,Task Assignment Completion,2023-01-17 15:10:03.313868,2023-01-18 09:00:03.313868,CUST_3780,Low,Web,IT,Project Management Software,9438.85,IT_Agent_2,463,168.06,Delayed,System C,True
CASE_00033,Quality Check and Clearance,2023-01-18 09:00:03.313868,2023-01-18 09:52:03.313868,CUST_3780,Low,Web,IT,Project Management Software,9438.85,IT_Agent_1,52,236.17,Completed,System B,True
CASE_00034,Quality Check and Clearance,2023-05-23 09:00:29.202471,2023-05-23 12:28:29.202471,CUST_9395,Medium,Phone,HR,Project Management Software,4133.15,HR_Agent_2,208,134.59,Expedited,System B,False
CASE_00035,Quality Check and Clearance,2023-03-14 09:49:09.225287,2023-03-14 14:31:09.225287,CUST_1498,High,Email,Risk Management,HR Software Solutions,3180.88,Risk_Agent_3,282,198.68,Delayed,System B,False
CASE_00036,Clearance Approval Process,2023-01-03 17:14:33.651589,2023-01-03 17:46:33.651589,CUST_9113,Medium,Web,Project Management,HR Software Solutions,8056.76,Project_Agent_2,32,154.24,Expedited,System C,True
CASE_00036,Task Assignment Completion,2023-01-03 17:46:33.651589,2023-01-04 09:00:33.651589,CUST_9113,Medium,Web,Project Management,HR Software Solutions,8056.76,Project_Agent_1,270,134.74,Delayed,System B,True
CASE_00036,Quality Check and Clearance,2023-01-04 09:00:33.651589,2023-01-04 12:30:33.651589,CUST_9113,Medium,Web,Project Management,HR Software Solutions,8056.76,Project_Agent_3,210,80.82,Expedited,System A,True
