case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Allocate Tasks,2023-11-20 17:14:28.089542,2023-11-21 09:00:28.089542,CUST_3505,Low,Phone,HR,Project Management Software,3417.43,HR_Agent_1,369,149.52,Completed,System C,True
CASE_00001,Close Out Process,2023-11-21 09:00:28.089542,2023-11-21 13:08:28.089542,CUST_3505,Low,Phone,HR,Project Management Software,3417.43,HR_Agent_2,248,70.07,Delayed,System C,True
CASE_00002,Resource Allocation,2023-10-09 09:00:34.603165,2023-10-09 16:34:34.603165,CUST_5365,Low,Phone,IT,HR Management Software,9294.32,IT_Agent_1,454,150.47,Completed,System A,True
CASE_00002,Monitor and Control Progress,2023-10-09 16:34:34.603165,2023-10-10 09:00:34.603165,CUST_5365,Low,Phone,IT,HR Management Software,9294.32,IT_Agent_1,268,134.48,Delayed,System C,False
CASE_00002,Close Out Process,2023-10-10 09:00:34.603165,2023-10-10 12:15:34.603165,CUST_5365,Low,Phone,IT,HR Management Software,9294.32,IT_Agent_1,195,78.87,Delayed,System C,True
CASE_00003,Resource Allocation,2023-07-11 09:00:16.728683,2023-07-11 13:21:16.728683,CUST_6223,High,In-Person,Training and Development,Project Management Software,1875.3,Training_Agent_2,261,166.01,Completed,System A,True
CASE_00003,Monitor and Control Progress,2023-07-11 13:21:16.728683,2023-07-12 09:00:16.728683,CUST_6223,High,In-Person,Training and Development,Project Management Software,1875.3,Training_Agent_2,298,162.79,Completed,System C,True
CASE_00003,Close Out Process,2023-07-12 09:00:16.728683,2023-07-12 11:02:16.728683,CUST_6223,High,In-Person,Training and Development,Project Management Software,1875.3,Training_Agent_1,122,151.87,Completed,System A,True
CASE_00004,Resource Allocation,2023-11-06 09:00:23.264766,2023-11-06 13:55:23.264766,CUST_6717,High,Email,Training and Development,Project Management Software,6346.09,Training_Agent_2,295,213.53,Completed,System C,False
CASE_00004,Monitor and Control Progress,2023-11-06 13:55:23.264766,2023-11-06 17:28:23.264766,CUST_6717,High,Email,Training and Development,Project Management Software,6346.09,Training_Agent_1,213,171.45,Delayed,System B,True
CASE_00004,Close Out Process,2023-11-06 17:28:23.264766,2023-11-07 09:00:23.264766,CUST_6717,High,Email,Training and Development,Project Management Software,6346.09,Training_Agent_1,373,159.64,Expedited,System C,True
CASE_00005,Resource Allocation,2023-09-15 09:00:12.234688,2023-09-15 12:20:12.234688,CUST_5737,Medium,Email,HR,Time Management,7974.28,HR_Agent_2,200,112.13,Expedited,System A,True
CASE_00005,Monitor and Control Progress,2023-09-15 12:20:12.234688,2023-09-19 09:00:12.234688,CUST_5737,Medium,Email,HR,Time Management,7974.28,HR_Agent_3,354,84.52,Delayed,System C,False
CASE_00005,Close Out Process,2023-09-19 09:00:12.234688,2023-09-19 10:21:12.234688,CUST_5737,Medium,Email,HR,Time Management,7974.28,HR_Agent_2,81,64.29,Expedited,System B,True
CASE_00006,Allocate Tasks,2023-09-08 15:18:25.924898,2023-09-12 09:00:25.924898,CUST_9565,Medium,In-Person,Training and Development,Project Management Software,8015.31,Training_Agent_2,226,150.25,Delayed,System A,False
CASE_00006,Verify Task Details,2023-09-12 09:00:25.924898,2023-09-12 16:56:25.924898,CUST_9565,Medium,In-Person,Training and Development,Project Management Software,8015.31,Training_Agent_2,476,151.01,Expedited,System C,False
CASE_00006,Close Out Process,2023-09-12 16:56:25.924898,2023-09-13 09:00:25.924898,CUST_9565,Medium,In-Person,Training and Development,Project Management Software,8015.31,Training_Agent_2,391,134.97,Completed,System A,True
CASE_00007,Allocate Tasks,2023-04-25 09:00:12.132396,2023-04-25 13:19:12.132396,CUST_2996,High,In-Person,Quality Assurance,HR Management Software,6421.22,Quality_Agent_2,259,158.13,Expedited,System B,False
CASE_00007,Update Task Plan,2023-04-25 13:19:12.132396,2023-04-25 17:16:12.132396,CUST_2996,High,In-Person,Quality Assurance,HR Management Software,6421.22,Quality_Agent_2,237,171.35,Expedited,System A,False
CASE_00007,Verify Task Details,2023-04-25 17:16:12.132396,2023-04-26 09:00:12.132396,CUST_2996,High,In-Person,Quality Assurance,HR Management Software,6421.22,Quality_Agent_2,81,197.64,Completed,System B,True
CASE_00007,Close Out Process,2023-04-26 09:00:12.132396,2023-04-26 14:55:12.132396,CUST_2996,High,In-Person,Quality Assurance,HR Management Software,6421.22,Quality_Agent_1,355,120.23,Completed,System B,True
CASE_00008,Allocate Tasks,2023-01-24 09:00:49.829009,2023-01-24 16:34:49.829009,CUST_9934,High,Phone,Project Management,Project Management Software,1100.13,Project_Agent_2,454,139.25,Completed,System C,True
CASE_00008,Verify Task Details,2023-01-24 16:34:49.829009,2023-01-24 17:37:49.829009,CUST_9934,High,Phone,Project Management,Project Management Software,1100.13,Project_Agent_3,63,109.33,Delayed,System A,False
CASE_00008,Close Out Process,2023-01-24 17:37:49.829009,2023-01-25 09:00:49.829009,CUST_9934,High,Phone,Project Management,Project Management Software,1100.13,Project_Agent_2,455,181.43,Expedited,System B,True
CASE_00009,Allocate Tasks,2023-08-08 09:00:53.398097,2023-08-08 09:46:53.398097,CUST_1670,High,Web,IT,Project Management Tools,1859.59,IT_Agent_1,46,149.47,Expedited,System B,True
CASE_00009,Close Out Process,2023-08-08 09:46:53.398097,2023-08-08 17:37:53.398097,CUST_1670,High,Web,IT,Project Management Tools,1859.59,IT_Agent_1,471,84.86,Completed,System C,False
CASE_00010,Resource Allocation,2023-11-30 12:41:09.703244,2023-11-30 16:08:09.703244,CUST_3695,Medium,Email,IT,Project Management Software,6954.67,IT_Agent_1,207,140.52,Completed,System C,False
CASE_00010,Monitor and Control Progress,2023-11-30 16:08:09.703244,2023-12-01 09:00:09.703244,CUST_3695,Medium,Email,IT,Project Management Software,6954.67,IT_Agent_2,421,123.98,Expedited,System A,True
CASE_00010,Close Out Process,2023-12-01 09:00:09.703244,2023-12-01 12:04:09.703244,CUST_3695,Medium,Email,IT,Project Management Software,6954.67,IT_Agent_1,184,147.57,Completed,System B,False
CASE_00011,Resource Allocation,2023-04-12 09:00:57.288822,2023-04-12 10:24:57.288822,CUST_1191,Low,In-Person,HR,Project Management Software,5116.51,HR_Agent_1,84,103.28,Delayed,System B,False
CASE_00011,Monitor and Control Progress,2023-04-12 10:24:57.288822,2023-04-12 11:52:57.288822,CUST_1191,Low,In-Person,HR,Project Management Software,5116.51,HR_Agent_1,88,51.51,Completed,System B,True
