case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Route Tasks Manually,2023-02-01 09:00:44.405693,2023-02-01 15:15:44.405693,CUST_6188,Low,In-Person,Logistics,Business Process Automation Software,6219.18,Logistics_Agent_2,375,119.41,Completed,System C,True
CASE_00001,Generate Random Routes,2023-02-01 15:15:44.405693,2023-02-01 16:00:44.405693,CUST_6188,Low,In-Person,Logistics,Business Process Automation Software,6219.18,Logistics_Agent_2,45,167.97,Expedited,System B,True
CASE_00002,Route Tasks Manually,2023-08-29 09:00:02.993338,2023-08-29 15:51:02.993338,CUST_1557,Medium,Web,IT,Workforce Management Software,5499.46,IT_Agent_1,411,139.7,Expedited,System B,False
CASE_00002,Generate Random Routes,2023-08-29 15:51:02.993338,2023-08-30 09:00:02.993338,CUST_1557,Medium,Web,IT,Workforce Management Software,5499.46,IT_Agent_1,304,109.41,Expedited,System A,False
CASE_00003,Task Assignment Step,2023-05-25 10:34:57.841135,2023-05-25 15:21:57.841135,CUST_2986,Low,In-Person,Marketing,Workflow Automation Software,9148.24,Marketing_Agent_1,287,113.6,Expedited,System B,False
CASE_00003,Task Review and Approval,2023-05-25 15:21:57.841135,2023-05-25 17:30:57.841135,CUST_2986,Low,In-Person,Marketing,Workflow Automation Software,9148.24,Marketing_Agent_2,129,89.01,Completed,System A,True
CASE_00003,Route Tasks Manually,2023-05-25 17:30:57.841135,2023-05-26 09:00:57.841135,CUST_2986,Low,In-Person,Marketing,Workflow Automation Software,9148.24,Marketing_Agent_1,347,79.94,Expedited,System C,False
CASE_00003,Generate Random Routes,2023-05-26 09:00:57.841135,2023-05-26 12:25:57.841135,CUST_2986,Low,In-Person,Marketing,Workflow Automation Software,9148.24,Marketing_Agent_1,205,110.15,Delayed,System B,False
CASE_00004,Route Tasks Manually,2023-03-21 13:58:14.862332,2023-03-21 17:24:14.862332,CUST_7295,Medium,Web,Logistics,Workforce Management Software,4974.33,Logistics_Agent_1,206,107.59,Expedited,System A,True
CASE_00004,Generate Random Routes,2023-03-21 17:24:14.862332,2023-03-22 09:00:14.862332,CUST_7295,Medium,Web,Logistics,Workforce Management Software,4974.33,Logistics_Agent_1,474,176.87,Expedited,System A,True
CASE_00005,Route Tasks Manually,2023-10-11 15:22:54.153382,2023-10-12 09:00:54.153382,CUST_8476,Low,Phone,Human Resources,Workflow Management Solutions,5268.53,Human_Agent_3,292,208.92,Expedited,System C,True
CASE_00005,Generate Random Routes,2023-10-12 09:00:54.153382,2023-10-12 12:32:54.153382,CUST_8476,Low,Phone,Human Resources,Workflow Management Solutions,5268.53,Human_Agent_3,212,223.77,Expedited,System C,False
CASE_00006,Route Tasks Manually,2023-03-07 09:00:59.866638,2023-03-07 16:27:59.866638,CUST_3653,Medium,Email,Marketing,Workflow Automation Software,4080.53,Marketing_Agent_1,447,65.94,Completed,System A,True
CASE_00006,Generate Random Routes,2023-03-07 16:27:59.866638,2023-03-08 09:00:59.866638,CUST_3653,Medium,Email,Marketing,Workflow Automation Software,4080.53,Marketing_Agent_1,94,66.59,Delayed,System A,False
CASE_00007,Route Tasks Manually,2023-12-22 09:00:22.674344,2023-12-22 12:06:22.674344,CUST_3942,Medium,Email,IT,Workforce Management Software,6330.93,IT_Agent_1,186,99.27,Completed,System B,True
CASE_00007,Generate Random Routes,2023-12-22 12:06:22.674344,2023-12-22 12:58:22.674344,CUST_3942,Medium,Email,IT,Workforce Management Software,6330.93,IT_Agent_1,52,94.06,Expedited,System B,False
CASE_00008,Task Assignment Step,2023-11-24 16:19:47.434603,2023-11-28 09:00:47.434603,CUST_8159,Medium,In-Person,Human Resources,Supply Chain Management Software,9623.86,Human_Agent_3,234,142.47,Completed,System A,False
CASE_00008,Task Scheduling Process,2023-11-28 09:00:47.434603,2023-11-28 12:07:47.434603,CUST_8159,Medium,In-Person,Human Resources,Supply Chain Management Software,9623.86,Human_Agent_3,187,220.14,Completed,System B,True
CASE_00008,Generate Random Routes,2023-11-28 12:07:47.434603,2023-11-28 14:45:47.434603,CUST_8159,Medium,In-Person,Human Resources,Supply Chain Management Software,9623.86,Human_Agent_1,158,160.84,Expedited,System A,True
CASE_00009,Task Assignment Step,2023-01-23 09:00:32.129871,2023-01-23 13:32:32.129871,CUST_2134,Medium,Web,Quality Assurance,Operational Efficiency Solutions,1753.37,Quality_Agent_2,272,168.46,Completed,System C,False
CASE_00009,Task Scheduling Process,2023-01-23 13:32:32.129871,2023-01-24 09:00:32.129871,CUST_2134,Medium,Web,Quality Assurance,Operational Efficiency Solutions,1753.37,Quality_Agent_1,286,204.94,Delayed,System A,False
CASE_00009,Generate Random Routes,2023-01-24 09:00:32.129871,2023-01-24 10:03:32.129871,CUST_2134,Medium,Web,Quality Assurance,Operational Efficiency Solutions,1753.37,Quality_Agent_2,63,140.03,Expedited,System B,False
