case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Request Additional Items,2023-07-24 10:07:50.687523,2023-07-24 11:48:50.687523,CUST_8949,High,Phone,Accounts Payable,Verified Returns Products,6604.44,Accounts_Agent_2,101,149.51,Delayed,System B,False
CASE_00002,Request Additional Items,2023-02-27 09:00:09.358434,2023-02-27 11:38:09.358434,CUST_6980,Low,Phone,Quality Control,Verified Refurbished Electronics,6370.68,Quality_Agent_2,158,130.62,Expedited,System C,False
CASE_00003,Request Additional Items,2023-03-07 09:00:46.925683,2023-03-07 12:45:46.925683,CUST_8575,Low,In-Person,Returns Department,Returned Merchandise,1758.16,Returns_Agent_1,225,226.86,Delayed,System C,False
CASE_00004,Verify and Confirm Return,2023-01-23 09:00:29.288673,2023-01-23 15:33:29.288673,CUST_2710,Medium,In-Person,Customer Service,Product Verification Kits,5715.02,Customer_Agent_2,393,115.21,Expedited,System A,True
CASE_00004,Process Verified Return   Verify Return Details  Verify Return Status  Notify Next Steps,2023-01-23 15:33:29.288673,2023-01-24 09:00:29.288673,CUST_2710,Medium,In-Person,Customer Service,Product Verification Kits,5715.02,Customer_Agent_2,423,165.62,Delayed,System B,False
CASE_00004,Update Verified Return,2023-01-24 09:00:29.288673,2023-01-24 11:33:29.288673,CUST_2710,Medium,In-Person,Customer Service,Product Verification Kits,5715.02,Customer_Agent_1,153,172.01,Delayed,System A,True
CASE_00004,Request Additional Items,2023-01-24 11:33:29.288673,2023-01-24 15:54:29.288673,CUST_2710,Medium,In-Person,Customer Service,Product Verification Kits,5715.02,Customer_Agent_2,261,196.96,Delayed,System A,False
CASE_00005,Verify Return Package,2023-11-08 09:00:26.524048,2023-11-08 14:09:26.524048,CUST_8589,Medium,Email,Quality Control,Returns & Refunds,9889.09,Quality_Agent_1,309,169.15,Delayed,System A,False
CASE_00005,Update Verified Return,2023-11-08 14:09:26.524048,2023-11-08 15:37:26.524048,CUST_8589,Medium,Email,Quality Control,Returns & Refunds,9889.09,Quality_Agent_2,88,138.19,Completed,System A,True
CASE_00005,Request Additional Items,2023-11-08 15:37:26.524048,2023-11-08 17:44:26.524048,CUST_8589,Medium,Email,Quality Control,Returns & Refunds,9889.09,Quality_Agent_1,127,143.39,Completed,System C,False
CASE_00006,Verify and Confirm Return,2023-09-25 17:32:58.203270,2023-09-26 09:00:58.203270,CUST_4707,High,In-Person,Returns Department,E-commerce Returns Management,7141.48,Returns_Agent_1,330,216.89,Completed,System A,True
CASE_00006,Update Verified Return,2023-09-26 09:00:58.203270,2023-09-26 13:25:58.203270,CUST_4707,High,In-Person,Returns Department,E-commerce Returns Management,7141.48,Returns_Agent_3,265,205.87,Expedited,System A,False
CASE_00006,Request Additional Items,2023-09-26 13:25:58.203270,2023-09-26 17:06:58.203270,CUST_4707,High,In-Person,Returns Department,E-commerce Returns Management,7141.48,Returns_Agent_2,221,228.32,Completed,System C,True
CASE_00007,Verify and Confirm Return,2023-07-31 13:51:37.118423,2023-08-01 09:00:37.118423,CUST_9002,Low,In-Person,Accounts Payable,Verified Returns,5314.4,Accounts_Agent_2,455,104.92,Expedited,System C,False
CASE_00007,Process Verified Return   Verify Return Details  Verify Return Status  Notify Next Steps,2023-08-01 09:00:37.118423,2023-08-01 11:11:37.118423,CUST_9002,Low,In-Person,Accounts Payable,Verified Returns,5314.4,Accounts_Agent_1,131,67.11,Delayed,System C,True
CASE_00007,Verify Return Package,2023-08-01 11:11:37.118423,2023-08-01 15:54:37.118423,CUST_9002,Low,In-Person,Accounts Payable,Verified Returns,5314.4,Accounts_Agent_1,283,125.8,Completed,System C,False
CASE_00007,Update Verified Return,2023-08-01 15:54:37.118423,2023-08-02 09:00:37.118423,CUST_9002,Low,In-Person,Accounts Payable,Verified Returns,5314.4,Accounts_Agent_1,167,113.46,Completed,System A,True
CASE_00007,Request Additional Items,2023-08-02 09:00:37.118423,2023-08-02 16:15:37.118423,CUST_9002,Low,In-Person,Accounts Payable,Verified Returns,5314.4,Accounts_Agent_2,435,83.17,Delayed,System B,True
