case_id,activity,timestamp,complete_timestamp,customer_id,priority,channel,department,product_category,value,resource,duration_minutes,cost,status,system,automated
CASE_00001,Check Dispatch Details,2023-10-10 09:00:16.416025,2023-10-10 10:52:16.416025,CUST_3133,High,Web,Procurement,Logistics and Transportation Supplies,1044.93,Procurement_Agent_2,112,160.29,Completed,System A,True
CASE_00001,Verify Order Status,2023-10-10 10:52:16.416025,2023-10-10 14:56:16.416025,CUST_3133,High,Web,Procurement,Logistics and Transportation Supplies,1044.93,Procurement_Agent_2,244,139.47,Completed,System B,False
CASE_00001,Check for Validity Issues,2023-10-10 14:56:16.416025,2023-10-10 17:33:16.416025,CUST_3133,High,Web,Procurement,Logistics and Transportation Supplies,1044.93,Procurement_Agent_2,157,137.0,Completed,System A,True
CASE_00001,Review and Confirm Dispatch,2023-10-10 17:33:16.416025,2023-10-11 09:00:16.416025,CUST_3133,High,Web,Procurement,Logistics and Transportation Supplies,1044.93,Procurement_Agent_1,202,153.79,Expedited,System C,False
CASE_00002,Verify Dispatch Order,2023-02-24 09:00:42.545623,2023-02-24 14:21:42.545623,CUST_4214,Medium,Email,Warehouse Management,Inventory Management,2965.36,Warehouse_Agent_2,321,123.64,Expedited,System C,False
CASE_00002,Validate Dispatch Details,2023-02-24 14:21:42.545623,2023-02-28 09:00:42.545623,CUST_4214,Medium,Email,Warehouse Management,Inventory Management,2965.36,Warehouse_Agent_3,425,126.73,Completed,System B,False
CASE_00002,Review and Confirm Dispatch,2023-02-28 09:00:42.545623,2023-02-28 16:52:42.545623,CUST_4214,Medium,Email,Warehouse Management,Inventory Management,2965.36,Warehouse_Agent_1,472,86.5,Completed,System C,False
CASE_00003,Verify Dispatch Order,2023-01-10 15:51:32.029091,2023-01-11 09:00:32.029091,CUST_8186,Medium,In-Person,Supply Chain Management,Supply Chain Management,538.4,Supply_Agent_1,286,207.54,Expedited,System C,False
CASE_00003,Resolve and Clarify,2023-01-11 09:00:32.029091,2023-01-11 15:09:32.029091,CUST_8186,Medium,In-Person,Supply Chain Management,Supply Chain Management,538.4,Supply_Agent_1,369,149.69,Delayed,System B,True
CASE_00003,Review and Confirm Dispatch,2023-01-11 15:09:32.029091,2023-01-12 09:00:32.029091,CUST_8186,Medium,In-Person,Supply Chain Management,Supply Chain Management,538.4,Supply_Agent_3,234,223.85,Delayed,System C,False
CASE_00004,Verify Dispatch Order,2023-07-05 09:00:05.425621,2023-07-05 14:29:05.425621,CUST_1840,Medium,Phone,Supply Chain Management,Logistics,1732.02,Supply_Agent_2,329,181.41,Delayed,System A,False
